GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02013","Aleutians East Borough, AK*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",189604,142263,164478,206328,200454,204559,225784,234641,243896,163829,131394,124827,141926,137577,181353,194592,201690,201612
 "02013","Aleutians East Borough, AK*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",151.894,113.969,131.765,165.292,160.586,163.875,180.878,187.974,195.388,131.245,105.261,100.000,113.699,110.215,145.284,155.890,161.576,161.514
 "02013","Aleutians East Borough, AK*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",136664,107135,125221,160110,163508,170901,193061,208272,235062,158459,125603,124827,145240,146190,201166,224010,227152,222998
 "02016","Aleutians West Census Area, AK*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",323520,320705,365604,392096,484880,437653,416502,371475,359587,320363,344181,367118,386601,379178,371005,367795,347146,353175
 "02016","Aleutians West Census Area, AK*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.124,87.357,99.587,106.804,132.077,119.213,113.452,101.187,97.948,87.264,93.752,100.000,105.307,103.285,101.059,100.184,94.560,96.202
 "02016","Aleutians West Census Area, AK*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",246513,254390,293713,318306,407743,377295,365490,338173,346813,313987,334449,367118,393724,399609,408483,414373,393534,402763
 "02020","Anchorage Municipality, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",16361468,16503578,16777032,16994983,17587417,17669892,18048410,18932459,19513306,20359679,20649716,20750943,20209436,20090732,20856627,20413792,19985366,20329942
 "02020","Anchorage Municipality, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.847,79.532,80.849,81.900,84.755,85.152,86.976,91.237,94.036,98.114,99.512,100.000,97.390,96.818,100.509,98.375,96.311,97.971
 "02020","Anchorage Municipality, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",12312100,12680471,13311309,13908993,14915452,15543000,16431740,17712171,18267959,19561400,20264175,20750943,20725857,21009633,21734127,21507022,21518707,22478485
 "02050","Bethel Census Area, AK*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",506600,558900,582679,580845,578589,522055,518367,508945,539597,570648,616282,632455,630798,615715,611875,606090,608355,625190
 "02050","Bethel Census Area, AK*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.101,88.370,92.130,91.840,91.483,82.544,81.961,80.471,85.318,90.228,97.443,100.000,99.738,97.353,96.746,95.831,96.190,98.851
 "02050","Bethel Census Area, AK*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",386942,439121,467854,478415,488778,454273,466847,468653,512795,550888,603358,632455,644349,642544,651842,652654,664233,694275
 "02060","Bristol Bay Borough, AK",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",84036,83486,96566,103614,119712,134581,147898,130677,137434,125599,116902,112665,121438,120360,113052,116004,114238,130341
 "02060","Bristol Bay Borough, AK",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",74.589,74.101,85.710,91.966,106.255,119.452,131.272,115.987,121.984,111.480,103.760,100.000,107.786,106.830,100.343,102.963,101.396,115.689
 "02060","Bristol Bay Borough, AK",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",63906,65739,77334,83394,98662,112385,125316,115896,132435,121368,112371,112665,124346,127729,124644,131268,128832,147230
 "02068","Denali Borough, AK*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",174435,175511,169601,183344,187420,190690,191819,218740,207183,200436,188256,189064,243914,250732,243176,233441,234794,237263
 "02068","Denali Borough, AK*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.262,92.831,89.706,96.974,99.130,100.860,101.457,115.696,109.583,106.015,99.573,100.000,129.011,132.617,128.621,123.472,124.188,125.494
