GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "01001","Autauga, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",954588,975940,986203,1129055,1125576,1210687,1234500,1112891,1144614,1207789,1317638,1482770,1411910,1406262,1518409,1526310,1422078,1483414
 "01001","Autauga, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",64.379,65.819,66.511,76.145,75.910,81.650,83.256,75.055,77.194,81.455,88.863,100.000,95.221,94.840,102.404,102.936,95.907,100.043
 "01001","Autauga, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",758696,784459,803819,941933,958428,1068295,1131229,1039121,1117137,1187827,1311442,1482770,1453551,1497203,1653173,1662515,1582480,1690937
 "01003","Baldwin, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3929753,4154915,4352352,4772559,5257742,5296563,5283689,4997036,4693291,4843331,4887545,5016735,5136425,5178584,5345363,5496105,5525882,5774289
 "01003","Baldwin, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.333,82.821,86.757,95.133,104.804,105.578,105.321,99.607,93.553,96.543,97.425,100.000,102.386,103.226,106.551,109.555,110.149,115.101
 "01003","Baldwin, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3032569,3283056,3502357,3948521,4489896,4683784,4823410,4644130,4477050,4653397,4762428,5016735,5260675,5424936,5756010,6046123,6181913,6606080
 "01005","Barbour, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",813278,807276,830348,904195,901636,898820,862038,803027,784985,796244,756596,726909,781141,742751,756590,742810,745625,787425
 "01005","Barbour, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",111.882,111.056,114.230,124.389,124.037,123.650,118.590,110.472,107.989,109.538,104.084,100.000,107.461,102.179,104.083,102.188,102.575,108.325
 "01005","Barbour, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",638553,640735,669298,750822,755902,764630,757130,724367,732372,753992,735173,726909,796752,765766,784874,773388,793264,851956
 "01007","Bibb, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",292693,301897,316852,328216,324342,343522,359073,360056,350283,375053,380700,374435,377377,368995,358372,357831,353859,364197
 "01007","Bibb, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.169,80.627,84.621,87.656,86.622,91.744,95.897,96.160,93.550,100.165,101.673,100.000,100.786,98.547,95.710,95.566,94.505,97.266
 "01007","Bibb, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",220353,232352,250684,271457,277615,304017,328096,336114,330306,359033,371343,374435,389465,393158,389745,396299,400681,424510
 "01009","Blount, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",810381,834973,839885,838082,834887,845960,861808,849389,821054,811809,785676,804763,838093,820346,824934,783480,813934,849114
 "01009","Blount, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.698,103.754,104.364,104.140,103.743,105.119,107.088,105.545,102.024,100.876,97.628,100.000,104.142,101.936,102.506,97.355,101.140,105.511
 "01009","Blount, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",621587,651239,672009,697807,704660,734516,775339,782975,773222,774493,765726,804763,857641,854178,870909,838491,886794,942904
 "01011","Bullock, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",239593,253842,248007,241781,235078,253515,240648,239228,265137,245996,236588,253214,243523,221551,224849,246072,233531,244183
 "01011","Bullock, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.621,100.248,97.944,95.485,92.838,100.119,95.037,94.477,104.709,97.150,93.434,100.000,96.173,87.496,88.798,97.180,92.227,96.433
 "01011","Bullock, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",176229,190285,191514,193655,189077,206679,206533,211685,239507,228255,228788,253214,249651,228715,231682,250811,244165,256130
 "01013","Butler, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",449006,465524,479642,499435,486538,498785,524248,510210,473029,542151,565708,565044,565686,562054,570113,554471,554848,570686
 "01013","Butler, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.464,82.387,84.886,88.389,86.106,88.274,92.780,90.296,83.715,95.948,100.117,100.000,100.114,99.471,100.897,98.129,98.195,100.999
 "01013","Butler, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",372304,388584,409632,443985,435671,454497,490578,482107,448537,522642,551262,565044,579075,587501,600364,586962,599698,632592
 "01015","Calhoun, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3437327,3549087,3655936,3948791,4188694,4325004,4496930,4584663,4328413,4545958,4336177,4260733,4047949,3881163,3810823,3862408,3861148,3950436
 "01015","Calhoun, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.675,83.298,85.805,92.679,98.309,101.508,105.544,107.603,101.588,106.694,101.771,100.000,95.006,91.091,89.441,90.651,90.622,92.717
 "01015","Calhoun, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2698357,2840023,2977144,3312109,3611826,3849408,4117444,4277212,4132331,4390904,4256139,4260733,4121092,4042574,4049885,4152099,4225257,4428092
 "01017","Chambers, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",846573,877755,799017,882325,832537,812868,787818,690866,649045,666975,689508,752850,1277104,1516561,1793988,1953597,1938158,1941217
 "01017","Chambers, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",112.449,116.591,106.132,117.198,110.585,107.972,104.645,91.767,86.212,88.593,91.586,100.000,169.636,201.443,238.293,259.493,257.443,257.849
 "01017","Chambers, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",703808,738367,671889,751668,720152,723868,717210,637568,617828,641514,672518,752850,1307504,1598956,2049247,2271144,2249818,2218892
 "01019","Cherokee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",391607,394224,412451,445673,428585,460684,478970,489636,452715,472392,493844,486349,522691,494782,484118,457675,461223,498013
 "01019","Cherokee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.520,81.058,84.806,91.637,88.123,94.723,98.483,100.676,93.084,97.130,101.541,100.000,107.472,101.734,99.541,94.104,94.834,102.398
 "01019","Cherokee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",311899,318236,338547,375417,366648,402792,431259,447256,423461,446904,481304,486349,535047,515910,516608,493622,505868,554189
 "01021","Chilton, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",624519,657354,681970,725831,740213,782015,775467,751124,725935,744292,795740,820985,848731,802649,799902,798726,806179,837887
 "01021","Chilton, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.069,80.069,83.067,88.410,90.162,95.253,94.456,91.491,88.422,90.658,96.925,100.000,103.380,97.767,97.432,97.289,98.197,102.059
 "01021","Chilton, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",494901,530170,562019,618987,647376,701809,715386,702162,697734,720387,775312,820985,871270,848741,873890,887100,908777,965008
