GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "05001","Arkansas, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",727631,768008,850336,911028,851122,889229,832864,869819,951699,929912,927894,939725,1052451,988610,1004316,1064308,1011497,1028895
 "05001","Arkansas, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.430,81.727,90.488,96.946,90.571,94.627,88.629,92.561,101.274,98.956,98.741,100.000,111.996,105.202,106.873,113.257,107.638,109.489
 "05001","Arkansas, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",569459,611705,688004,758181,715122,758482,743964,793744,873323,871876,894122,939725,1079557,1024534,1055575,1122000,1077468,1102976
 "05003","Ashley, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",781075,802057,791429,806517,848248,911966,903371,889183,849384,891899,936622,920808,967651,951420,893843,910844,896476,907876
 "05003","Ashley, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.825,87.104,85.949,87.588,92.120,99.040,98.106,96.565,92.243,96.860,101.717,100.000,105.087,103.324,97.072,98.918,97.357,98.595
 "05003","Ashley, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",624810,642397,638270,670932,710633,784996,804107,808452,812499,868999,915651,920808,1019013,1031789,993038,1025145,1034918,1081422
 "05005","Baxter, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",964516,996295,988410,1017491,1081018,1122712,1147104,1183861,1101945,1147937,1167938,1083263,1085763,1109393,1101296,1094691,1102545,1131278
 "05005","Baxter, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.038,91.972,91.244,93.928,99.793,103.642,105.893,109.287,101.725,105.970,107.817,100.000,100.231,102.412,101.665,101.055,101.780,104.432
 "05005","Baxter, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",775383,817235,823682,863768,937469,1000244,1052183,1101061,1057635,1104308,1130861,1083263,1107494,1152110,1176460,1194583,1218493,1274823
 "05007","Benton, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",6663860,7338231,7783240,8451017,9107615,9114321,9060595,9021700,8644020,9187429,9519975,9989941,10786454,11452652,11874454,12095992,12846262,13245065
 "05007","Benton, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",66.706,73.456,77.911,84.595,91.168,91.235,90.697,90.308,86.527,91.967,95.296,100.000,107.973,114.642,118.864,121.082,128.592,132.584
 "05007","Benton, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5095149,5704438,6133072,6927416,7680146,7961103,8184937,8358961,8326654,8859595,9268724,9989941,10981876,11760694,12453526,12822138,13713202,14336028
 "05009","Boone, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1031483,1061997,1040480,1091118,1133135,1177401,1172014,1152946,1080067,1136289,1151412,1127099,1097126,1113702,1106264,1113842,1117118,1150136
 "05009","Boone, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.517,94.224,92.315,96.808,100.536,104.463,103.985,102.293,95.827,100.815,102.157,100.000,97.341,98.811,98.151,98.824,99.114,102.044
 "05009","Boone, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",816797,852899,850781,928500,985001,1059826,1087915,1092571,1030884,1094742,1128524,1127099,1120550,1163704,1180116,1201763,1226956,1300815
 "05011","Bradley, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",261103,275598,305675,322325,325727,305759,294831,274111,258409,290734,280461,301748,292429,302282,321127,313284,323897,330283
 "05011","Bradley, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.530,91.334,101.301,106.819,107.947,101.329,97.708,90.841,85.637,96.350,92.945,100.000,96.912,100.177,106.422,103.823,107.340,109.457
 "05011","Bradley, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",209790,224669,256241,285947,291762,275339,271622,254570,242910,279343,272220,301748,306442,325781,343837,337378,356425,373396
 "05013","Calhoun, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",320922,319993,336283,362666,358494,384159,373375,377696,352030,361816,334710,288221,294681,297880,314529,305565,326112,344894
 "05013","Calhoun, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",111.346,111.023,116.675,125.829,124.382,133.286,129.545,131.044,122.139,125.534,116.130,100.000,102.241,103.351,109.128,106.017,113.146,119.663
 "05013","Calhoun, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",249793,250548,262697,288544,294037,319576,318262,335067,346913,343256,321505,288221,303540,309491,342482,339081,357463,384923
 "05015","Carroll, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",657433,699255,683133,745054,752294,777474,733303,706462,627734,667083,675495,655935,705759,775493,756728,723423,784947,788311
 "05015","Carroll, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.228,106.604,104.146,113.586,114.690,118.529,111.795,107.703,95.701,101.700,102.982,100.000,107.596,118.227,115.366,110.289,119.668,120.181
 "05015","Carroll, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",522970,569176,565713,633755,636343,662329,661436,653998,602734,641942,652016,655935,722029,807869,795055,771657,846954,858095
 "05017","Chicot, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",300605,292793,320186,317905,317800,309949,313066,290384,322983,317114,325027,338340,337065,260238,234007,253168,254641,244098
 "05017","Chicot, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.847,86.538,94.634,93.960,93.929,91.609,92.530,85.826,95.461,93.726,96.065,100.000,99.623,76.916,69.163,74.827,75.262,72.146
 "05017","Chicot, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",215211,212291,239806,252483,249696,247785,272716,257535,276109,283608,316273,338340,346083,267036,244803,268244,277083,271412
 "05019","Clark, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",693576,691921,706640,706109,707830,698786,721240,780365,747754,724613,732901,710820,741412,734544,718661,723399,730698,734017
 "05019","Clark, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.574,97.341,99.412,99.337,99.579,98.307,101.466,109.784,105.196,101.940,103.106,100.000,104.304,103.338,101.103,101.770,102.796,103.263
 "05019","Clark, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",539874,544048,571281,591688,608700,613072,648514,713264,700056,688000,701193,710820,765662,780347,774303,787446,812604,845261
 "05021","Clay, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",368674,387102,441737,422058,409031,422632,382943,393812,450672,430878,376802,387653,422677,335345,299759,289400,313160,304763
 "05021","Clay, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.104,99.858,113.951,108.875,105.515,109.023,98.785,101.589,116.256,111.150,97.201,100.000,109.035,86.506,77.327,74.654,80.783,78.617
 "05021","Clay, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",280866,297206,347540,346138,332209,347456,340308,354881,387555,387659,366869,387653,433339,344294,314269,309572,341623,339338
 "05023","Cleburne, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",454682,507117,483921,502179,522189,540819,566723,597105,616917,744227,825819,820163,876633,1020608,1099560,1009797,982503,890222
 "05023","Cleburne, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",55.438,61.831,59.003,61.229,63.669,65.940,69.099,72.803,75.219,90.741,100.690,100.000,106.885,124.440,134.066,123.122,119.794,108.542
 "05023","Cleburne, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",388299,437234,425525,452538,475333,500272,543891,585232,577652,734140,851526,820163,911571,1060113,865653,771416,809177,780221
 "05025","Cleveland, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",111170,121251,108684,130658,136191,120949,123748,131460,110826,108338,91981,119290,131807,151832,160765,156902,163377,169834
 "05025","Cleveland, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.193,101.644,91.109,109.530,114.169,101.391,103.737,110.202,92.905,90.819,77.107,100.000,110.493,127.280,134.769,131.530,136.958,142.371
 "05025","Cleveland, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",88623,95569,90105,117890,116667,104236,118007,126839,100502,102202,89821,119290,136074,155018,155384,145114,157566,164527
 "05027","Columbia, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",687088,744218,759842,791856,806799,882873,900602,890241,781515,794415,848903,887285,873379,886196,883285,843077,831485,828515
 "05027","Columbia, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.437,83.876,85.637,89.245,90.929,99.503,101.501,100.333,88.079,89.533,95.674,100.000,98.433,99.877,99.549,95.018,93.711,93.376
 "05027","Columbia, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",522059,570561,601353,666000,709913,814655,855296,886894,722307,763553,844141,887285,901250,934744,884417,842996,863631,895867
