GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04001","Apache, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2157909,2104160,2162213,2122674,2181773,2279708,2364959,2567183,2570679,2785051,2836057,2728727,2726523,2515879,2502406,2509130,2544096,2619469
 "04001","Apache, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.081,77.111,79.239,77.790,79.956,83.545,86.669,94.080,94.208,102.064,103.933,100.000,99.919,92.200,91.706,91.952,93.234,95.996
 "04001","Apache, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1626321,1611948,1714154,1735395,1853555,2030367,2169051,2410071,2511201,2729871,2822131,2728727,2807165,2693298,2716658,2719360,2818731,2983095
 "04003","Cochise, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3368712,3426308,3672167,3788756,4037623,4282368,4529915,4542087,4548902,4683595,4658074,4437565,4275159,4202419,4205478,4315749,4259736,4404134
 "04003","Cochise, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.914,77.211,82.752,85.379,90.987,96.503,102.081,102.355,102.509,105.544,104.969,100.000,96.340,94.701,94.770,97.255,95.993,99.247
 "04003","Cochise, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2581941,2696592,2979991,3166229,3479954,3825753,4172857,4264587,4368532,4544253,4590615,4437565,4351656,4370420,4464700,4629088,4644318,4910034
 "04005","Coconino, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4900475,4987211,5091959,5290301,5570893,5904109,6298236,6145698,5861421,6109513,6492493,6155174,6298365,6202742,6251840,6396139,6753461,6770442
 "04005","Coconino, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.616,81.025,82.726,85.949,90.507,95.921,102.324,99.846,95.228,99.258,105.480,100.000,102.326,100.773,101.570,103.915,109.720,109.996
 "04005","Coconino, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3781252,3908473,4098963,4373075,4771063,5263104,5798697,5758784,5701148,5956934,6398553,6155174,6454765,6542933,6766348,7016327,7532444,7718197
 "04007","Gila, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1424911,1404050,1429942,1494811,1542732,1774778,1952240,1836713,1855315,1907952,2032225,1909738,2156567,2057898,1975267,1895553,1979124,1985337
 "04007","Gila, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",74.613,73.521,74.876,78.273,80.782,92.933,102.226,96.176,97.150,99.906,106.414,100.000,112.925,107.758,103.431,99.257,103.633,103.959
