GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "06001","Alameda, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",80875087,82309584,86355025,88443534,90705419,94722882,95433325,95305363,90175025,93027499,94760651,97170941,101224513,106223633,114592329,119447773,125803266,130701879
 "06001","Alameda, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.230,84.706,88.869,91.019,93.346,97.481,98.212,98.080,92.800,95.736,97.520,100.000,104.172,109.316,117.929,122.925,129.466,134.507
 "06001","Alameda, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",66805743,69071820,73174957,76537223,80335209,86003251,88736625,89725063,86857946,89966030,92778241,97170941,103118832,110050098,121519158,128439663,136890879,144494091
 "06003","Alpine, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",177684,171175,169235,155386,146377,151310,151093,150002,151264,151998,165553,168411,177464,189555,194700,197160,197087,214895
 "06003","Alpine, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",105.506,101.641,100.489,92.266,86.916,89.845,89.717,89.069,89.818,90.254,98.303,100.000,105.375,112.555,115.610,117.071,117.027,127.601
 "06003","Alpine, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",122188,120214,121639,121582,120160,131153,140019,141786,146314,147710,162546,168411,180411,193037,203467,208483,209797,230220
 "06005","Amador, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1342843,1515386,1541584,1602150,1593461,1690903,1644292,1570416,1486142,1453909,1443198,1372634,1425217,1468280,1514323,1557733,1589308,1651760
 "06005","Amador, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.830,110.400,112.308,116.721,116.088,123.187,119.791,114.409,108.269,105.921,105.141,100.000,103.831,106.968,110.322,113.485,115.785,120.335
 "06005","Amador, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1013727,1162207,1208871,1304544,1344552,1485105,1493966,1458474,1425566,1406458,1416722,1372634,1460242,1540876,1626075,1692374,1759321,1864239
 "06007","Butte, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",6521503,7069092,7448987,7645121,7860522,8346498,8255625,7944690,7929761,7918928,7916467,7682299,8138843,7944356,8271641,8685754,9002731,9219915
 "06007","Butte, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.890,92.018,96.963,99.516,102.320,108.646,107.463,103.416,103.221,103.080,103.048,100.000,105.943,103.411,107.671,113.062,117.188,120.015
 "06007","Butte, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4998884,5532810,5975544,6335652,6706336,7356759,7531004,7417025,7438277,7557997,7762340,7682299,8341599,8289012,8763463,9331561,9862966,10332996
