GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "08001","Adams, CO*",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",14209203,14497302,14935734,15565088,15930058,16468813,16808994,18968918,18384648,18284799,18379281,18583034,19084472,20324722,21039417,21995795,22938605,23933937
 "08001","Adams, CO*",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.463,78.014,80.373,83.760,85.724,88.623,90.453,102.077,98.932,98.395,98.904,100.000,102.698,109.372,113.218,118.365,123.438,128.795
 "08001","Adams, CO*",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",10769852,11154433,11702263,12568850,13472576,14476737,15170241,17320846,16961974,17184361,17892016,18583034,19386599,20999192,22132117,23185551,24790908,26808606
 "08003","Alamosa, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",543602,660435,544146,562745,587201,598056,601932,621638,641840,614762,637660,614267,600333,600714,662337,659375,654314,671553
 "08003","Alamosa, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.496,107.516,88.585,91.612,95.594,97.361,97.992,101.200,104.489,100.081,103.808,100.000,97.732,97.794,107.826,107.343,106.520,109.326
 "08003","Alamosa, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",409899,502949,428036,459523,489867,514509,547782,578160,597933,583963,623388,614267,614897,628069,702330,704593,712189,748242
 "08005","Arapahoe, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",35243772,34882010,34485309,33039470,33634428,34326253,35056307,33035831,31566948,32351649,33490827,34093393,36272073,38302465,39956471,41013746,42654549,44037874
 "08005","Arapahoe, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.374,102.313,101.150,96.909,98.654,100.683,102.824,96.898,92.590,94.891,98.233,100.000,106.390,112.346,117.197,120.298,125.111,129.168
 "08005","Arapahoe, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",28952778,29086567,29162829,28600264,29762285,31173307,32600787,31131661,30230971,31207992,32707480,34093393,36827819,39470406,41889765,43766712,46079650,48610332
 "08007","Archuleta, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",382428,384282,375285,355126,388464,392951,398213,405352,403264,403415,399376,419589,424356,440306,464385,481176,479089,482935
 "08007","Archuleta, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.144,91.585,89.441,84.637,92.582,93.652,94.906,96.607,96.109,96.145,95.183,100.000,101.136,104.937,110.676,114.678,114.181,115.097
 "08007","Archuleta, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",293735,303707,304551,298584,340982,358307,376690,397539,380575,390839,395653,419589,436001,459239,467510,487429,501180,521115
 "08009","Baca, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",186174,132739,186263,178952,199075,160620,192132,180791,267281,227075,212165,145896,175999,133594,118407,121877,127452,137473
 "08009","Baca, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",127.608,90.982,127.668,122.657,136.450,110.092,131.691,123.918,183.200,155.642,145.422,100.000,120.633,91.568,81.159,83.537,87.358,94.227
 "08009","Baca, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",128499,90359,135588,143940,153425,124768,167718,162928,211832,195668,208213,145896,181032,136699,121272,126561,135187,148880
 "08011","Bent, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",166722,136812,158673,157589,154238,161363,168498,178452,190868,181098,186608,164357,171723,167051,172963,181238,163672,165660
 "08011","Bent, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",101.439,83.241,96.542,95.882,93.844,98.178,102.520,108.576,116.130,110.186,113.539,100.000,104.482,101.639,105.236,110.271,99.584,100.793
 "08011","Bent, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",118967,98596,120033,129118,122887,130217,151361,163417,166695,164716,183377,164357,176154,169459,169165,171889,160474,164418
 "08013","Boulder, CO*",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",17964928,16741531,16905361,17506618,17975234,18560976,19581301,20283744,20034850,20453633,20369551,20432621,20865085,21597092,22669578,23423069,24607654,25319458
 "08013","Boulder, CO*",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.923,81.935,82.737,85.680,87.973,90.840,95.834,99.271,98.053,100.103,99.691,100.000,102.117,105.699,110.948,114.636,120.433,123.917
 "08013","Boulder, CO*",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",16042154,15097652,15250577,15899632,16550968,17342461,18538441,19365799,19493571,19887223,20018064,20432621,21219928,22268959,23779054,24815759,26367000,27533518
 "08014","Broomfield, CO*",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",(NA),3034185,3231052,3593198,3751683,4165857,4647525,4759745,5273239,6006842,6486965,6984737,7233944,7053166,7595628,7596604,8366371,8050690
 "08014","Broomfield, CO*",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",(NA),43.440,46.259,51.444,53.713,59.642,66.538,68.145,75.497,86.000,92.873,100.000,103.568,100.980,108.746,108.760,119.781,115.261
 "08014","Broomfield, CO*",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",(NA),2447010,2661397,3043807,3289052,3760560,4321967,4543791,4996168,5787916,6384373,6984737,7381711,7312504,7825937,7899171,8884998,8774670
 "08015","Chaffee, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",489681,506506,499626,489124,497943,517261,517990,542727,548611,547545,550462,556676,566759,585605,606033,634208,662174,692114
 "08015","Chaffee, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.965,90.988,89.752,87.865,89.449,92.919,93.050,97.494,98.551,98.360,98.884,100.000,101.811,105.197,108.866,113.928,118.951,124.330
 "08015","Chaffee, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",370803,393719,397379,401840,423616,457157,474335,507262,524320,526744,537153,556676,581118,615657,655082,700000,743940,795570
 "08017","Cheyenne, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",197702,164816,220868,207608,220634,209932,228400,201653,275200,279212,249932,221785,239873,223024,217923,230128,251808,235536
 "08017","Cheyenne, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.141,74.313,99.586,93.607,99.481,94.655,102.982,90.923,124.084,125.893,112.691,100.000,108.155,100.558,98.259,103.761,113.537,106.200
 "08017","Cheyenne, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",114463,89844,144377,154416,187924,182616,214745,222030,214747,254818,262486,221785,250945,226969,168689,165971,199511,196151
 "08019","Clear Creek, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",430974,458728,503325,511930,641109,590424,622830,650182,638742,611362,606532,518277,576577,607080,639648,494493,509932,500533
 "08019","Clear Creek, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.155,88.510,97.115,98.776,123.700,113.921,120.173,125.451,123.243,117.960,117.029,100.000,111.249,117.134,123.418,95.411,98.390,96.576
 "08019","Clear Creek, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",219897,241983,273393,299623,422627,431567,484890,549459,566530,574119,603901,518277,558169,583242,598382,466004,503539,505016
 "08021","Conejos, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",141731,141985,154502,153468,152193,150603,150196,161171,190812,160318,183995,173656,189206,190670,215666,216947,222447,244248
 "08021","Conejos, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.616,81.762,88.970,88.375,87.641,86.725,86.491,92.811,109.880,92.319,105.954,100.000,108.955,109.798,124.192,124.930,128.097,140.651
 "08021","Conejos, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",100407,103542,115875,121349,125830,130971,136575,150395,174211,150600,179977,173656,193644,195401,216566,213887,226795,251585
 "08023","Costilla, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",89539,116055,82487,81262,84088,83050,87966,86639,96577,86912,102969,88851,96042,98935,107006,96329,104746,107662
 "08023","Costilla, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.775,130.618,92.837,91.459,94.639,93.472,99.005,97.511,108.696,97.818,115.890,100.000,108.093,111.350,120.433,108.417,117.890,121.172
 "08023","Costilla, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",66720,86225,64216,67206,69892,71092,81339,81687,89635,82156,100920,88851,98083,101706,110560,100540,111217,116343
 "08025","Crowley, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",173962,139862,125428,143520,169882,170222,139230,125658,104402,108883,100446,127998,128166,131090,168503,182013,153741,126638
 "08025","Crowley, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",135.911,109.269,97.993,112.127,132.723,132.988,108.776,98.172,81.566,85.066,78.475,100.000,100.132,102.416,131.646,142.200,120.113,98.937
 "08025","Crowley, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",134045,105533,99673,124229,138380,138075,130092,119435,98081,104143,98376,127998,131576,133507,165172,169622,149051,124035
 "08027","Custer, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",105742,109611,109828,108510,96701,103204,108306,113955,119231,120358,119607,118117,122440,128004,140388,126686,125904,127789
 "08027","Custer, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.523,92.798,92.982,91.866,81.868,87.374,91.694,96.476,100.943,101.897,101.261,100.000,103.660,108.370,118.854,107.254,106.592,108.188
 "08027","Custer, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",79863,85144,87452,90552,83609,93046,101602,108530,115208,116499,117142,118117,125441,134331,150936,138702,140487,145368
 "08029","Delta, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",809063,817785,820567,796625,814669,883763,1002393,918499,813391,796184,873857,897094,864211,821156,791826,756267,750050,785652
 "08029","Delta, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.187,91.159,91.469,88.801,90.812,98.514,111.738,102.386,90.669,88.751,97.410,100.000,96.334,91.535,88.266,84.302,83.609,87.577
 "08029","Delta, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",545792,568433,584109,595661,646319,742010,877814,840328,762733,759095,854364,897094,874594,844738,822605,794992,804487,861767
 "08031","Denver, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",56333969,52974693,52627736,52745083,55046778,54059061,56102610,54582887,52505627,52411746,53140758,54750675,57610110,60332265,64116859,64925150,67039713,70054379
 "08031","Denver, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.892,96.756,96.123,96.337,100.541,98.737,102.469,99.694,95.900,95.728,97.060,100.000,105.223,110.195,117.107,118.583,122.445,127.952
 "08031","Denver, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",44207829,42410180,42989643,44222601,47563489,48174178,51511717,51265164,49698658,50373121,51986737,54750675,58948642,63023176,67078912,68814568,72403705,77455208
 "08033","Dolores, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",36670,39417,37252,36415,40105,42740,46448,134364,220502,172483,154468,102828,115344,220030,216453,191724,188029,156585
