GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09001","Fairfield, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",77238519,77562792,77230039,81462568,83832207,85708467,89664782,89929011,84105033,82853670,78333135,81498346,79489419,77948626,78667116,77878283,77609152,77951236
 "09001","Fairfield, CT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.773,95.171,94.763,99.956,102.864,105.166,110.020,110.345,103.198,101.663,96.116,100.000,97.535,95.644,96.526,95.558,95.228,95.648
 "09001","Fairfield, CT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",59588784,60892556,61595541,66898739,70885623,74711576,80606373,82666269,78792438,78528712,76133477,81498346,81639305,82391540,85134077,85539478,86789904,89387658
 "09003","Hartford, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",62115340,59134806,60480192,65645608,67116654,69850266,74052054,73787709,73327028,74336923,73747717,73579121,72242086,72293639,75812380,75841426,76345801,75991079
 "09003","Hartford, CT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.420,80.369,82.197,89.218,91.217,94.932,100.643,100.283,99.657,101.030,100.229,100.000,98.183,98.253,103.035,103.075,103.760,103.278
 "09003","Hartford, CT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",49548555,48152856,50291341,56040777,58778067,62746760,68095182,68682424,70332679,71822617,72226117,73579121,73713067,75165090,80479523,81594532,82728084,84111164
 "09005","Litchfield, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7689453,7842201,7844519,7817220,7804917,8115210,7951514,8039525,7683379,7962239,8044003,8097907,7972632,7661428,7567652,7532359,7470812,7688830
 "09005","Litchfield, CT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.956,96.842,96.871,96.534,96.382,100.214,98.192,99.279,94.881,98.325,99.334,100.000,98.453,94.610,93.452,93.016,92.256,94.948
 "09005","Litchfield, CT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5972055,6208657,6316335,6486688,6680497,7177084,7271606,7491441,7375912,7662273,7849322,8097907,8153817,7998843,8134577,8261351,8324290,8742282
 "09007","Middlesex, CT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",8592520,8630020,9025763,9700498,9765724,10511800,10941674,10286629,9714366,8453123,8456530,8772042,8702181,8625424,8782362,8647334,8761274,8706342
 "09007","Middlesex, CT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.953,98.381,102.892,110.584,111.328,119.833,124.733,117.266,110.742,96.364,96.403,100.000,99.204,98.329,100.118,98.578,99.877,99.251
