GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "12001","Alachua, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",9275898,9536740,9578399,10413288,10717331,11210855,11771830,11565933,11180878,11080770,10934943,10938232,11010427,11244263,11487691,11755588,12031399,12447381
 "12001","Alachua, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.803,87.187,87.568,95.201,97.980,102.492,107.621,105.739,102.218,101.303,99.970,100.000,100.660,102.798,105.023,107.472,109.994,113.797
 "12001","Alachua, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",7059330,7452846,7669735,8600253,9131860,9885411,10725953,10746312,10696163,10705229,10700548,10938232,11278653,11769808,12338543,12837620,13350955,14129555
 "12003","Baker, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",448125,468329,475473,493096,513776,550066,592002,583718,553978,540046,537829,532783,532583,539766,547809,562229,575846,595832
 "12003","Baker, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.110,87.902,89.243,92.551,96.432,103.244,111.115,109.560,103.978,101.363,100.947,100.000,99.962,101.311,102.820,105.527,108.083,111.834
 "12003","Baker, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",339668,363804,378263,407143,437021,485144,541895,546777,533149,522672,527582,532783,544141,557680,575047,594002,619110,654846
 "12005","Bay, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5685402,6028245,6294904,6828946,7325880,7665626,7614116,7548607,7304451,7175205,7037997,6952683,6994931,7149035,7264429,7348864,7463278,7606775
 "12005","Bay, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.773,86.704,90.539,98.220,105.368,110.254,109.513,108.571,105.059,103.201,101.227,100.000,100.608,102.824,104.484,105.698,107.344,109.408
 "12005","Bay, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4371307,4749763,5082011,5683337,6315753,6863244,7030945,7089649,7026596,6955519,6912168,6952683,7144131,7477105,7790184,8006117,8286063,8649911
 "12007","Bradford, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",586279,602977,627130,651436,663902,701671,742333,713109,644286,617305,608838,592699,602176,586685,599779,608141,637196,659865
 "12007","Bradford, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.917,101.734,105.809,109.910,112.013,118.386,125.246,120.315,108.704,104.151,102.723,100.000,101.599,98.985,101.194,102.605,107.507,111.332
 "12007","Bradford, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",405117,428196,458097,501514,537797,595882,655023,652087,608386,592162,596153,592699,610961,604349,626975,643228,691662,733405
 "12009","Brevard, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",14954234,15431046,16351524,17847471,19145149,20460884,21673048,21812634,20542303,20512115,19815021,19247542,19527088,19973535,20787350,21514903,22465459,23437467
 "12009","Brevard, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.694,80.172,84.954,92.726,99.468,106.304,112.602,113.327,106.727,106.570,102.948,100.000,101.452,103.772,108.000,111.780,116.719,121.769
 "12009","Brevard, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",13226662,13842274,14783312,16395389,17928446,19515666,20934214,20991329,20047363,19989876,19477834,19247542,19854665,20637377,21897824,22898921,24213199,25675517
 "12011","Broward, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",68105318,71298712,75589154,79816991,85366121,86904444,86200772,83187794,78757711,81772409,81104562,81093194,82069184,84842384,88623704,91380503,94231492,96874849
 "12011","Broward, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.984,87.922,93.213,98.426,105.269,107.166,106.298,102.583,97.120,100.838,100.014,100.000,101.204,104.623,109.286,112.686,116.201,119.461
 "12011","Broward, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",54139659,57770751,62221736,67481827,74247739,77941672,79417200,77790613,75374423,78719635,79206764,81093194,83815639,88391449,94510433,99008785,103518020,108572033
 "12013","Calhoun, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",246841,242431,248736,239968,245789,276458,279915,268437,274854,279794,263206,253663,243881,239203,240507,238916,239671,250104
 "12013","Calhoun, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.311,95.572,98.058,94.601,96.896,108.986,110.349,105.824,108.354,110.301,103.762,100.000,96.144,94.300,94.814,94.186,94.484,98.597
 "12013","Calhoun, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",183519,184011,194436,197300,207653,241708,255188,249492,261745,269258,257320,253663,250261,250271,258172,260588,265384,282532
 "12015","Charlotte, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3350916,3517668,3653874,3854153,4253939,4537629,4411296,4196082,3963288,3894681,3877608,3902969,3992883,4038099,4252418,4409773,4518513,4670656
 "12015","Charlotte, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.856,90.128,93.618,98.749,108.992,116.261,113.024,107.510,101.545,99.788,99.350,100.000,102.304,103.462,108.953,112.985,115.771,119.669
 "12015","Charlotte, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2532899,2730142,2899139,3159026,3607291,3990504,4028578,3901832,3747304,3723192,3786155,3902969,4078854,4198295,4513185,4754846,4961076,5227779
 "12017","Citrus, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3392617,3496513,3600710,3803322,3965364,4461673,4508246,4297443,3893142,3630748,3521416,3517306,3504984,3449622,3374867,3395172,3414707,3511018
 "12017","Citrus, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.455,99.409,102.371,108.132,112.739,126.849,128.173,122.180,110.685,103.225,100.117,100.000,99.650,98.076,95.950,96.528,97.083,99.821
 "12017","Citrus, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2674533,2748477,2926645,3173140,3434803,4051375,4187932,4029170,3853645,3573709,3496196,3517306,3587368,3651266,3645362,3701656,3792384,3989942
 "12019","Clay, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2880677,3039282,3192921,3372820,3594898,3992022,4069693,3966836,3766295,3703843,3580085,3713420,3814186,3936860,4049461,4230998,4334718,4508532
 "12019","Clay, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.575,81.846,85.983,90.828,96.808,107.503,109.594,106.824,101.424,99.742,96.409,100.000,102.714,106.017,109.049,113.938,116.731,121.412
 "12019","Clay, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2197472,2373424,2545450,2775313,3065192,3531631,3721015,3696137,3600173,3566339,3497712,3713420,3898112,4106651,4332186,4604266,4796088,5095775
 "12021","Collier, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",11896500,12465826,13062360,13615281,15061999,15267499,14942314,13471007,12267939,12562749,12470522,12427586,12705897,13504211,14272513,14926141,15140542,15760299
 "12021","Collier, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.727,100.308,105.108,109.557,121.198,122.852,120.235,108.396,98.715,101.088,100.345,100.000,102.239,108.663,114.845,120.105,121.830,126.817
 "12021","Collier, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",8988760,9645584,10344058,11167606,12775145,13447543,13709768,12568012,11609661,12003648,12158993,12427586,12996557,14102158,15271202,16285871,16825018,17910636
 "12023","Columbia, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1646311,1745539,1734208,1787289,1878745,2031161,2145435,2069752,1951740,1904520,1769400,1805791,1792268,1947684,2084675,2043138,2078805,2117963
 "12023","Columbia, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.168,96.663,96.036,98.975,104.040,112.480,118.809,114.617,108.082,105.467,97.985,100.000,99.251,107.858,115.444,113.144,115.119,117.287
 "12023","Columbia, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1202998,1295351,1330571,1426632,1568518,1759824,1920027,1878569,1788295,1792307,1724790,1805791,1824913,2009750,2166382,2118850,2209433,2324177
 "12027","DeSoto, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",735934,753056,783296,802287,900068,1044171,1009172,946424,952475,921437,863817,796332,771497,804785,828679,832295,897169,828489
 "12027","DeSoto, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.415,94.566,98.363,100.748,113.027,131.123,126.728,118.848,119.608,115.710,108.474,100.000,96.881,101.061,104.062,104.516,112.663,104.038
 "12027","DeSoto, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",533772,549625,592292,638987,718717,849932,879590,839793,843639,845230,841831,796332,790168,828772,851945,854310,942402,883839
 "12029","Dixie, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",222141,231040,223916,225205,245134,284321,291537,266884,250437,245552,236647,243042,244668,248624,259180,264745,270743,274765
 "12029","Dixie, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.400,95.062,92.130,92.661,100.861,116.984,119.953,109.810,103.043,101.033,97.369,100.000,100.669,102.296,106.640,108.930,111.397,113.052
 "12029","Dixie, FL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",170610,181445,180852,192122,214163,254571,267258,248029,237374,236044,230517,243042,253815,262997,276844,285273,297218,308668
 "12031","Duval, FL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",44405553,45375457,47767909,49576154,51479773,53291528,53265656,51198597,48506891,48647866,48077724,48594946,49788072,51003074,53307586,54932423,57588045,59046312
 "12031","Duval, FL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.379,93.375,98.298,102.019,105.936,109.665,109.612,105.358,99.819,100.109,98.936,100.000,102.455,104.956,109.698,113.041,118.506,121.507
