GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "13001","Appling, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",982626,945262,1010185,1103424,1007618,1062868,1051311,1138403,1077569,1233495,1374050,1429736,1378194,1355731,1351221,1406512,1427534,1417429
 "13001","Appling, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",68.728,66.114,70.655,77.177,70.476,74.340,73.532,79.623,75.368,86.274,96.105,100.000,96.395,94.824,94.508,98.376,99.846,99.139
 "13001","Appling, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",806281,754473,843623,949162,898196,1000859,1003806,1084769,1112784,1250055,1398241,1429736,1425723,1488257,1494035,1518826,1577575,1614326
 "13003","Atkinson, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",158956,159646,172893,174216,185640,193992,178972,216982,205847,212865,175595,175956,184218,184189,211521,213898,224844,236695
 "13003","Atkinson, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.339,90.731,98.259,99.011,105.504,110.251,101.714,123.316,116.988,120.976,99.795,100.000,104.696,104.679,120.213,121.564,127.784,134.520
 "13003","Atkinson, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",130693,130192,145789,157851,163191,169678,164463,200147,187520,197967,169805,175956,192535,196761,229378,233997,249092,268730
 "13005","Bacon, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",281533,253916,266188,275349,288359,289625,296024,300219,292843,298169,307201,306174,313903,323569,332628,351341,361434,357666
 "13005","Bacon, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.952,82.932,86.940,89.932,94.181,94.595,96.685,98.055,95.646,97.386,100.336,100.000,102.524,105.681,108.640,114.752,118.049,116.818
 "13005","Bacon, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",223737,204575,218877,235054,246505,250677,263935,272091,268257,279189,298875,306174,321713,336992,348701,369297,386738,387642
 "13007","Baker, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",101676,113117,118168,102932,118665,117192,111984,106881,101951,104990,106687,112876,102709,85138,82734,94739,81967,87742
 "13007","Baker, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.077,100.213,104.688,91.190,105.128,103.824,99.210,94.688,90.321,93.013,94.517,100.000,90.993,75.426,73.296,83.932,72.617,77.733
 "13007","Baker, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",69367,76575,84583,80309,88460,87391,96851,93582,80830,89130,103958,112876,105256,84932,79544,87810,78956,84612
 "13009","Baldwin, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1355459,1449132,1446818,1403579,1403780,1441971,1430969,1413239,1352383,1301237,1280367,1249506,1216111,1233350,1221127,1221974,1226412,1237235
 "13009","Baldwin, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",108.480,115.976,115.791,112.331,112.347,115.403,114.523,113.104,108.233,104.140,102.470,100.000,97.327,98.707,97.729,97.797,98.152,99.018
 "13009","Baldwin, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1045069,1143528,1165811,1159854,1194359,1266440,1296494,1303590,1289858,1252020,1248269,1249506,1251290,1302080,1326533,1354031,1381140,1426587
 "13011","Banks, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",291424,290391,290683,324453,335007,327500,345397,345602,320858,305848,277055,322644,329691,356781,374857,376263,423761,432928
 "13011","Banks, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.324,90.004,90.094,100.561,103.832,101.505,107.052,107.116,99.447,94.795,85.870,100.000,102.184,110.580,116.183,116.619,131.340,134.182
 "13011","Banks, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",229933,229764,235813,277721,284248,285109,316577,322447,296468,289129,270027,322644,338367,365479,375266,370498,429674,443231
 "13013","Barrow, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1068069,1123447,1219738,1308947,1383667,1492416,1552135,1497070,1399004,1418297,1475524,1524649,1587331,1637790,1690337,1720364,1794017,1884951
 "13013","Barrow, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",70.053,73.686,80.001,85.852,90.753,97.886,101.803,98.191,91.759,93.025,96.778,100.000,104.111,107.421,110.867,112.837,117.668,123.632
 "13013","Barrow, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",819319,880076,970594,1069954,1165178,1300906,1396495,1377704,1320136,1350705,1430328,1524649,1627704,1718842,1818509,1886140,2000246,2150298
 "13015","Bartow, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3628991,3716382,3760313,3914270,3866954,4002436,4206582,4386322,4101192,4182078,3994607,3751953,3880548,4206505,4109404,4384889,4377573,4495356
 "13015","Bartow, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.723,99.052,100.223,104.326,103.065,106.676,112.117,116.908,109.308,111.464,106.467,100.000,103.427,112.115,109.527,116.869,116.675,119.814
 "13015","Bartow, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2915007,2994512,3083553,3275806,3336648,3594796,3853496,4076496,3997510,4066633,3947100,3751953,3965608,4443938,4432986,4753193,4820688,5074625
 "13017","Ben Hill, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",650950,632717,606942,632509,630402,666104,612828,542153,495527,510024,502913,497296,487045,484492,476982,480766,479336,481148
 "13017","Ben Hill, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",130.898,127.232,122.049,127.190,126.766,133.945,123.232,109.020,99.644,102.559,101.129,100.000,97.939,97.425,95.915,96.676,96.389,96.753
 "13017","Ben Hill, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",545578,535349,517041,546952,550464,585776,549590,492149,464326,484569,486087,497296,504420,518147,524708,541285,548564,565992
 "13019","Berrien, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",352335,364327,409461,450911,479771,510563,500426,455485,422298,426817,403715,382402,345269,339164,325527,327001,340702,354815
 "13019","Berrien, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.137,95.273,107.076,117.915,125.462,133.515,130.864,119.111,110.433,111.615,105.573,100.000,90.290,88.693,85.127,85.512,89.095,92.786
 "13019","Berrien, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",275769,289204,331708,376864,403065,438117,453381,418817,388497,401642,394616,382402,353893,356478,351849,361404,382458,406799
 "13021","Bibb, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",8229392,8117681,7784787,7806784,7708392,7676814,7410504,7557118,7370954,7260424,7288364,7339079,7424155,7597066,7746567,7651253,7746876,7980755
 "13021","Bibb, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",112.131,110.609,106.073,106.373,105.032,104.602,100.973,102.971,100.434,98.928,99.309,100.000,101.159,103.515,105.552,104.254,105.557,108.743
 "13021","Bibb, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",6451667,6532667,6358646,6517415,6615047,6799476,6756664,7007743,7015897,6995098,7118969,7339079,7602533,7931278,8282971,8330480,8558068,9013633
 "13023","Bleckley, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",318066,345585,370975,359442,326861,349457,363656,302575,281171,281433,269134,281101,248268,227719,224077,222459,226437,232430
 "13023","Bleckley, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",113.150,122.940,131.972,127.869,116.279,124.317,129.368,107.639,100.025,100.118,95.743,100.000,88.320,81.010,79.714,79.139,80.554,82.686
 "13023","Bleckley, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",251704,275626,296840,292888,272497,301082,329114,279707,265297,268927,261149,281101,255092,239638,242761,246308,255520,269289
 "13025","Brantley, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",200634,206552,202569,212901,220209,223782,223233,197507,186482,193563,195838,194327,193165,206632,217794,228431,232714,240294
 "13025","Brantley, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.245,106.291,104.241,109.558,113.319,115.157,114.875,101.636,95.963,99.607,100.777,100.000,99.402,106.332,112.076,117.550,119.754,123.654
