GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15001","Hawaii, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5187531,5457795,5858565,6341012,6996804,7136637,7034597,7015889,6530941,6753986,6727173,6922500,6910068,6858151,7233030,7524692,7867421,8124355
 "15001","Hawaii, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",74.937,78.841,84.631,91.600,101.073,103.093,101.619,101.349,94.344,97.566,97.178,100.000,99.820,99.070,104.486,108.699,113.650,117.362
 "15001","Hawaii, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3963137,4258394,4670660,5210309,5935317,6277019,6425838,6533891,6212613,6465736,6567892,6922500,7076168,7178695,7729714,8153665,8684784,9152883
 "15003","Honolulu, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",43024704,44277809,46183519,48973208,51099307,52006083,52602559,53607046,52467108,53789213,54468559,55365812,55933821,55980180,57640119,58642584,59924134,61095819
 "15003","Honolulu, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.710,79.973,83.415,88.454,92.294,93.932,95.009,96.823,94.764,97.152,98.379,100.000,101.026,101.110,104.108,105.918,108.233,110.349
 "15003","Honolulu, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",32902738,34730078,37169141,40586212,43781451,46121959,48174421,49946828,49792499,51671319,53296208,55365812,57009558,58406241,61692511,63667438,66255462,69252343
 "15007","Kauai, HI",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2492503,2560887,2722839,2896601,3004721,3100096,3215032,3195289,2862205,2958335,3030114,3182871,3332422,3434546,3633843,3748281,3849132,4083693
 "15007","Kauai, HI",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.310,80.458,85.547,91.006,94.403,97.399,101.010,100.390,89.925,92.945,95.201,100.000,104.699,107.907,114.169,117.764,120.933,128.302
 "15007","Kauai, HI",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1924560,2022390,2188642,2390919,2568900,2747117,2957114,2999811,2743723,2845921,2956112,3182871,3409182,3595934,3896982,4087628,4267229,4632808
 "15901","Maui + Kalawao, HI*",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5307246,5606971,6064044,6707673,7456811,8152248,8330418,7865574,7234625,7504598,7854040,8111540,8101385,8255812,8676225,8985754,9073660,9345639
 "15901","Maui + Kalawao, HI*",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",65.428,69.123,74.758,82.693,91.928,100.502,102.698,96.968,89.189,92.518,96.826,100.000,99.875,101.779,106.961,110.777,111.861,115.214
 "15901","Maui + Kalawao, HI*",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4103900,4436232,4900698,5574317,6382257,7218861,7676120,7384172,6943138,7213884,7662367,8111540,8293416,8673447,9390789,9935047,10221377,10759866
"Note: See the included footnote file."
"CAGDP1: Gross Domestic Product (GDP) summary by county and metropolitan area "
"Last updated: December 12, 2019 -- new statistics for 2001-2018. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
