GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "19001","Adair, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",253471,270486,272391,321481,282737,291786,276741,305208,289391,284644,317355,308254,344693,324062,328347,315310,319374,324537
 "19001","Adair, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.228,87.748,88.366,104.291,91.722,94.658,89.777,99.012,93.881,92.341,102.953,100.000,111.821,105.128,106.518,102.289,103.608,105.282
 "19001","Adair, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",196539,211982,218288,270240,238891,257518,258628,286889,265300,265536,309564,308254,354681,338395,348586,340306,351379,366805
 "19003","Adams, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",143313,169650,145118,166861,146435,143958,137023,161809,169809,167242,185028,176310,210415,257574,283787,302511,280320,296386
 "19003","Adams, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.285,96.223,82.308,94.641,83.056,81.651,77.717,91.775,96.313,94.857,104.945,100.000,119.344,146.092,160.960,171.579,158.993,168.105
 "19003","Adams, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",105906,125057,111480,135966,116525,116343,117897,142368,143814,147875,179456,176310,214980,260573,283706,300434,284140,302514
 "19005","Allamakee, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",476497,478789,506316,547378,541030,557361,555703,541585,505021,542931,557204,528705,538374,560134,571989,593313,544488,541503
 "19005","Allamakee, IA",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.125,90.559,95.765,103.532,102.331,105.420,105.106,102.436,95.520,102.691,105.390,100.000,101.829,105.945,108.187,112.220,102.985,102.421
 "19005","Allamakee, IA",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",364025,370871,399577,442137,442704,467226,483893,482736,470524,509278,542591,528705,552288,580112,584821,596428,561025,567556
 "19007","Appanoose, IA",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",318390,333763,350101,372050,365033,360955,342130,359226,357965,360406,370137,371473,367872,352747,357330,359058,358792,348067
