GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "16001","Ada, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",14308781,14737413,15800362,17102838,19122016,18771162,18833332,19604177,18852166,18949263,18965811,19041517,19891720,20874128,21444205,22468149,23670890,24825864
 "16001","Ada, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.145,77.396,82.978,89.819,100.423,98.580,98.907,102.955,99.006,99.516,99.602,100.000,104.465,109.624,112.618,117.996,124.312,130.378
 "16001","Ada, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",13159704,13610094,14505299,15820087,17838928,17691653,18046701,18805437,18336569,18437615,18615002,19041517,20238569,21585196,22613209,24018818,25645331,27409991
 "16003","Adams, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",76247,77297,78120,88177,96586,105374,106551,96002,93250,97342,96746,103551,104917,108063,119571,120665,120956,128547
 "16003","Adams, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.632,74.646,75.441,85.153,93.274,101.760,102.897,92.710,90.052,94.003,93.428,100.000,101.319,104.357,115.471,116.527,116.808,124.139
 "16003","Adams, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",57261,59426,61907,72747,82254,93036,97321,89034,88425,93232,94473,103551,108338,114077,126675,128458,131433,142975
 "16005","Bannock, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2197686,2161428,2237945,2390568,2553607,2588314,2628920,2719363,2575855,2589085,2545076,2517445,2522413,2530275,2572790,2621524,2700656,2745368
 "16005","Bannock, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.298,85.858,88.897,94.960,101.436,102.815,104.428,108.021,102.320,102.846,101.098,100.000,100.197,100.510,102.198,104.134,107.278,109.054
 "16005","Bannock, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1822744,1816631,1895874,2063358,2249998,2334182,2431632,2552820,2467343,2491861,2480484,2517445,2565695,2625783,2728551,2821777,2951510,3067167
 "16007","Bear Lake, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",123534,119994,129972,127576,131071,133712,143853,143865,143556,141880,146980,162732,161201,165068,167452,167965,169017,171856
 "16007","Bear Lake, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.912,73.737,79.869,78.396,80.544,82.167,88.398,88.406,88.216,87.186,90.320,100.000,99.059,101.435,102.901,103.215,103.862,105.606
 "16007","Bear Lake, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",93618,92703,103053,105758,110691,116945,130491,133784,134634,134974,143424,162732,165284,171568,174346,174716,179898,187363
 "16009","Benewah, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",245374,255404,251732,266283,286903,296421,315026,308616,306669,333226,354557,298804,285600,269269,285691,287969,294088,297905
 "16009","Benewah, ID",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.119,85.476,84.247,89.116,96.017,99.203,105.429,103.284,102.632,111.520,118.659,100.000,95.581,90.116,95.612,96.374,98.422,99.699
 "16009","Benewah, ID",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",192019,203380,206343,230803,254665,269403,292051,290770,281998,318755,347402,298804,298472,291370,314546,321760,334552,350794
 "16011","Bingham, ID",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1056865,1176703,1076742,1078780,1049445,1306705,1320824,1306016,1342756,1294888,1364654,1307448,1298062,1220351,1234736,1224788,1289411,1335050
