GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17001","Adams, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2546983,2619132,2756402,2841920,2906927,3079339,3117788,3184107,3075876,3226885,3297267,3330688,3246871,3146688,3184014,3120703,3139643,3284870
 "17001","Adams, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.470,78.636,82.758,85.325,87.277,92.454,93.608,95.599,92.350,96.883,98.997,100.000,97.483,94.476,95.596,93.695,94.264,98.624
 "17001","Adams, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2044768,2141819,2284852,2409215,2514523,2715167,2823138,2929028,2924668,3081443,3202312,3330688,3318592,3278916,3396755,3384373,3446655,3676937
 "17003","Alexander, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",199926,206703,206345,214902,210564,234625,228978,265214,237621,245316,214936,193739,190045,175200,169523,180046,175907,180487
 "17003","Alexander, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.194,106.692,106.507,110.924,108.685,121.104,118.189,136.893,122.650,126.622,110.941,100.000,98.093,90.431,87.501,92.932,90.796,93.160
 "17003","Alexander, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",142760,151838,155213,169362,171639,198544,202086,240636,219634,231641,210075,193739,193943,181483,178971,191230,191487,199171
 "17005","Bond, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",428292,426744,447280,488582,466627,501981,488609,498036,495621,522568,524464,530428,541347,519420,538723,505537,510397,556141
 "17005","Bond, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.745,80.453,84.324,92.111,87.972,94.637,92.116,93.893,93.438,98.518,98.876,100.000,102.059,97.925,101.564,95.307,96.224,104.848
 "17005","Bond, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",325588,330922,355205,402044,389616,433890,439356,457153,462054,492804,510880,530428,553803,538562,569086,541103,555328,617298
 "17007","Boone, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1212899,1273011,1257585,1278013,1330495,1690922,1715950,1522489,1138484,1311776,1459885,1525553,1555355,1519028,1539986,1576573,1494617,1706969
 "17007","Boone, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.506,83.446,82.435,83.774,87.214,110.840,112.480,99.799,74.628,85.987,95.695,100.000,101.954,99.572,100.946,103.344,97.972,111.892
 "17007","Boone, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1078262,1139893,1133639,1161006,1221468,1543032,1590722,1402978,1116812,1274648,1412436,1525553,1590927,1591951,1694055,1756058,1680012,1931882
 "17009","Brown, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",253620,264800,303525,315467,306933,316141,325504,328426,333448,350640,353338,372637,399584,390163,399933,387127,403323,403332
 "17009","Brown, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",68.061,71.061,81.453,84.658,82.368,84.839,87.352,88.136,89.484,94.097,94.821,100.000,107.232,104.703,107.325,103.889,108.235,108.237
 "17009","Brown, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",185702,195857,230290,252944,250096,265962,286858,297812,307168,327857,343095,372637,408529,403085,419125,409061,432051,445261
 "17011","Bureau, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1162687,1267663,1191113,1218656,1152178,1218158,1244141,1252755,1177100,1167841,1319721,1278415,1337688,1228141,1214852,1156349,1196240,1200477
 "17011","Bureau, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.948,99.159,93.171,95.326,90.126,95.287,97.319,97.993,92.075,91.351,103.231,100.000,104.636,96.068,95.028,90.452,93.572,93.904
 "17011","Bureau, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",914877,1005011,967586,1028809,991145,1076295,1142688,1172813,1126515,1118072,1291084,1278415,1367322,1269429,1283401,1240298,1302137,1340134
 "17013","Calhoun, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",104559,110296,103379,109113,105137,118050,114309,119354,118595,127942,123918,118242,117542,106812,111252,100621,100905,109270
 "17013","Calhoun, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.428,93.280,87.430,92.280,88.917,99.837,96.674,100.941,100.298,108.203,104.801,100.000,99.408,90.333,94.088,85.097,85.337,92.412
 "17013","Calhoun, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",77430,83107,80566,90283,88269,102475,105061,111492,109371,121046,121308,118242,120181,110411,117135,107470,109823,121332
 "17015","Carroll, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",470442,464361,471441,472325,468839,529052,537069,497114,472915,512671,571261,532629,566966,525603,486450,561679,530307,463346
 "17015","Carroll, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.324,87.183,88.512,88.678,88.023,99.328,100.834,93.332,88.789,96.253,107.253,100.000,106.447,98.681,91.330,105.454,99.564,86.992
 "17015","Carroll, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",350575,349816,363999,378930,383528,443666,478148,452158,440046,479387,554114,532629,582278,541907,507399,584480,568352,506844
 "17017","Cass, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",528305,520666,600361,612861,589949,612484,625334,784569,941111,943522,586486,593482,647241,650510,622333,612636,622070,638399
 "17017","Cass, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.018,87.731,101.159,103.265,99.405,103.202,105.367,132.198,158.575,158.981,98.821,100.000,109.058,109.609,104.861,103.227,104.817,107.568
