GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18001","Adams, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1122771,1192568,1252633,1277475,1203418,1264995,1271809,1166758,981004,1104368,1161668,1198368,1222110,1278431,1239264,1281672,1351353,1416976
 "18001","Adams, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.692,99.516,104.528,106.601,100.421,105.560,106.128,97.362,81.862,92.156,96.938,100.000,101.981,106.681,103.413,106.951,112.766,118.242
 "18001","Adams, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",945430,1020945,1079087,1112554,1057666,1118993,1151157,1065678,939055,1052976,1121670,1198368,1252740,1330399,1319598,1378062,1469296,1552083
 "18003","Allen, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",14612671,14829696,15304117,15718183,16174422,16746126,17109894,16333148,15208829,15532220,15910035,16777850,16729110,18087674,18874695,18938297,19105381,19716158
 "18003","Allen, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.095,88.389,91.216,93.684,96.403,99.811,101.979,97.349,90.648,92.576,94.828,100.000,99.710,107.807,112.498,112.877,113.873,117.513
 "18003","Allen, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",12356779,12710734,13229656,13867036,14567553,15373055,15988665,15378533,14689354,15034328,15567691,16777850,17006179,18697187,19937884,20248901,20626868,21759326
 "18005","Bartholomew, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3515083,3437741,3597936,3800280,3986858,4399441,4884391,5174024,4303546,5208278,5382381,5824681,6024392,5847599,5804117,5827358,6063299,6363058
 "18005","Bartholomew, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",60.348,59.020,61.771,65.244,68.448,75.531,83.857,88.829,73.885,89.417,92.406,100.000,103.429,100.393,99.647,100.046,104.097,109.243
 "18005","Bartholomew, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2960772,2930887,3086187,3288985,3519107,3923217,4456148,4751109,4229290,5035022,5193877,5824681,6200354,6161779,6401180,6553053,6824549,7192801
 "18007","Benton, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",246348,270853,253418,257184,245908,271939,273217,297561,276070,347453,386100,340738,432963,389086,363736,427764,406379,421798
 "18007","Benton, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.298,79.490,74.373,75.478,72.169,79.809,80.184,87.328,81.021,101.971,113.313,100.000,127.066,114.189,106.749,125.540,119.264,123.789
 "18007","Benton, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",192128,211615,203566,217209,207672,234485,253611,280665,249244,322077,380537,340738,445483,401058,374071,431825,420469,444110
 "18009","Blackford, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",327764,336162,339140,353785,345736,352071,349534,318441,272640,296022,289559,289344,287331,286216,267607,299424,297807,292995
 "18009","Blackford, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",113.278,116.181,117.210,122.271,119.490,121.679,120.802,110.056,94.227,102.308,100.074,100.000,99.305,98.919,92.488,103.484,102.925,101.262
 "18009","Blackford, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",262250,272151,275320,291595,289156,303640,310512,288112,254039,279122,282424,289344,295609,296109,283192,318296,323949,324631
 "18011","Boone, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1312836,1394975,1480641,1608427,1652189,1749743,1761323,1859272,1740312,1848527,2002293,2054879,2662728,3716155,3879642,3894398,4344034,4528949
 "18011","Boone, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",63.889,67.886,72.055,78.274,80.403,85.151,85.714,90.481,84.692,89.958,97.441,100.000,129.581,180.845,188.802,189.520,211.401,220.400
 "18011","Boone, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1012299,1093846,1183502,1328127,1401249,1532289,1601373,1723036,1649027,1762130,1951052,2054879,2674407,3694352,3793218,3470968,4213461,4894814
 "18013","Brown, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",242524,249545,246365,238326,236837,253558,240808,235746,224535,228497,235088,240847,239823,247151,243485,242380,236847,241987
 "18013","Brown, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.696,103.611,102.291,98.953,98.335,105.277,99.984,97.882,93.227,94.872,97.609,100.000,99.575,102.617,101.095,100.636,98.339,100.473
 "18013","Brown, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",184876,195018,196543,196495,202329,224390,220506,220032,214746,219528,229150,240847,245897,259456,262752,266430,265100,276637
 "18015","Carroll, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",534864,567868,567315,577442,552379,596716,626289,631668,583057,627696,649971,573696,619243,603669,567678,618213,618854,661601
 "18015","Carroll, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.231,98.984,98.888,100.653,96.284,104.013,109.167,110.105,101.632,109.413,113.296,100.000,107.939,105.225,98.951,107.760,107.871,115.323
 "18015","Carroll, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",385823,419208,426405,445426,427910,466668,517017,541309,516887,569196,622048,573696,632733,614243,571487,616657,628910,669215
 "18017","Cass, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1218353,1282787,1307091,1319102,1254489,1350836,1346618,1354161,1172399,1205606,1241522,1180839,1243012,1252319,1164403,1214464,1220270,1258237
 "18017","Cass, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.177,108.634,110.692,111.709,106.237,114.396,114.039,114.678,99.285,102.097,105.139,100.000,105.265,106.053,98.608,102.848,103.339,106.555
 "18017","Cass, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",973968,1044760,1070612,1096796,1058578,1154761,1189466,1222887,1109265,1145746,1197415,1180839,1272584,1303594,1248090,1323633,1339312,1394263
 "18019","Clark, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3494363,3376350,3477984,3533835,3664046,3902138,4086459,4093366,4005082,4202096,4342225,4366212,4404271,4380722,4326567,4343758,4355017,4380616
 "18019","Clark, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.032,77.329,79.657,80.936,83.918,89.371,93.593,93.751,91.729,96.241,99.451,100.000,100.872,100.332,99.092,99.486,99.744,100.330
 "18019","Clark, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2844878,2827855,2994148,3109828,3307273,3605314,3818763,3878252,3795536,4053778,4253636,4366212,4475733,4552092,4618336,4671041,4806941,5008620
 "18021","Clay, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",526609,545181,603344,619396,612107,649324,641889,599460,541302,615705,631564,578547,640939,617903,597363,599020,618062,640668
 "18021","Clay, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.023,94.233,104.286,107.061,105.801,112.234,110.948,103.615,93.562,106.423,109.164,100.000,110.784,106.803,103.252,103.539,106.830,110.737
 "18021","Clay, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",435649,455579,509608,531242,528883,562088,569211,538703,509647,580192,608888,578547,657190,645341,650648,664350,693067,727534
 "18023","Clinton, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1189468,1321962,1184403,1192191,1091305,1144016,1176514,1177357,1062048,1101341,1149025,1111284,1131160,1100580,1035616,1005079,1029168,1100849
 "18023","Clinton, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",107.035,118.958,106.580,107.280,98.202,102.945,105.870,105.946,95.569,99.105,103.396,100.000,101.789,99.037,93.191,90.443,92.611,99.061
 "18023","Clinton, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",963211,1103777,993957,1003517,925704,973159,1027949,1055112,1000577,1037446,1103435,1111284,1160171,1148442,1117307,1111877,1138892,1227166
 "18025","Crawford, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",169750,178208,186414,177032,172457,182127,174849,167018,153342,179812,179899,181715,180811,181866,181310,180768,188878,188897
 "18025","Crawford, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.415,98.070,102.586,97.423,94.905,100.226,96.221,91.912,84.386,98.953,99.000,100.000,99.503,100.083,99.777,99.479,103.942,103.952
 "18025","Crawford, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",129042,138214,147274,144124,144919,156663,154793,152023,146504,173863,175626,181715,181656,185720,190760,191310,205713,210445
 "18027","Daviess, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",926199,908124,971161,946530,959748,1034449,1068698,1041737,995634,1006180,1032277,959892,1073173,1044073,1104312,1055918,1116774,1159916
 "18027","Daviess, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.490,94.607,101.174,98.608,99.985,107.767,111.335,108.526,103.724,104.822,107.541,100.000,111.801,108.770,115.045,110.004,116.344,120.838
 "18027","Daviess, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",634728,637952,699632,715894,751488,840031,912149,919207,894123,926765,1000983,959892,1092697,1076965,1147449,1106924,1189584,1256279
 "18029","Dearborn, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1583535,1653226,1675331,1715805,1586019,1618805,1544146,1453435,1367409,1463501,1569076,1654756,1408185,1444298,1553011,1552498,1547368,1510907
 "18029","Dearborn, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.696,99.908,101.243,103.689,95.846,97.827,93.316,87.834,82.635,88.442,94.822,100.000,85.099,87.282,93.851,93.820,93.510,91.307
 "18029","Dearborn, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1260895,1341823,1389815,1448174,1381038,1457888,1424066,1362282,1341518,1430525,1546361,1654756,1445450,1531562,1692300,1705198,1723287,1723364
 "18031","Decatur, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",981201,1019990,1073571,1039516,1062031,1142235,1183322,1166671,943678,1195020,1212985,1334206,1379694,1350793,1247248,1292516,1374281,1431726
 "18031","Decatur, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.542,76.449,80.465,77.913,79.600,85.612,88.691,87.443,70.730,89.568,90.914,100.000,103.409,101.243,93.482,96.875,103.004,107.309
 "18031","Decatur, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",879896,914074,965381,944244,958705,1021524,1089879,1075631,913828,1148376,1168441,1334206,1407980,1407186,1374251,1451153,1550032,1614745
 "18033","DeKalb, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1867595,2099790,2171189,2211462,1998419,1916153,2047254,1935736,1662361,1909355,1935551,2045201,2219702,2210885,2333251,2413806,2418339,2466948
 "18033","DeKalb, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.316,102.669,106.160,108.129,97.713,93.690,100.100,94.648,81.281,93.358,94.639,100.000,108.532,108.101,114.084,118.023,118.245,120.621
 "18033","DeKalb, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1470888,1667283,1715162,1843043,1725941,1727093,1891523,1826128,1561056,1822206,1904611,2045201,2224491,2254606,2399380,2466347,2536683,2675170
 "18035","Delaware, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3913738,3902199,4003732,3903392,3844701,3901938,3733663,3633323,3327328,3474690,3500579,3567748,3622747,3688306,3762814,3754936,3827953,3872532
 "18035","Delaware, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",109.698,109.374,112.220,109.408,107.763,109.367,104.650,101.838,93.261,97.392,98.117,100.000,101.542,103.379,105.467,105.247,107.293,108.543
 "18035","Delaware, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3187982,3221725,3344105,3325635,3342424,3471197,3424989,3384106,3175775,3348130,3422242,3567748,3695006,3838331,4003861,4051315,4201414,4344450
 "18037","Dubois, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2049363,2133854,2205696,2230031,2352192,2438456,2339601,2198366,1937394,2129473,2202933,2162905,2291257,2465433,2598251,2506210,2573161,2615764
 "18037","Dubois, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.750,98.657,101.978,103.104,108.752,112.740,108.169,101.640,89.574,98.454,101.851,100.000,105.934,113.987,120.128,115.872,118.968,120.938
 "18037","Dubois, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1691941,1782430,1857288,1891299,2026449,2130811,2119886,2013848,1864794,2035282,2130287,2162905,2329307,2532758,2720692,2649148,2735108,2799466
 "18039","Elkhart, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7863219,8457392,9298688,9823557,10490183,11128452,11200098,9696318,7311006,9070640,8971031,9218193,9573267,10168793,10329039,10767472,11979393,12038611
 "18039","Elkhart, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.301,91.747,100.873,106.567,113.799,120.723,121.500,105.187,79.311,98.399,97.319,100.000,103.852,110.312,112.051,116.807,129.954,130.596
 "18039","Elkhart, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",7320810,7874213,8660490,9176376,9774559,10231283,10370255,8923475,7179860,8787597,8669880,9218193,9779291,10594223,11209575,11830119,13240082,13410875
 "18041","Fayette, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",752039,828971,846553,783766,748813,755398,706148,619183,513588,568472,572395,557890,567528,552589,537627,549131,556121,583073
 "18041","Fayette, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",134.801,148.590,151.742,140.488,134.222,135.403,126.575,110.987,92.059,101.897,102.600,100.000,101.728,99.050,96.368,98.430,99.683,104.514
 "18041","Fayette, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",702559,766947,785632,723559,682479,678090,647462,569115,487250,543714,556671,557890,580087,574824,575606,596974,613440,652810
 "18043","Floyd, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2082314,2118425,2210513,2321020,2374952,2511176,2490214,2476661,2279655,2354728,2263717,2240907,2272180,2369357,2425417,2534222,2530820,2600472
 "18043","Floyd, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.923,94.534,98.644,103.575,105.982,112.061,111.125,110.520,101.729,105.079,101.018,100.000,101.396,105.732,108.234,113.089,112.937,116.046
 "18043","Floyd, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1710039,1768213,1868905,2001312,2104403,2283560,2305552,2318801,2212193,2282926,2209000,2240907,2326798,2475756,2606634,2766888,2793614,2927125
 "18045","Fountain, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",403955,441457,475938,488043,471252,479612,538877,546745,432167,536960,529364,556540,606113,516671,498302,517273,500903,536769
 "18045","Fountain, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.583,79.322,85.517,87.692,84.675,86.177,96.826,98.240,77.652,96.482,95.117,100.000,108.907,92.836,89.536,92.944,90.003,96.448
 "18045","Fountain, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",343193,375443,409434,442052,429267,448187,527252,539375,396551,512720,525126,556540,604344,524176,509629,525309,524069,575303
 "18047","Franklin, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",456000,441590,496666,501497,477640,485912,472426,461574,461694,463526,473288,453820,448027,501358,465677,470792,486509,495074
 "18047","Franklin, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.480,97.305,109.441,110.506,105.249,107.072,104.100,101.709,101.735,102.139,104.290,100.000,98.724,110.475,102.613,103.740,107.203,109.090
 "18047","Franklin, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",317998,307425,357727,376923,378530,398743,402765,393873,385957,405671,452966,453820,446743,501553,472549,465210,503899,543631
 "18049","Fulton, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",551309,576482,589963,608059,587094,590067,625894,622995,525094,601982,597713,616560,626644,602526,598362,606147,642335,626150
 "18049","Fulton, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.417,93.500,95.686,98.621,95.221,95.703,101.514,101.044,85.165,97.636,96.943,100.000,101.636,97.724,97.048,98.311,104.181,101.555
 "18049","Fulton, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",424250,451854,467775,502763,498525,516495,564129,573562,490625,568843,583495,616560,639236,624640,630213,645076,696341,695177
 "18051","Gibson, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1682281,1843851,2124174,2143206,2288886,2526378,2627591,2471818,2094430,2634685,2621022,2673051,2884952,2823282,2677512,2838950,3049925,2902220
 "18051","Gibson, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",62.935,68.979,79.466,80.178,85.628,94.513,98.299,92.472,78.354,98.565,98.054,100.000,107.927,105.620,100.167,106.206,114.099,108.573
 "18051","Gibson, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1465235,1576218,1849989,1886034,2043737,2280708,2405509,2256408,2092828,2598655,2594947,2673051,2925679,2949725,2864092,3021553,3309557,3176959
