GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "20001","Allen, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",421398,437058,450723,473124,446281,469724,472477,508742,508311,494517,501859,508973,504775,481888,472585,445634,466896,474012
 "20001","Allen, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.794,85.871,88.555,92.957,87.683,92.289,92.829,99.955,99.870,97.160,98.602,100.000,99.175,94.678,92.851,87.556,91.733,93.131
 "20001","Allen, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",338196,356818,372472,398230,382971,414083,426416,469656,476051,470309,487346,508973,517078,499375,497101,475059,503313,518487
 "20003","Anderson, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",170226,180158,176302,177775,176325,185738,201597,220146,235091,217094,231698,233567,244527,265189,241649,283448,218806,231865
 "20003","Anderson, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.881,77.133,75.482,76.113,75.492,79.522,86.312,94.254,100.652,92.947,99.200,100.000,104.692,113.538,103.460,121.356,93.680,99.271
 "20003","Anderson, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",123748,132249,134380,142960,144244,157535,177749,200050,209494,199393,225683,233567,250177,268269,236523,269190,214519,232421
 "20005","Atchison, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",581390,524885,486860,507709,491503,509963,535206,532759,544461,525918,558162,507367,548341,574249,541924,535508,567131,578478
 "20005","Atchison, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",114.590,103.453,95.958,100.067,96.873,100.512,105.487,105.005,107.311,103.656,110.011,100.000,108.076,113.182,106.811,105.547,111.779,114.016
 "20005","Atchison, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",429130,393548,370912,407477,407229,446125,485873,498272,501664,498745,549487,507367,553948,588931,559671,560202,601755,625864
 "20007","Barber, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",157497,184415,202679,183730,196705,235405,209295,225126,230792,244677,253645,280246,290745,267080,241482,222525,235137,221700
 "20007","Barber, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",56.200,65.805,72.322,65.560,70.190,83.999,74.682,80.331,82.353,87.308,90.508,100.000,103.746,95.302,86.168,79.403,83.904,79.109
 "20007","Barber, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",116380,135431,160069,156241,173957,212226,205517,240825,202471,235325,262367,280246,302866,278395,214459,194281,215603,212161
 "20009","Barton, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",898606,909377,953640,972800,1005240,1118145,1128009,1201802,1170794,1176527,1201127,1273710,1267514,1320926,1225174,1187354,1172947,1205928
 "20009","Barton, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",70.550,71.396,74.871,76.375,78.922,87.786,88.561,94.354,91.920,92.370,94.301,100.000,99.514,103.707,96.189,93.220,92.089,94.678
 "20009","Barton, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",664981,685150,739806,786139,837167,961243,1022841,1127966,1062641,1104583,1181529,1273710,1297626,1365880,1244828,1204354,1217350,1283115
 "20011","Bourbon, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",505227,535678,528903,562132,554875,598562,567056,546436,531476,510983,492223,521643,531036,523814,539898,539996,553521,558719
 "20011","Bourbon, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.853,102.691,101.392,107.762,106.371,114.745,108.706,104.753,101.885,97.956,94.360,100.000,101.801,100.416,103.500,103.518,106.111,107.108
 "20011","Bourbon, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",388152,419000,421075,460389,469795,526300,513131,505607,508961,493042,480959,521643,541484,543264,574162,583623,605453,624532
 "20013","Brown, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",330637,298130,342056,396051,392671,388288,425141,406514,486427,398600,499838,454247,498338,464067,435913,420295,416927,433017
 "20013","Brown, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.788,65.632,75.302,87.189,86.444,85.480,93.593,89.492,107.084,87.750,110.037,100.000,109.706,102.162,95.964,92.526,91.784,95.327
 "20013","Brown, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",261897,239256,281248,339076,333253,334273,383972,373653,444242,371299,484555,454247,512657,482053,461091,450836,451057,474942
