GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "21001","Adair, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",287944,299827,304027,296845,311537,319537,324249,329407,325456,335039,338418,346952,347094,343257,334063,323124,321031,328768
 "21001","Adair, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.993,86.417,87.628,85.558,89.793,92.098,93.456,94.943,93.804,96.566,97.540,100.000,100.041,98.935,96.285,93.132,92.529,94.759
 "21001","Adair, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",217306,232038,242394,245479,266493,282036,295431,307478,307903,320997,329692,346952,356721,359459,356281,350959,354826,372239
 "21003","Allen, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",376499,359451,361732,372948,370000,405538,405677,364415,336228,376954,379785,383342,376294,390137,410211,422826,414250,429841
 "21003","Allen, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.215,93.768,94.363,97.289,96.519,105.790,105.826,95.063,87.710,98.334,99.072,100.000,98.161,101.773,107.009,110.300,108.063,112.130
 "21003","Allen, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",306385,293189,297754,312666,310789,344001,362729,333166,320843,361312,369117,383342,383175,404358,431359,448138,445177,466577
 "21005","Anderson, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",382541,419053,437999,418559,428425,439677,410119,409303,407562,420174,438847,459800,472947,434211,420867,419662,423735,434709
 "21005","Anderson, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.197,91.138,95.259,91.031,93.176,95.624,89.195,89.018,88.639,91.382,95.443,100.000,102.859,94.435,91.533,91.271,92.156,94.543
 "21005","Anderson, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",277209,312442,329305,334177,358026,390585,375387,383386,383336,403818,428708,459800,478393,452439,447398,453463,466577,489229
 "21007","Ballard, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",325030,323549,331667,324512,353291,349206,333204,328744,375103,381351,343769,316209,325263,326262,290060,263645,252110,238341
 "21007","Ballard, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.789,102.321,104.888,102.626,111.727,110.435,105.375,103.964,118.625,120.601,108.716,100.000,102.863,103.179,91.731,83.377,79.729,75.374
 "21007","Ballard, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",258223,257988,265252,265747,288202,293376,297380,300731,348695,364124,337605,316209,336282,337530,303081,274972,270618,259232
 "21009","Barren, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1212092,1285373,1303457,1353200,1365942,1380639,1270220,1218478,1094644,1249667,1351739,1428625,1381171,1389410,1365942,1365099,1375848,1381824
 "21009","Barren, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.843,89.973,91.239,94.720,95.612,96.641,88.912,85.290,76.622,87.473,94.618,100.000,96.678,97.255,95.612,95.553,96.306,96.724
 "21009","Barren, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1052771,1117240,1139897,1214367,1236412,1262246,1191660,1149646,1061242,1214248,1317753,1428625,1404684,1442865,1447467,1460014,1498965,1534841
 "21011","Bath, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",150848,172297,165300,161577,153581,151268,157304,153044,138010,140746,145087,146147,153042,148415,154741,151033,151011,153922
 "21011","Bath, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.216,117.893,113.105,110.558,105.086,103.504,107.634,104.719,94.432,96.304,99.275,100.000,104.717,101.552,105.880,103.343,103.328,105.320
 "21011","Bath, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",119632,138829,135605,136364,131823,133237,143080,142109,131724,135479,141107,146147,157272,156859,168555,168609,170862,177335
 "21013","Bell, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",814197,805108,794383,763344,753440,788392,817897,802750,777152,785302,759569,768495,739698,710716,692212,668744,672496,668283
 "21013","Bell, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",105.947,104.764,103.369,99.330,98.041,102.589,106.428,104.457,101.126,102.187,98.838,100.000,96.253,92.482,90.074,87.020,87.508,86.960
 "21013","Bell, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",551313,562139,565592,565207,586922,645878,696401,717688,713055,743492,741835,768495,741411,721077,702197,680552,705794,724868
 "21015","Boone, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",6001934,6360441,6828475,7013606,7408494,6856813,6739858,6902567,6430279,6704276,6849164,7013213,6965454,7058066,7318891,7600790,7867282,8145159
 "21015","Boone, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.580,90.692,97.366,100.006,105.636,97.770,96.102,98.422,91.688,95.595,97.661,100.000,99.319,100.640,104.359,108.378,112.178,116.140
 "21015","Boone, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4856332,5224810,5629322,5845727,6297251,6001849,6044105,6305874,6128522,6429763,6648260,7013213,7117616,7353084,7875235,8296991,8681769,9160229
