GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "22001","Acadia, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1285528,1324331,1363988,1461309,1495662,1589302,1444553,1576143,1656378,1699923,1632433,1710828,1638335,1644928,1596865,1593043,1593431,1603705
 "22001","Acadia, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.141,77.409,79.727,85.415,87.423,92.897,84.436,92.127,96.817,99.363,95.418,100.000,95.763,96.148,93.339,93.115,93.138,93.739
 "22001","Acadia, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",910713,924579,1028647,1165814,1281222,1405503,1332621,1555645,1518487,1619550,1614788,1710828,1686502,1724658,1648336,1651296,1694706,1751382
 "22003","Allen, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",637229,630723,630719,675824,728782,719191,589564,675468,750976,635582,627377,650496,623092,600640,591149,615584,629176,630538
 "22003","Allen, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.960,96.960,96.960,103.894,112.035,110.560,90.633,103.839,115.447,97.707,96.446,100.000,95.787,92.336,90.877,94.633,96.723,96.932
 "22003","Allen, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",443902,443118,469781,534283,618622,631558,536444,646557,700171,613964,617608,650496,648644,642843,631443,664768,696079,722704
 "22005","Ascension, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4339693,5832122,6082105,8351106,9761684,7764527,5978614,5624627,5977702,7342024,9118800,9336970,8441745,8679756,8200541,7922252,8313793,8603284
 "22005","Ascension, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",46.479,62.463,65.140,89.441,104.549,83.159,64.032,60.240,64.022,78.634,97.663,100.000,90.412,92.961,87.829,84.848,89.042,92.142
 "22005","Ascension, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2431261,3278472,3593029,5214904,7161726,6174991,4971776,4777897,5212268,6481629,8662401,9336970,8340507,8554980,8080113,7583549,8347668,9193915
 "22007","Assumption, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",866347,876790,761873,725660,545490,617424,583889,547820,566098,560295,570784,573383,569102,503636,439467,406603,438719,453858
