GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25001","Barnstable, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",10545971,10902846,11236139,11577933,11407828,11523016,11363221,11370964,11247064,11511568,11767036,11779966,11767695,11850633,11980440,12058261,12192071,12459842
 "25001","Barnstable, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.525,92.554,95.383,98.285,96.841,97.819,96.462,96.528,95.476,97.722,99.890,100.000,99.896,100.600,101.702,102.362,103.498,105.771
 "25001","Barnstable, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",8184913,8671447,9138142,9689691,9866967,10323974,10504419,10691957,10796253,11114302,11512334,11779966,12027966,12405048,12905980,13293364,13717227,14344348
 "25003","Berkshire, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5600630,5787231,5717819,5865274,6030676,6154004,6085553,6107501,5956969,5999044,6043630,6189410,6293268,6459109,6539113,6577320,6563795,6659360
 "25003","Berkshire, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.487,93.502,92.381,94.763,97.435,99.428,98.322,98.677,96.245,96.924,97.645,100.000,101.678,104.357,105.650,106.267,106.049,107.593
 "25003","Berkshire, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4271103,4501672,4528032,4774716,5065927,5351884,5463028,5615477,5660263,5736979,5884335,6189410,6440771,6762630,7061698,7263324,7393584,7675980
 "25005","Bristol, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",19565655,19963141,20384420,20336990,20285751,21341471,21045974,21638409,20617215,21198864,21551179,21576217,21626756,22149294,22861560,22793334,23625974,23895996
 "25005","Bristol, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.682,92.524,94.476,94.257,94.019,98.912,97.542,100.288,95.555,98.251,99.884,100.000,100.234,102.656,105.957,105.641,109.500,110.752
 "25005","Bristol, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",15598994,16184169,16727853,17093486,17514147,19016474,19310379,20163967,19781352,20470234,21086181,21576217,22071441,23034365,24364429,24668422,25958967,26827307
 "25007","Dukes, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1245692,1302110,1352868,1349738,1335649,1443253,1431106,1430591,1512528,1549052,1615147,1619458,1613252,1633575,1660210,1678037,1718947,1769760
 "25007","Dukes, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.920,80.404,83.538,83.345,82.475,89.120,88.369,88.338,93.397,95.653,99.734,100.000,99.617,100.872,102.516,103.617,106.143,109.281
 "25007","Dukes, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",940996,1012950,1078143,1118325,1149233,1292381,1330073,1352321,1456058,1494521,1579336,1619458,1649215,1708762,1790190,1853693,1938662,2038421
 "25009","Essex, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",30801725,31517592,33167202,33469318,34226510,35751928,36967391,36522656,36158488,37904995,38806835,38772792,38637863,39196646,40326051,41005451,42167576,43173489
 "25009","Essex, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.442,81.288,85.542,86.322,88.275,92.209,95.344,94.197,93.257,97.762,100.088,100.000,99.652,101.093,104.006,105.758,108.756,111.350
 "25009","Essex, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",25984437,26948855,28569484,29265349,30575143,32629298,34386124,34305603,34901627,36641419,37964074,38772792,39410085,40720765,42917669,44373903,46282330,48278445
 "25011","Franklin, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2505951,2569465,2603682,2557339,2534484,2594573,2584657,2526529,2507621,2595666,2573248,2575616,2588685,2616813,2688491,2701844,2749316,2807921
 "25011","Franklin, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.295,99.761,101.090,99.290,98.403,100.736,100.351,98.094,97.360,100.778,99.908,100.000,100.507,101.600,104.382,104.901,106.744,109.019
 "25011","Franklin, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1929126,2021573,2083025,2110351,2153524,2289676,2361897,2354733,2400618,2501106,2518250,2575616,2644088,2718498,2859871,2916572,3015463,3139629
 "25013","Hampden, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",18377837,18495279,18840906,19010099,19007842,19094785,19042025,19156237,18526911,18990494,19299219,19610255,19620378,19926798,20409531,20442640,20680926,20997698
 "25013","Hampden, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.715,94.314,96.077,96.940,96.928,97.371,97.102,97.685,94.476,96.840,98.414,100.000,100.052,101.614,104.076,104.245,105.460,107.075
 "25013","Hampden, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",14318260,14719555,15298022,15854687,16328263,16924612,17373799,17780797,17758507,18314082,18871546,19610255,20069685,20834477,21911933,22332104,22907546,23775963
 "25015","Hampshire, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5241206,5437227,5561644,5674178,5712224,5751208,5850744,5969807,5985822,6036345,6267608,6318249,6302717,6372782,6540484,6599855,6751489,6838493
 "25015","Hampshire, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.953,86.056,88.025,89.806,90.408,91.025,92.601,94.485,94.739,95.538,99.198,100.000,99.754,100.863,103.517,104.457,106.857,108.234
 "25015","Hampshire, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3986872,4240597,4437657,4677855,4853191,5058355,5318216,5536714,5692721,5805114,6123638,6318249,6455554,6669856,7022039,7216019,7519309,7790962
 "25017","Middlesex, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",93947759,95283404,99692407,103229216,106212991,109432234,117278728,121245701,119155228,127544243,131831523,134485882,135438550,138040096,144056910,146813885,150948251,157384459
 "25017","Middlesex, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",69.857,70.850,74.129,76.758,78.977,81.371,87.205,90.155,88.601,94.838,98.026,100.000,100.708,102.643,107.117,109.167,112.241,117.027
 "25017","Middlesex, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",83311547,85289100,89341108,93523272,97885698,102750907,111746570,116135683,116226149,124321533,129813957,134485882,137567225,142013694,150931185,155420789,161683947,171126579
 "25019","Nantucket, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1249107,1315938,1328008,1328516,1330701,1452575,1446726,1418251,1433491,1467562,1539087,1558460,1578852,1649139,1673678,1695910,1722140,1791518
