GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "24001","Allegany, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2674896,2652034,2612260,2620956,2650332,2802687,2816720,2765884,2723526,2912131,2931009,2851094,2843307,2796159,2814806,2847186,2853380,2828976
 "24001","Allegany, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.820,93.018,91.623,91.928,92.958,98.302,98.794,97.011,95.526,102.141,102.803,100.000,99.727,98.073,98.727,99.863,100.080,99.224
 "24001","Allegany, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2062768,2083545,2088867,2147879,2244325,2465498,2555542,2566458,2618619,2819581,2877487,2851094,2909053,2930315,3022436,3100863,3160562,3199879
 "24003","Anne Arundel, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",25628740,27178665,28628872,30822174,32484950,33807955,34792777,35679522,35860601,37080980,38319128,39018187,40415880,41086444,42104490,43433071,43912212,45313225
 "24003","Anne Arundel, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",65.684,69.656,73.373,78.994,83.256,86.647,89.171,91.443,91.907,95.035,98.208,100.000,103.582,105.301,107.910,111.315,112.543,116.134
 "24003","Anne Arundel, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",20604914,22375732,24103836,26534505,28743919,30823452,32495822,33715086,34669866,36067640,37727118,39018187,41046921,42551749,44584784,46477850,47637643,50181212
 "24005","Baltimore, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",38850285,40236749,40139028,41883166,44541166,45481568,45488451,44672081,44311068,45605947,45347753,44865056,45060425,45745385,45698283,47681068,47570237,48916032
 "24005","Baltimore, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.594,89.684,89.466,93.354,99.278,101.374,101.389,99.570,98.765,101.651,101.076,100.000,100.435,101.962,101.857,106.277,106.030,109.029
 "24005","Baltimore, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",30316732,32090870,32614874,34976466,38318347,40374913,41562590,41599954,42279756,43861863,44381528,44865056,45965859,47657967,48752474,51710848,52347036,55028735
 "24009","Calvert, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2386949,2492365,2677606,2959263,2967575,3229104,3394049,3498310,3639465,3965575,4081260,3995445,4057301,3923887,4180425,4512446,4703874,4127614
 "24009","Calvert, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",59.742,62.380,67.016,74.066,74.274,80.820,84.948,87.557,91.090,99.252,102.148,100.000,101.548,98.209,104.630,112.940,117.731,103.308
 "24009","Calvert, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1908725,1986003,2209481,2510871,2618657,2994185,3213816,3335354,3703398,3977925,4108677,3995445,4172387,4235135,4591841,4927993,5250228,4739242
 "24011","Caroline, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",730312,747774,825411,881393,936683,1005944,993675,961961,972145,954202,976607,1012784,1073806,1078175,1130209,1174149,1202262,1210266
 "24011","Caroline, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.109,73.833,81.499,87.027,92.486,99.325,98.113,94.982,95.987,94.216,96.428,100.000,106.025,106.457,111.594,115.933,118.709,119.499
 "24011","Caroline, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",548962,571600,644020,717014,770674,852182,892811,883344,897260,896053,952402,1012784,1099834,1110481,1165070,1203564,1258560,1284618
 "24013","Carroll, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3970006,4271105,4370744,4593382,4819016,5238141,5227739,5243257,5083408,5197712,5380282,5397327,5497134,5486035,5522837,5672663,5768914,5805798
 "24013","Carroll, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.555,79.134,80.980,85.105,89.285,97.051,96.858,97.145,94.184,96.302,99.684,100.000,101.849,101.644,102.325,105.101,106.885,107.568
