GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23001","Androscoggin, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3482794,3758451,3876658,3950781,3901428,4009255,4106296,4175408,4035511,3966367,3956820,4044707,4001868,4013687,4076246,4124051,4147966,4266879
 "23001","Androscoggin, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.107,92.923,95.845,97.678,96.458,99.123,101.523,103.231,99.773,98.063,97.827,100.000,98.941,99.233,100.780,101.962,102.553,105.493
 "23001","Androscoggin, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2714830,2982997,3134527,3294242,3340299,3544575,3741511,3879122,3823593,3803355,3859311,4044707,4090838,4180124,4339210,4459895,4556779,4792086
 "23003","Aroostook, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2121552,2193989,2187609,2277918,2426073,2542352,2496561,2379350,2337403,2391944,2288659,2271487,2216933,2237120,2221966,2302821,2326967,2357454
 "23003","Aroostook, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.399,96.588,96.307,100.283,106.805,111.925,109.909,104.749,102.902,105.303,100.756,100.000,97.598,98.487,97.820,101.379,102.442,103.785
 "23003","Aroostook, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1657599,1744152,1772607,1901755,2069317,2222135,2254003,2190803,2220114,2301125,2231532,2271487,2276140,2352200,2391808,2505986,2579861,2686024
 "23005","Cumberland, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",15617533,15725175,16301162,16987477,17048580,16929903,16927407,17194404,16958167,17051988,16983952,17121659,17024275,17487801,17697798,18239598,18928099,19382624
 "23005","Cumberland, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.215,91.844,95.208,99.216,99.573,98.880,98.865,100.425,99.045,99.593,99.196,100.000,99.431,102.138,103.365,106.529,110.551,113.205
 "23005","Cumberland, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",12356412,12675191,13366906,14307514,14753032,15078814,15497801,15999511,16207366,16422328,16596352,17121659,17376777,18203140,18850005,19756358,20771027,21736290
 "23007","Franklin, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1043086,1050640,1049529,1084635,1069317,1083462,1114321,1085703,1006574,1013292,1010053,1038380,1015048,1004402,982117,972847,959824,985027
 "23007","Franklin, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.453,101.181,101.074,104.455,102.979,104.342,107.313,104.557,96.937,97.584,97.272,100.000,97.753,96.728,94.582,93.689,92.435,94.862
 "23007","Franklin, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",826958,840370,850338,897260,907428,955547,1011379,1004077,971209,985918,993810,1038380,1046127,1061001,1064753,1068183,1074253,1128156
 "23009","Hancock, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2163723,2276807,2190638,2276984,2184776,2221156,2188294,2251294,2240453,2337063,2249083,2126651,2114520,2111945,2141685,2143713,2124723,2197937
 "23009","Hancock, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",101.743,107.061,103.009,107.069,102.733,104.444,102.899,105.861,105.351,109.894,105.757,100.000,99.430,99.309,100.707,100.802,99.909,103.352
 "23009","Hancock, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1657149,1767232,1738460,1862310,1839071,1937850,1976778,2071595,2129984,2251341,2204174,2126651,2167767,2218455,2309705,2357345,2380141,2518494
 "23011","Kennebec, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4587492,4696213,4771662,4904365,4870008,4988034,5021510,5039109,4924302,4946438,4787378,4618051,4737776,4812322,4785659,4881037,4968318,5025676
 "23011","Kennebec, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.338,101.693,103.326,106.200,105.456,108.012,108.737,109.118,106.632,107.111,103.667,100.000,102.593,104.207,103.629,105.695,107.585,108.827
 "23011","Kennebec, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3475901,3636850,3767842,3997821,4094972,4343791,4529233,4647240,4670286,4746151,4675039,4618051,4854324,5028287,5126330,5312114,5495281,5677229
 "23013","Knox, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1542556,1628418,1655056,1669266,1627224,1594731,1525729,1483812,1433524,1468220,1455133,1437555,1427255,1450089,1483391,1520106,1533423,1555505
 "23013","Knox, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",107.304,113.277,115.130,116.118,113.194,110.934,106.134,103.218,99.720,102.133,101.223,100.000,99.284,100.872,103.188,105.743,106.669,108.205
 "23013","Knox, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1196398,1287877,1334125,1383730,1391485,1409082,1394162,1379076,1367576,1412757,1419603,1437555,1462935,1522872,1602477,1678959,1720648,1781994
 "23015","Lincoln, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",932330,973069,985875,1011261,1009031,1027530,996533,970494,960961,988128,967377,997459,972829,975167,973621,991563,995145,1030391
 "23015","Lincoln, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.470,97.555,98.839,101.384,101.160,103.015,99.907,97.297,96.341,99.065,96.984,100.000,97.531,97.765,97.610,99.409,99.768,103.302
 "23015","Lincoln, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",720005,768042,795508,842776,864855,909523,917765,909817,914269,948849,943604,997459,996945,1023184,1051828,1096793,1120266,1187211
 "23017","Oxford, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1525906,1527706,1548460,1577404,1598472,1621610,1647898,1579324,1488920,1578864,1527889,1501037,1488694,1529178,1473755,1488812,1534604,1551556
 "23017","Oxford, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",101.657,101.777,103.159,105.088,106.491,108.033,109.784,105.216,99.193,105.185,101.789,100.000,99.178,101.875,98.182,99.186,102.236,103.366
 "23017","Oxford, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1214660,1231691,1271470,1334256,1386731,1449772,1515314,1476142,1432601,1527888,1495394,1501037,1535377,1618945,1604286,1648358,1729158,1792841
 "23019","Penobscot, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5611648,5756989,5744870,5940154,5991791,6024994,5916349,5857129,5816024,5783863,5671744,5628626,5601109,5619495,5633056,5769790,5856821,6017850
 "23019","Penobscot, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.698,102.281,102.065,105.535,106.452,107.042,105.112,104.060,103.329,102.758,100.766,100.000,99.511,99.838,100.079,102.508,104.054,106.915
 "23019","Penobscot, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4353136,4537195,4612553,4896784,5088342,5288048,5349066,5397016,5524662,5552506,5540245,5628626,5727536,5864380,6017237,6254906,6453236,6785566
 "23021","Piscataquis, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",418746,442638,437949,455867,458753,473069,465859,466112,477862,490425,487761,490112,480967,485597,493508,495156,513749,534476
 "23021","Piscataquis, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.439,90.314,89.357,93.013,93.602,96.522,95.051,95.103,97.501,100.064,99.520,100.000,98.134,99.079,100.693,101.029,104.823,109.052
 "23021","Piscataquis, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",327716,353653,355890,381290,394459,419094,423533,430320,452900,469009,475702,490112,494486,510947,533508,544604,573808,610886
 "23023","Sagadahoc, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1261107,1250466,1349268,1370712,1400206,1416385,1437123,1443489,1470960,1569389,1493812,1403870,1341111,1362380,1406671,1432812,1444197,1442267
 "23023","Sagadahoc, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.831,89.073,96.111,97.638,99.739,100.891,102.369,102.822,104.779,111.790,106.407,100.000,95.530,97.045,100.200,102.062,102.873,102.735
 "23023","Sagadahoc, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",973404,987566,1099128,1147490,1211078,1265597,1317125,1342931,1414110,1516207,1463116,1403870,1371497,1422858,1506385,1558867,1593123,1615928
 "23025","Somerset, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1478726,1519415,1523662,1574753,1589380,1700288,1701526,1746028,1720771,1721959,1711625,1669514,1670790,1663833,1636459,1676901,1678925,1660106
 "23025","Somerset, ME",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.572,91.009,91.264,94.324,95.200,101.843,101.917,104.583,103.070,103.141,102.522,100.000,100.076,99.660,98.020,100.442,100.564,99.436
 "23025","Somerset, ME",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1180825,1227460,1249685,1325211,1371955,1517845,1559312,1621820,1629379,1649537,1678853,1669514,1717011,1741845,1734402,1782373,1826755,1842841
 "23027","Waldo, ME",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",863304,902629,906729,916879,903682,926960,916624,907399,922904,957266,953887,954606,947992,966463,947534,960808,987905,994584
