GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26001","Alcona, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",202603,209600,216157,212082,214268,222277,219007,202553,199185,197737,203691,198950,202918,203116,207680,215680,228716,234458
 "26001","Alcona, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",101.836,105.353,108.649,106.600,107.699,111.725,110.081,101.811,100.118,99.390,102.383,100.000,101.994,102.094,104.388,108.409,114.961,117.848
 "26001","Alcona, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",156606,165469,175588,179318,186438,199925,203936,192606,192418,192074,200384,198950,207571,212121,219706,230703,249482,260024
 "26003","Alger, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",290497,293646,296180,286125,275335,273388,256245,228384,218989,217190,216693,226489,240719,246147,252524,249362,248816,257950
 "26003","Alger, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",128.261,129.651,130.770,126.331,121.567,120.707,113.138,100.837,96.689,95.894,95.675,100.000,106.283,108.680,111.495,110.099,109.858,113.891
 "26003","Alger, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",227842,234731,240827,240710,237428,243528,234224,212453,210099,211226,212391,226489,249054,259344,272140,271668,276743,293380
 "26005","Allegan, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3481975,3530756,3613442,3807582,3797126,3884265,3853915,3741660,3413120,3552701,3696340,3569240,3731062,3696329,3794810,3957389,4025184,4429115
 "26005","Allegan, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.555,98.922,101.238,106.678,106.385,108.826,107.976,104.831,95.626,99.537,103.561,100.000,104.534,103.561,106.320,110.875,112.774,124.091
 "26005","Allegan, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2633211,2724201,2821192,3026436,3076008,3214836,3321652,3312735,3155391,3298051,3569357,3569240,3815127,3843588,4074115,4324701,4461590,4990944
 "26007","Alpena, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",991931,1002573,1003293,1031865,1059949,1049005,1009536,983341,975214,1019927,1061352,969577,970698,967724,984917,973702,1002334,1013753
 "26007","Alpena, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.306,103.403,103.477,106.424,109.321,108.192,104.121,101.420,100.581,105.193,109.466,100.000,100.116,99.809,101.582,100.425,103.379,104.556
 "26007","Alpena, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",778195,803799,823534,871647,918907,936054,926224,919560,933769,985097,1035122,969577,999382,1020106,1065326,1072956,1121079,1159691
 "26009","Antrim, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",534068,559400,548995,562422,558606,574953,573515,511083,473739,466535,477135,481329,479768,499692,513450,512301,536896,560544
 "26009","Antrim, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",110.957,116.220,114.058,116.848,116.055,119.451,119.152,106.182,98.423,96.927,99.129,100.000,99.676,103.815,106.673,106.435,111.545,116.458
