GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "27001","Aitkin, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",356117,380640,364190,396360,418795,404802,413832,405854,394439,420869,404772,385884,385309,387272,393204,398507,420128,435031
 "27001","Aitkin, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.286,98.641,94.378,102.715,108.529,104.902,107.243,105.175,102.217,109.066,104.895,100.000,99.851,100.360,101.897,103.271,108.874,112.736
 "27001","Aitkin, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",272634,298369,292089,328255,357828,357917,376815,376083,374547,402846,395562,385884,395062,405703,422016,436309,469036,497312
 "27003","Anoka, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",8939286,9439363,10236494,10566333,10882418,11244226,11093393,11077464,10539726,11055098,11388201,11683785,12176787,12577526,12997931,13204641,13507196,13920520
 "27003","Anoka, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.510,80.790,87.613,90.436,93.141,96.238,94.947,94.811,90.208,94.619,97.470,100.000,104.220,107.649,111.248,113.017,115.606,119.144
 "27003","Anoka, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",7649520,8181229,8880510,9292295,9796451,10311581,10343513,10413692,10255157,10693175,11122967,11683785,12423329,13027204,13791904,14178608,14649704,15380653
 "27005","Becker, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",919689,953945,1013535,1037500,1063545,1154111,1122496,1108884,1064626,1166878,1206881,1216186,1239285,1212394,1167383,1220272,1259046,1274964
 "27005","Becker, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.621,78.437,83.337,85.308,87.449,94.896,92.296,91.177,87.538,95.946,99.235,100.000,101.899,99.688,95.987,100.336,103.524,104.833
 "27005","Becker, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",696262,735816,799864,850303,904455,1011487,1024103,1028620,1001304,1107093,1176900,1216186,1268174,1258550,1239488,1315741,1382402,1430349
 "27007","Beltrami, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1193047,1254183,1289180,1305422,1305884,1350634,1348867,1368887,1404272,1417379,1400932,1403971,1420814,1461873,1511266,1566817,1569510,1616550
 "27007","Beltrami, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.977,89.331,91.824,92.981,93.014,96.201,96.075,97.501,100.021,100.955,99.784,100.000,101.200,104.124,107.642,111.599,111.791,115.141
