GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "29001","Adair, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",756680,749048,738403,751828,780390,811869,800952,796925,790946,839818,914366,719694,739577,732639,738965,723612,728997,767444
 "29001","Adair, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",105.139,104.079,102.600,104.465,108.434,112.807,111.291,110.731,109.900,116.691,127.049,100.000,102.763,101.799,102.678,100.544,101.293,106.635
 "29001","Adair, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",595860,603711,606461,633016,672092,717691,731975,744586,760194,815129,887948,719694,758150,765828,790539,788935,806077,863728
 "29003","Andrew, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",230889,241236,232939,269214,250611,265982,268706,266081,286881,279401,271423,259294,305758,298177,285234,301034,295044,296886
 "29003","Andrew, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.045,93.036,89.836,103.826,96.651,102.579,103.630,102.617,110.639,107.754,104.678,100.000,117.919,114.995,110.004,116.097,113.787,114.498
 "29003","Andrew, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",169739,181061,179842,218375,207506,228143,243660,246026,262527,262572,265263,259294,312973,305904,292713,308899,310587,318311
 "29005","Atchison, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",198768,178958,186045,201526,201955,216791,226864,242286,319925,309373,295059,301986,312250,325203,258623,326388,332268,283842
 "29005","Atchison, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",65.820,59.260,61.607,66.734,66.876,71.788,75.124,80.231,105.940,102.446,97.706,100.000,103.399,107.688,85.641,108.081,110.028,93.992
 "29005","Atchison, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",142869,129471,139806,161749,158251,172132,199462,216420,263476,270885,287948,301986,320624,326130,247982,300907,319408,277298
 "29007","Audrain, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",881385,868026,850299,924356,858489,946196,956674,971748,966747,978747,924378,879554,920967,949741,944932,974056,907237,936372
