GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4831387,4905212,4973755,5098449,5205916,5688636,5938272,6048755,5910471,6103245,6124105,6304173,6398366,6533062,6512380,6437424,6565925,6850284
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.638,77.809,78.896,80.874,82.579,90.236,94.196,95.948,93.755,96.813,97.144,100.000,101.494,103.631,103.303,102.114,104.152,108.663
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3621676,3749907,3930401,4168405,4427838,5006237,5406560,5688053,5568776,5861966,6015206,6304173,6545025,6809814,6836185,6825548,7087323,7568027
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",27841099,29055437,29817293,30430372,31081544,31151400,31595473,31540576,29505000,30124290,30348492,30394149,30782127,31632884,32080122,32113046,32374943,32912839
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.600,95.595,98.102,100.119,102.262,102.491,103.952,103.772,97.075,99.112,99.850,100.000,101.276,104.076,105.547,105.655,106.517,108.287
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",21897729,23231701,24194648,25370614,26656866,27543017,28749370,29268427,28154844,28922844,29606104,30394149,31447563,32868015,34122942,34673510,35428328,36800124
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5499100,5547080,5605710,5651416,5790084,5767999,5679490,5528688,5421746,5341783,5393551,5341035,5265937,5179108,5068956,5161807,5224058,5324036
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.959,103.858,104.955,105.811,108.408,107.994,106.337,103.513,101.511,100.014,100.983,100.000,98.594,96.968,94.906,96.644,97.810,99.682
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4265039,4392758,4512990,4656369,4878656,5011395,5101790,5080314,5112857,5109457,5259281,5341035,5391868,5417843,5434079,5639207,5797838,6032605
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3360082,3575749,3430360,3686902,3752855,4108934,3887860,3734646,3648549,3572329,3609359,3610250,3643282,3654602,3861453,4072242,4210211,4418178
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.071,99.044,95.017,102.123,103.950,113.813,107.689,103.446,101.061,98.950,99.975,100.000,100.915,101.228,106.958,112.797,116.618,122.379
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2640838,2842257,2782577,3146516,3259877,3702196,3643627,3562253,3468975,3460440,3550833,3610250,3721485,3833037,4116193,4389961,4645057,5014306
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",42232297,42709728,44033835,44963420,45621416,47068055,47105080,47732725,48863290,48892808,48697857,48815555,49178824,49996435,50654280,51463668,52128025,52367618
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.514,87.492,90.205,92.109,93.457,96.420,96.496,97.782,100.098,100.158,99.759,100.000,100.744,102.419,103.767,105.425,106.786,107.276
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",32469846,33537391,35314084,37140699,38856843,41433907,42731610,44189869,46551526,47044326,47596007,48815555,50413239,52498055,54546375,56345409,57986450,59657331
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",29960953,30264615,33189445,37611638,37513020,38051965,37467353,37114817,38386065,37518103,37140778,37008279,35865819,36697847,37189493,38020626,37669706,38444417
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.957,81.778,89.681,101.630,101.364,102.820,101.240,100.288,103.723,101.378,100.358,100.000,96.913,99.161,100.490,102.735,101.787,103.881
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",26104105,26753438,29519094,33695608,34013219,35015002,35108392,35154294,37038708,36388647,36444481,37008279,36543221,38091602,39419488,40904765,41128523,42896250
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4737996,4887718,4906665,5129359,5360072,5499463,5157315,5222555,5473839,5612875,5698956,5663261,5590783,5531718,5470089,5582404,5598158,5660041
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.662,86.306,86.640,90.573,94.646,97.108,91.066,92.218,96.655,99.110,100.630,100.000,98.720,97.677,96.589,98.572,98.850,99.943
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3538667,3704561,3834822,4150111,4499004,4782874,4636424,4817388,5172408,5369983,5568449,5663261,5733923,5811160,5862965,6071429,6195615,6420396
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",42922281,43033504,39341956,36093587,35903549,35631103,37175637,37435790,36202571,37176686,37227898,37210886,37889106,38411673,39178397,39745497,39570402,40511705
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",115.349,115.648,105.727,96.997,96.487,95.755,99.905,100.604,97.290,99.908,100.046,100.000,101.823,103.227,105.287,106.811,106.341,108.871
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",33690444,34259253,31755123,29858882,30569963,31316670,33647001,34605679,34608363,35746169,36363884,37210886,38568960,39804191,41542046,42744128,43132938,45024032
