GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "28001","Adams, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",985754,1025802,956312,923516,926252,968314,903660,1101655,947996,895481,903786,917238,929758,929163,914893,899234,941445,882622
 "28001","Adams, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",107.470,111.836,104.260,100.684,100.983,105.568,98.520,120.106,103.353,97.628,98.533,100.000,101.365,101.300,99.744,98.037,102.639,96.226
 "28001","Adams, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",754557,792710,761625,760052,797892,867077,838275,1052810,881489,856823,887039,917238,954977,971121,937232,928397,1005332,977457
 "28003","Alcorn, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",908097,939052,976492,1006720,1005845,1022320,981954,1056686,996054,1016481,1006252,1099153,1167182,1144857,1131780,1115435,1118241,1155768
 "28003","Alcorn, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.618,85.434,88.840,91.591,91.511,93.010,89.337,96.136,90.620,92.479,91.548,100.000,106.189,104.158,102.968,101.481,101.737,105.151
 "28003","Alcorn, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",754160,786729,822391,857561,877146,916460,898787,975781,953897,977212,983479,1099153,1193983,1195173,1215615,1219650,1232783,1297723
 "28005","Amite, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",190269,193425,190297,214496,211919,208188,179304,207924,189578,185387,167751,170749,188088,203586,193006,183959,196300,198523
 "28005","Amite, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",111.433,113.281,111.449,125.621,124.112,121.927,105.011,121.772,111.028,108.573,98.244,100.000,110.155,119.232,113.035,107.737,114.964,116.266
 "28005","Amite, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",155228,158678,162685,197355,194450,191809,166524,195551,174916,176490,164316,170749,194640,212181,197410,187845,205889,212452
 "28007","Attala, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",426668,543915,452834,431862,497400,495414,483569,519702,492193,501931,510439,484631,495091,521110,490049,479397,455513,448492
