GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "30001","Beaverhead, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",303175,264161,283659,302632,340960,323733,332736,303821,313112,295210,304617,334351,373243,434506,492039,492895,459211,394127
 "30001","Beaverhead, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.676,79.007,84.839,90.513,101.977,96.824,99.517,90.869,93.648,88.294,91.107,100.000,111.632,129.955,147.163,147.419,137.344,117.878
 "30001","Beaverhead, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",217380,193864,214358,240452,277430,274362,294328,278044,292565,282018,298643,334351,379348,437074,470206,451430,438440,381723
 "30003","Big Horn, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",529026,480652,552066,626933,682047,695389,738361,825263,762807,730827,739751,722332,906334,907443,892234,783886,903544,962622
 "30003","Big Horn, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.239,66.542,76.428,86.793,94.423,96.270,102.219,114.250,105.603,101.176,102.411,100.000,125.473,125.627,123.521,108.522,125.087,133.266
 "30003","Big Horn, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",330381,307529,365363,436965,505534,553013,611860,740562,676305,669230,717937,722332,918711,926837,892547,774030,935059,1021969
 "30005","Blaine, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",160295,149235,155213,178995,193102,172913,209924,181265,251183,238015,208560,201429,208730,211962,205467,181000,164944,197201
 "30005","Blaine, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.579,74.088,77.056,88.863,95.866,85.843,104.217,89.989,124.700,118.163,103.540,100.000,103.624,105.229,102.004,89.858,81.887,97.901
 "30005","Blaine, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",107251,99401,111947,138153,153550,141643,183557,167780,202375,209258,206183,201429,214802,213961,192551,165453,155812,190260
 "30007","Broadwater, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",99324,107786,95241,101802,107702,98792,118540,153416,143716,131506,123771,109343,119469,108065,117253,116221,121979,117975
 "30007","Broadwater, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.837,98.576,87.103,93.103,98.499,90.351,108.411,140.307,131.436,120.269,113.195,100.000,109.261,98.831,107.234,106.290,111.556,107.894
 "30007","Broadwater, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",73966,80691,74325,84377,89858,84595,105117,140768,125280,120448,120274,109343,122504,113761,125717,126568,136132,134668
 "30009","Carbon, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",195167,193118,196206,215479,212984,229532,223684,209951,221075,225288,229231,233447,235144,235886,234222,232444,257895,251273
 "30009","Carbon, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.602,82.724,84.047,92.303,91.235,98.323,95.818,89.935,94.700,96.505,98.194,100.000,100.727,101.045,100.332,99.571,110.473,107.636
 "30009","Carbon, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",145868,146225,154796,178620,181385,202281,206660,201019,208116,217055,225798,233447,241475,247701,247653,250588,286305,285963
 "30011","Carter, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",41266,26920,29117,28540,40090,31120,41682,28304,29048,28916,35727,68513,65924,107162,128860,129726,101083,79564
 "30011","Carter, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",60.232,39.291,42.499,41.656,58.515,45.422,60.838,41.313,42.398,42.205,52.147,100.000,96.221,156.412,188.081,189.345,147.538,116.130
 "30011","Carter, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",32291,20827,23568,24685,33170,25902,38336,26642,26216,26835,34954,68513,67633,103733,107905,96160,80296,62396
 "30013","Cascade, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2787746,2864408,2879256,2973745,3104534,3202622,3266733,3249351,3216283,3352906,3383832,3328631,3330453,3435285,3646286,3548307,3644181,3782722
 "30013","Cascade, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.751,86.054,86.500,89.338,93.268,96.214,98.140,97.618,96.625,100.729,101.658,100.000,100.055,103.204,109.543,106.600,109.480,113.642
 "30013","Cascade, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2054100,2162075,2233621,2381390,2585016,2771295,2934989,2964812,2977547,3160658,3297980,3328631,3379379,3551998,3830244,3730283,3920616,4209418
 "30015","Chouteau, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",106846,157232,201535,178531,175986,214066,237235,253742,139397,217381,244482,239409,216967,120161,141837,128170,130473,209992
 "30015","Chouteau, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",44.629,65.675,84.180,74.572,73.509,89.414,99.092,105.987,58.225,90.799,102.119,100.000,90.626,50.191,59.244,53.536,54.498,87.712
 "30015","Chouteau, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",69038,101975,139923,137109,128047,155668,202408,220299,112214,183454,237601,239409,222934,123012,145673,131676,136917,223318
 "30017","Custer, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",331310,326529,346094,354120,361508,382022,405051,391590,397624,434701,446522,466315,492464,509761,521345,477042,472769,450836
 "30017","Custer, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",71.048,70.023,74.219,75.940,77.524,81.923,86.862,83.975,85.269,93.221,95.755,100.000,105.607,109.317,111.801,102.300,101.384,96.681
 "30017","Custer, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",247709,250355,272231,288502,302177,330610,367061,363569,372699,413419,433383,466315,504844,530792,544042,498024,505592,494263
 "30019","Daniels, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",76406,87281,74161,80230,76629,78800,94064,60931,88459,104421,86543,113945,77302,91503,92807,105290,115689,86163
 "30019","Daniels, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",67.055,76.600,65.085,70.412,67.251,69.157,82.552,53.474,77.633,91.642,75.952,100.000,67.841,80.305,81.449,92.405,101.531,75.618
 "30019","Daniels, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",58412,65829,58288,66881,61489,63490,83000,54283,76793,94894,84685,113945,78844,93727,93209,103318,116707,87145
 "30021","Dawson, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",311351,296811,305151,291096,321181,318887,344093,339405,332174,364765,357106,398007,400540,413582,416305,383869,409521,416817
 "30021","Dawson, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.227,74.574,76.670,73.138,80.697,80.121,86.454,85.276,83.459,91.648,89.723,100.000,100.636,103.913,104.597,96.448,102.893,104.726
 "30021","Dawson, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",225791,217276,230338,228474,259312,268503,303125,311856,304069,344964,351004,398007,412692,432740,430244,398806,435598,452382
 "30023","Deer Lodge, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",188136,190918,189600,190439,188367,199383,205247,210025,213600,224767,234688,246346,253057,244239,250015,250307,253121,257985
 "30023","Deer Lodge, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.371,77.500,76.965,77.305,76.465,80.936,83.317,85.256,86.708,91.240,95.268,100.000,102.724,99.145,101.489,101.608,102.750,104.725
 "30023","Deer Lodge, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",141779,148165,150876,156800,160883,176562,188861,197700,204146,217088,230255,246346,258857,255938,268821,274636,283623,296447
 "30025","Fallon, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",151701,171009,177377,191145,225375,240045,248042,254731,308086,284530,299409,364543,332356,316221,273824,238463,236144,213696
 "30025","Fallon, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",41.614,46.911,48.658,52.434,61.824,65.848,68.042,69.877,84.513,78.051,82.133,100.000,91.171,86.745,75.114,65.414,64.778,58.620
 "30025","Fallon, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",93828,99182,126256,152829,210672,230382,250988,309678,255649,276167,313764,364543,347004,330092,240914,202445,215887,207348
 "30027","Fergus, MT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",340573,322137,346661,347655,364694,345339,397861,377978,354067,399506,380399,401968,424654,437643,462286,411035,414492,418322
 "30027","Fergus, MT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.726,80.140,86.241,86.488,90.727,85.912,98.978,94.032,88.084,99.388,94.634,100.000,105.644,108.875,115.006,102.256,103.116,104.069
 "30027","Fergus, MT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",255862,246434,271495,284519,301198,294279,356450,345102,328285,375288,370604,401968,435704,451340,471564,420803,432223,447537
