GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "37001","Alamance, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4617488,4834509,4808885,5088884,5117843,5385108,5306622,5264265,4902628,5097987,5212032,5164078,5090709,5053477,5027956,5142796,5200654,5364474
 "37001","Alamance, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.416,93.618,93.122,98.544,99.105,104.280,102.760,101.940,94.937,98.720,100.929,100.000,98.579,97.858,97.364,99.588,100.708,103.881
 "37001","Alamance, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3727634,3973624,3986125,4305733,4434808,4783402,4836209,4872513,4714945,4915956,5074902,5164078,5196013,5266532,5387703,5623520,5752724,6048273
 "37003","Alexander, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",727224,741565,759281,791415,792174,830892,795721,704146,665316,699738,673423,686998,737393,779609,823327,812487,832551,842421
 "37003","Alexander, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",105.855,107.943,110.521,115.199,115.309,120.945,115.826,102.496,96.844,101.854,98.024,100.000,107.336,113.481,119.844,118.266,121.187,122.623
 "37003","Alexander, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",571798,592406,616206,653404,664780,711968,715514,642862,631824,668562,655811,686998,755389,804683,852662,838434,877021,899005
 "37005","Alleghany, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",311598,338114,325909,320393,328989,333746,319131,315367,302721,304318,303708,288230,318174,376001,449382,452424,449034,435819
 "37005","Alleghany, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",108.108,117.307,113.073,111.159,114.141,115.792,110.721,109.415,105.028,105.582,105.370,100.000,110.389,130.452,155.911,156.966,155.790,151.205
 "37005","Alleghany, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",235402,256256,255904,264995,273270,284207,284047,287615,279634,286995,296025,288230,325736,393549,481839,496652,493523,480870
 "37007","Anson, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",764382,743639,711732,747776,729088,776705,762762,747384,720969,752184,725575,703269,692292,708783,727526,704947,717191,742405
 "37007","Anson, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",108.690,105.740,101.203,106.329,103.671,110.442,108.460,106.273,102.517,106.955,103.172,100.000,98.439,100.784,103.449,100.239,101.980,105.565
 "37007","Anson, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",566553,558366,543905,592609,590064,645388,665103,669968,673405,710253,706571,703269,710554,736345,758600,733435,760895,800365
 "37009","Ashe, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",665920,714771,693641,706040,704897,759574,709296,719237,722278,797384,740546,676983,674958,682239,696618,708157,713269,723421
 "37009","Ashe, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.366,105.582,102.461,104.292,104.123,112.200,104.773,106.241,106.691,117.785,109.389,100.000,99.701,100.776,102.900,104.605,105.360,106.859
 "37009","Ashe, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",519839,564464,557429,585002,595424,660015,641835,660665,681674,756704,719018,676983,691641,708610,733040,750087,772046,796238
 "37011","Avery, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",554709,585842,561018,545986,574910,558250,568592,551919,555120,565992,564964,549309,528178,537664,539756,547967,551629,561233
 "37011","Avery, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.983,106.651,102.131,99.395,104.660,101.628,103.510,100.475,101.058,103.037,102.850,100.000,96.153,97.880,98.261,99.756,100.422,102.171
 "37011","Avery, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",418789,448249,444122,451646,484930,486862,517389,512294,524112,539768,551058,549309,541134,562773,579476,599291,615910,641175
 "37013","Beaufort, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1731955,1634741,1622785,1410517,1518767,1640219,1827393,1835064,1819790,1775545,1859440,1691660,1692424,1577406,1486506,1464391,1461204,1458160
 "37013","Beaufort, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.382,96.635,95.929,83.381,89.780,96.959,108.024,108.477,107.574,104.959,109.918,100.000,100.045,93.246,87.873,86.565,86.377,86.197
 "37013","Beaufort, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1309423,1254562,1264842,1124712,1229962,1356820,1565877,1627282,1689564,1656810,1795375,1691660,1734878,1655426,1611175,1622601,1648177,1682892
 "37015","Bertie, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",833703,730336,770298,872839,894379,971445,953490,829012,837230,751902,692072,636510,631237,613019,620038,581268,590907,575857
 "37015","Bertie, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",130.980,114.741,121.019,137.129,140.513,152.620,149.800,130.243,131.534,118.129,108.729,100.000,99.172,96.309,97.412,91.321,92.836,90.471
 "37015","Bertie, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",631668,575477,611013,693524,723864,786212,786478,720382,781695,711454,660419,636510,645357,643540,672817,650225,658673,641752
 "37017","Bladen, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1753537,1441596,1753971,2060841,2213573,2596961,2186378,1481723,1075150,1383343,1523059,1511825,1533213,1486737,1534716,1499085,1529270,1495126
 "37017","Bladen, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",115.988,95.355,116.017,136.315,146.417,171.777,144.618,98.009,71.116,91.502,100.743,100.000,101.415,98.341,101.514,99.157,101.154,98.895
 "37017","Bladen, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1403092,1208040,1466818,1711280,1853506,2145993,1826066,1297982,975985,1283115,1448318,1511825,1565290,1549715,1633380,1626473,1651826,1600571
 "37019","Brunswick, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2886158,2828050,2910903,3281544,3470526,3343060,3367751,3327242,3208766,3363502,3374210,3344103,3319561,3408185,3411835,3533327,3622101,3648227
 "37019","Brunswick, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.306,84.568,87.046,98.129,103.780,99.969,100.707,99.496,95.953,100.580,100.900,100.000,99.266,101.916,102.025,105.658,108.313,109.094
