GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38001","Adams, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",81358,68181,95316,91791,97167,108768,109317,94142,106387,105598,100475,133545,104359,119486,138995,132063,211640,163724
 "38001","Adams, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",60.922,51.055,71.374,68.734,72.760,81.447,81.858,70.495,79.664,79.073,75.237,100.000,78.146,89.473,104.082,98.890,158.479,122.599
 "38001","Adams, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",58567,49709,71866,74076,76318,85901,96572,84395,91002,94787,97770,133545,106588,121183,135399,125156,209780,161689
 "38003","Barnes, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",344010,361303,380120,393420,406333,404071,440972,520909,471445,549456,519540,634456,640143,641666,563345,676389,636932,659641
 "38003","Barnes, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",54.221,56.947,59.913,62.009,64.044,63.688,69.504,82.103,74.307,86.603,81.887,100.000,100.896,101.136,88.792,106.609,100.390,103.970
 "38003","Barnes, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",254512,270284,292083,315324,326199,331659,384892,463119,409706,493559,504846,634456,658346,662340,587767,699791,680534,708972
 "38005","Benson, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",137441,156327,201550,157744,175538,183084,216537,238761,238319,226558,244868,293401,209511,175771,244891,174124,176223,213186
 "38005","Benson, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",46.844,53.281,68.694,53.764,59.829,62.401,73.802,81.377,81.227,77.218,83.459,100.000,71.408,59.908,83.466,59.347,60.062,72.660
 "38005","Benson, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",95856,111761,150683,125082,140737,150361,194885,219568,205385,204432,237969,293401,215994,183975,253586,178085,183904,226978
 "38007","Billings, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",38179,41671,40296,50561,61201,74803,76854,62949,80375,80914,91228,134553,133663,147478,165118,121732,124315,123345
 "38007","Billings, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",28.374,30.970,29.948,37.577,45.485,55.594,57.118,46.784,59.735,60.136,67.801,100.000,99.339,109.606,122.716,90.472,92.391,91.670
 "38007","Billings, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",25772,26874,30697,42458,57243,70377,79110,78604,66258,78767,96591,134553,139752,154261,142153,100441,109271,115325
 "38009","Bottineau, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",192503,221379,252884,183151,205422,199136,272660,341361,393051,334758,351113,475338,366869,363365,327405,315255,288579,358288
 "38009","Bottineau, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",40.498,46.573,53.201,38.531,43.216,41.893,57.361,71.814,82.689,70.425,73.866,100.000,77.181,76.443,68.878,66.322,60.710,75.375
 "38009","Bottineau, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",138001,158989,191883,147344,172722,173098,256824,333977,334066,304971,344035,475338,376070,373451,323173,309054,292903,372625
 "38011","Bowman, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",133628,125210,144370,159806,191182,239756,268457,265871,313400,279265,281523,325081,320534,312549,319169,253833,287857,246299
 "38011","Bowman, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",41.106,38.517,44.411,49.159,58.811,73.753,82.581,81.786,96.407,85.906,86.601,100.000,98.601,96.145,98.181,78.083,88.549,75.765
 "38011","Bowman, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",94245,87301,109029,131198,170780,217320,262944,314642,248960,260559,292700,325081,333548,320313,270030,205527,250886,223876
 "38013","Burke, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",54755,58931,75318,63167,84842,82858,95261,138227,186374,153371,165959,239224,266686,249128,227834,167052,157692,137304
 "38013","Burke, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",22.888,24.634,31.485,26.405,35.466,34.636,39.821,57.782,77.908,64.112,69.374,100.000,111.480,104.140,95.239,69.831,65.918,57.396
 "38013","Burke, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",39014,42576,57238,51162,69692,69301,87617,133903,147977,136009,167103,239224,276881,254184,194575,135122,137223,126180
 "38015","Burleigh, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3029271,3154661,3383742,3545121,3787366,3810515,3726070,3739123,3825721,4026575,4326754,4737413,4856963,5149443,5365185,5199793,5162417,5212246
 "38015","Burleigh, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",63.944,66.590,71.426,74.832,79.946,80.435,78.652,78.928,80.755,84.995,91.332,100.000,102.524,108.697,113.251,109.760,108.971,110.023
 "38015","Burleigh, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2308010,2460791,2697866,2912068,3203426,3325525,3367466,3445391,3622996,3858546,4218705,4737413,4974238,5389520,5751067,5668160,5720740,5901363
 "38017","Cass, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",6432133,6904763,7211061,7567456,7843583,8027872,8346493,8568275,8398352,8724558,9275713,10140015,10313420,10908621,10994343,10901197,10886640,11198520
 "38017","Cass, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",63.433,68.094,71.115,74.630,77.353,79.170,82.312,84.500,82.824,86.041,91.476,100.000,101.710,107.580,108.425,107.507,107.363,110.439
 "38017","Cass, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5115908,5583939,5928941,6387527,6774895,7115752,7624758,7947963,7999941,8365454,9038761,10140015,10544253,11369787,11716479,11800848,11939964,12547098
 "38019","Cavalier, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",152784,179707,238526,177468,157000,152512,234057,363483,323474,316058,338447,346028,433324,380965,312546,390680,343051,448729
 "38019","Cavalier, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",44.154,51.934,68.932,51.287,45.372,44.075,67.641,105.044,93.482,91.339,97.809,100.000,125.228,110.097,90.324,112.904,99.139,129.680
 "38019","Cavalier, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",108861,128039,178971,143633,126675,126985,209641,330234,257996,269983,329545,346028,444532,375068,288425,342385,313780,409716
 "38021","Dickey, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",175348,203557,201381,244090,260071,314055,310671,336987,283649,324400,350631,333876,267609,239453,257245,290617,228929,292025
 "38021","Dickey, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",52.519,60.968,60.316,73.108,77.895,94.063,93.050,100.932,84.956,97.162,105.018,100.000,80.152,71.719,77.048,87.043,68.567,87.465
 "38021","Dickey, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",120864,139941,143438,183665,191444,233840,258320,287286,231111,277770,340736,333876,274419,244405,257600,282102,228162,294945
 "38023","Divide, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",69932,71638,91548,86856,87420,99721,94074,136078,181108,149294,161979,258880,263054,315282,361600,227484,213937,192612
 "38023","Divide, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",27.013,27.672,35.363,33.551,33.769,38.520,36.339,52.564,69.959,57.669,62.569,100.000,101.612,121.787,139.679,87.872,82.640,74.402
 "38023","Divide, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",52537,53703,72573,75050,73117,83584,90398,136221,146571,136776,169633,258880,275908,323444,272678,158316,165130,162212
 "38025","Dunn, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",67665,58123,76847,72586,97346,108113,99918,144494,238102,310378,499217,901458,1088052,1203964,1137588,849245,943825,973681
 "38025","Dunn, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",7.506,6.448,8.525,8.052,10.799,11.993,11.084,16.029,26.413,34.431,55.379,100.000,120.699,133.557,126.194,94.208,104.700,108.012
 "38025","Dunn, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",59402,49955,69877,70508,92492,101168,102265,161782,193854,296812,530421,901458,1140626,1240370,807536,550460,718984,855064
 "38027","Eddy, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",54255,67028,73294,59690,69968,58536,76246,96484,71198,80003,79066,115933,128081,107815,115951,89409,113713,115790
 "38027","Eddy, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",46.799,57.816,63.221,51.487,60.352,50.491,65.768,83.225,61.413,69.008,68.200,100.000,110.479,92.998,100.016,77.121,98.085,99.877
 "38027","Eddy, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",40084,50337,57436,49529,57442,48949,68469,88563,62384,72565,76691,115933,131067,107405,109926,83167,109526,111814
 "38029","Emmons, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",108246,96886,119000,102457,136724,96799,161920,161607,124900,153706,182626,179135,139536,126199,162230,214180,175605,172102
 "38029","Emmons, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",60.427,54.086,66.431,57.196,76.325,54.037,90.390,90.215,69.724,85.804,101.949,100.000,77.894,70.449,90.563,119.564,98.030,96.074
 "38029","Emmons, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",76021,69008,87579,79774,104826,75830,138907,140578,101366,130752,177357,179135,143200,128001,157484,195460,168859,165591
 "38031","Foster, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",138510,152535,174965,159264,150620,154951,192363,220873,197389,211339,213858,275343,251469,261928,274473,345558,302783,272478
 "38031","Foster, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",50.305,55.398,63.544,57.842,54.703,56.276,69.863,80.217,71.688,76.755,77.669,100.000,91.329,95.128,99.684,125.501,109.966,98.959
 "38031","Foster, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",102719,115076,135836,128889,122633,128687,167263,197908,178586,195152,206526,275343,257308,266532,270372,326311,295778,266869
 "38033","Golden Valley, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",45225,47154,56328,47553,57409,71501,73707,67726,59914,75443,76399,96109,97448,83678,81873,80374,76497,77051
 "38033","Golden Valley, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",47.056,49.063,58.609,49.478,59.734,74.396,76.691,70.468,62.340,78.497,79.492,100.000,101.393,87.066,85.188,83.628,79.594,80.170
 "38033","Golden Valley, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",31643,33462,41623,36984,46358,59099,64836,62851,51900,69133,75984,96109,100565,86812,80965,79403,78593,82370
 "38035","Grand Forks, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2612996,2754896,2858817,2895849,2913635,3038009,3079990,3139058,3148944,3226437,3283014,3553724,3473693,3554866,3645135,3608213,3691868,3740414
 "38035","Grand Forks, ND",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.528,77.521,80.446,81.488,81.988,85.488,86.669,88.332,88.610,90.790,92.382,100.000,97.748,100.032,102.572,101.533,103.887,105.253
 "38035","Grand Forks, ND",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1939047,2093693,2232982,2338741,2426406,2614093,2763306,2880733,2959459,3073573,3195904,3553724,3558883,3726380,3917368,3940281,4098658,4237954
 "38037","Grant, ND",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",78856,59694,79767,71221,89799,95086,101018,89958,84791,87808,90439,137463,101992,107519,107374,124551,146863,82249
