GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "31001","Adams, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1288921,1328656,1315476,1296333,1408861,1522147,1594484,1679677,1585721,1514254,1599481,1636888,1661229,1605688,1598569,1602055,1714119,1697971
 "31001","Adams, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.742,81.170,80.364,79.195,86.069,92.990,97.410,102.614,96.874,92.508,97.715,100.000,101.487,98.094,97.659,97.872,104.718,103.732
 "31001","Adams, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",941146,984675,997346,1016404,1125047,1253764,1381336,1510257,1441264,1403768,1551941,1636888,1708270,1674502,1667569,1662242,1819448,1831218
 "31003","Antelope, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",259979,289234,316691,321546,366445,349633,373283,339280,389072,387211,387573,356079,351177,387076,406389,477005,398641,397969
 "31003","Antelope, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.012,81.228,88.938,90.302,102.911,98.190,104.832,95.282,109.266,108.743,108.845,100.000,98.623,108.705,114.129,133.961,111.953,111.764
 "31003","Antelope, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",169901,187662,215751,237189,263616,257949,309219,291091,309571,327407,375201,356079,361280,390169,390230,440581,379003,387649
 "31005","Arthur, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",10158,12341,12962,13305,14288,18183,13548,11814,11762,13998,17372,10845,12377,22323,30152,20816,18114,29322
 "31005","Arthur, NE",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.664,113.797,119.522,122.681,131.749,167.663,124.929,108.939,108.453,129.077,160.191,100.000,114.127,205.836,278.032,191.945,167.025,270.383
 "31005","Arthur, NE",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",6687,8301,9053,10105,10623,13743,11209,9975,10210,12440,17004,10845,12659,22379,27935,18337,16343,26433
 "31007","Banner, NE",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",22846,22487,42223,34115,45232,42964,35822,37930,22133,38949,53470,42817,46629,71405,73856,88082,41614,68444
