GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33001","Belknap, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2425807,2488814,2527559,2523559,2515503,2445337,2432550,2376725,2318053,2312204,2355417,2409561,2469048,2434228,2529942,2559534,2595286,2673442
 "33001","Belknap, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.674,103.289,104.897,104.731,104.397,101.485,100.954,98.637,96.202,95.960,97.753,100.000,102.469,101.024,104.996,106.224,107.708,110.951
 "33001","Belknap, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1913646,2004344,2067636,2121511,2182507,2193813,2249291,2234500,2224532,2232298,2305529,2409561,2519880,2533934,2699806,2777841,2859517,3006726
 "33003","Carroll, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1901578,1984194,2004989,2006543,1976211,1926859,1883524,1856730,1843242,1880597,1926197,1983530,1984281,1943173,1962369,1962213,1988941,2029530
 "33003","Carroll, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.868,100.033,101.082,101.160,99.631,97.143,94.958,93.607,92.927,94.811,97.110,100.000,100.038,97.965,98.933,98.925,100.273,102.319
 "33003","Carroll, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1463167,1563467,1610656,1659396,1694708,1713021,1733237,1741268,1768343,1810377,1878866,1983530,2032712,2040318,2120230,2167971,2236792,2335912
 "33005","Cheshire, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2760929,2809302,2878634,2993276,3013579,3224566,3117325,3129360,3036799,3063842,3081686,3079917,3155943,3202877,3335054,3334470,3355740,3376138
 "33005","Cheshire, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.643,91.214,93.465,97.187,97.846,104.697,101.215,101.605,98.600,99.478,100.057,100.000,102.468,103.992,108.284,108.265,108.956,109.618
 "33005","Cheshire, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2156110,2239630,2334859,2492882,2589021,2856978,2845033,2901050,2913544,2950129,3007876,3079917,3230266,3341377,3565075,3621467,3679877,3773901
 "33007","Coos, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1136706,1115685,1188397,1210757,1215915,1194620,1192772,1160111,1148095,1137307,1113860,1112185,1142395,1118185,1142239,1156841,1138637,1146857
 "33007","Coos, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.205,100.315,106.852,108.863,109.327,107.412,107.246,104.309,103.229,102.259,100.151,100.000,102.716,100.539,102.702,104.015,102.378,103.117
