GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34001","Atlantic, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",13560367,13976107,14183332,14292088,14747473,15706460,15622084,15611761,13812643,13442438,13885512,13670643,13529168,13152309,12705660,12471409,12424734,12863458
 "34001","Atlantic, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.193,102.234,103.750,104.546,107.877,114.892,114.275,114.199,101.039,98.331,101.572,100.000,98.965,96.208,92.941,91.228,90.886,94.095
 "34001","Atlantic, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",10409156,10939260,11303274,11696877,12554870,13850011,14358013,14654676,13131644,12855711,13525767,13670643,13847062,13782024,13675341,13694551,13888946,14706662
 "34003","Bergen, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",60540858,61354956,62660670,63662391,64233775,64154133,64702164,65307979,63498118,64608118,64300795,64632393,64250726,64882829,64989040,64865064,64494856,66148892
 "34003","Bergen, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.670,94.929,96.949,98.499,99.383,99.260,100.108,101.045,98.245,99.962,99.487,100.000,99.409,100.387,100.552,100.360,99.787,102.346
 "34003","Bergen, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",48297573,49706068,51353850,53551428,55445856,57087958,59183103,60874141,61003612,62312967,62907637,64632393,65467065,67192926,68877694,69905783,70394970,73548321
 "34005","Burlington, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",19984679,20793952,21861114,22321313,22875631,23521373,23626356,23985907,23226761,23446563,23519571,23843473,23802493,23602350,24340302,24365768,24747071,25242828
 "34005","Burlington, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.816,87.210,91.686,93.616,95.941,98.649,99.089,100.597,97.413,98.335,98.642,100.000,99.828,98.989,102.084,102.191,103.790,105.869
 "34005","Burlington, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",16383210,17298072,18398457,19228537,20197936,21332908,21926919,22584237,22324992,22656400,23029134,23843473,24269671,24523075,25858716,26307208,27096766,28244160
 "34007","Camden, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",20217264,20825359,21827951,22266476,22732246,23263191,23383249,23686431,22495127,22414837,22085159,22365179,22542496,22195541,22558680,22921961,23199521,23773431
 "34007","Camden, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.396,93.115,97.598,99.559,101.641,104.015,104.552,105.908,100.581,100.222,98.748,100.000,100.793,99.242,100.865,102.490,103.731,106.297
 "34007","Camden, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",15950818,16784310,17884544,18748356,19708199,20805254,21503942,22160184,21564882,21647191,21612235,22365179,23007982,23073533,24023948,24827457,25507382,26630107
 "34009","Cape May, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4393441,4594944,4825061,5020630,5174339,5239723,5168980,4994763,4815534,4876428,4850182,4839395,4816347,4843688,4803794,4800458,4757727,4852632
 "34009","Cape May, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.785,94.949,99.704,103.745,106.921,108.272,106.810,103.210,99.507,100.765,100.223,100.000,99.524,100.089,99.264,99.195,98.312,100.274
 "34009","Cape May, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3363807,3611091,3882529,4167713,4444180,4668984,4760404,4684213,4620203,4700713,4741626,4839395,4925266,5068517,5175139,5285073,5340591,5569716
 "34011","Cumberland, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5375211,5465767,5772190,5985292,6101340,6206974,6095673,6171788,6023307,5954839,5854480,5900991,5910921,5884451,6012536,6126043,5954454,6051881
 "34011","Cumberland, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.090,92.625,97.817,101.429,103.395,105.185,103.299,104.589,102.073,100.913,99.212,100.000,100.168,99.720,101.890,103.814,100.906,102.557
 "34011","Cumberland, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4098208,4277249,4589614,4899137,5150385,5431622,5516401,5691220,5747310,5724626,5698902,5900991,6055416,6163426,6473378,6704284,6597959,6823510
 "34013","Essex, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",47623554,48724146,49455365,53124196,51413716,52058122,51312389,52240854,50506331,51354500,50931114,50609681,50328425,49671461,50829629,51344851,51601199,52311173
 "34013","Essex, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.100,96.274,97.719,104.968,101.589,102.862,101.388,103.223,99.796,101.472,100.635,100.000,99.444,98.146,100.435,101.453,101.959,103.362
 "34013","Essex, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",37104628,38876789,40192134,44220051,43897642,45781737,46354510,48081527,47863551,49106940,49438607,50609681,51313450,51743497,54584833,56129178,57022439,59018323
 "34015","Gloucester, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",10690581,10960119,12012559,12137649,11895871,12014263,12883049,14103012,11871555,11842577,11135554,11086343,11208463,11989125,14304875,13985808,14162898,14353051
 "34015","Gloucester, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.430,98.861,108.355,109.483,107.302,108.370,116.206,127.211,107.083,106.821,100.444,100.000,101.102,108.143,129.032,126.153,127.751,129.466
 "34015","Gloucester, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",7683741,7876145,8922054,9391129,9815555,10400335,11589471,12721696,10587855,10867252,10805637,11086343,11313956,12258979,14702718,13773616,14626831,15758220
 "34017","Hudson, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",31788613,33717540,33523453,34348168,36903918,38400976,37516261,36932361,38138621,38675424,37821090,39249245,40179939,40167638,41946981,42034951,43796480,44690400
 "34017","Hudson, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.992,85.906,85.412,87.513,94.025,97.839,95.585,94.097,97.170,98.538,96.361,100.000,102.371,102.340,106.873,107.097,111.586,113.863
 "34017","Hudson, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",25322380,27384347,27713540,29271148,32336887,34671857,34992030,34867107,35826301,36890482,36907719,39249245,41229832,42436654,45444230,46351341,49214339,51575916
 "34019","Hunterdon, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",6500705,6811822,6938627,7127814,6858667,7122304,7003009,7113885,6918871,6786478,6522413,6665842,6539894,6682330,6603611,6541100,6838373,6811313
 "34019","Hunterdon, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.523,102.190,104.092,106.930,102.893,106.848,105.058,106.721,103.796,101.810,97.848,100.000,98.111,100.247,99.066,98.129,102.588,102.182
 "34019","Hunterdon, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4973406,5301461,5493405,5869121,5841574,6294465,6394758,6611341,6602910,6531210,6380202,6665842,6674512,6937665,7003687,7039450,7452850,7590001
 "34021","Mercer, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",24531517,25329167,25813127,26093323,26436766,26763555,26432604,27359900,26339529,26606523,26732591,28346897,27997660,27654959,27806922,28160390,27815178,28459499
 "34021","Mercer, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.540,89.354,91.062,92.050,93.262,94.414,93.247,96.518,92.919,93.860,94.305,100.000,98.768,97.559,98.095,99.342,98.124,100.397
