GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35001","Bernalillo, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",27513860,27974421,29394883,31556935,31883536,32434343,32395746,32688321,32570904,32035616,32038775,32249934,31499768,32292628,32750420,33592951,33219394,33852532
 "35001","Bernalillo, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.314,86.743,91.147,97.851,98.864,100.572,100.452,101.359,100.995,99.335,99.345,100.000,97.674,100.132,101.552,104.164,103.006,104.969
 "35001","Bernalillo, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",22314390,23140761,24690317,27039146,27962373,29197989,29929150,30669612,31242682,30987497,31402329,32249934,32104902,33545153,34800526,36250575,36364221,37865783
 "35003","Catron, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",80111,82126,83507,83942,87953,95038,87626,77628,75873,77027,81087,81543,73798,79021,76972,74135,74651,75309
 "35003","Catron, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.244,100.715,102.409,102.942,107.861,116.550,107.460,95.199,93.047,94.462,99.440,100.000,90.502,96.907,94.394,90.916,91.548,92.354
 "35003","Catron, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",59156,62771,66037,69357,73524,81711,79432,71816,71264,73567,79602,81543,75431,82369,81431,79275,81419,84094
 "35005","Chaves, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1870845,1830556,1756791,1874205,1934148,1909598,2023308,2090630,1889690,2071799,2095754,2046156,1997207,2105943,2048359,2072346,2041275,2003504
 "35005","Chaves, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.432,89.463,85.858,91.596,94.526,93.326,98.883,102.174,92.353,101.253,102.424,100.000,97.608,102.922,100.108,101.280,99.761,97.915
 "35005","Chaves, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1376606,1350576,1359678,1520123,1605826,1623979,1817592,1957591,1706464,1937523,2061052,2046156,2051049,2172438,2047583,2066608,2095161,2099949
 "35006","Cibola, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",507353,544680,608789,649657,648675,661949,683595,635808,616112,621894,631189,649296,644482,663364,647182,642636,623455,614425
 "35006","Cibola, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.139,83.888,93.761,100.056,99.904,101.949,105.283,97.923,94.889,95.780,97.211,100.000,99.259,102.167,99.674,98.974,96.020,94.629
 "35006","Cibola, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",396529,433113,490502,534056,547903,577756,615349,586777,584226,599089,619834,649296,656324,687540,680423,684194,678397,683956
 "35007","Colfax, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",490679,500987,497778,498216,522992,535220,526347,477000,505975,504108,542371,498845,457192,463476,455729,450583,431526,411440
 "35007","Colfax, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.363,100.429,99.786,99.874,104.840,107.292,105.513,95.621,101.429,101.055,108.725,100.000,91.650,92.910,91.357,90.325,86.505,82.478
 "35007","Colfax, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",348199,361083,377429,400019,445443,468718,487904,475191,457661,478555,538992,498845,471146,484901,453341,450063,447439,442675
 "35009","Curry, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1851765,1869068,1921166,2072569,2146181,2208490,2158906,2202505,2414588,2532636,2610727,2762403,2895003,2999296,2938820,2987664,3041013,3024286
 "35009","Curry, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",67.035,67.661,69.547,75.028,77.693,79.948,78.153,79.731,87.409,91.682,94.509,100.000,104.800,108.576,106.386,108.155,110.086,109.480
 "35009","Curry, NM",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1329343,1382305,1477053,1660474,1753895,1860759,1945730,2033468,2169100,2360363,2559852,2762403,2950211,3068250,2981854,3000563,3137787,3173812
 "35011","De Baca, NM",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",66377,69724,63737,64815,67726,88753,67986,65251,56447,60195,74569,75227,54131,57793,50732,53641,50587,50467
 "35011","De Baca, NM",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.236,92.685,84.726,86.159,90.028,117.980,90.374,86.738,75.036,80.018,99.125,100.000,71.957,76.824,67.438,71.305,67.245,67.086
