GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32001","Churchill, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",860329,854733,868967,934549,978331,996266,979806,974459,909802,922063,927708,897781,904890,912983,922253,951966,961710,1038391
 "32001","Churchill, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.828,95.205,96.790,104.095,108.972,110.970,109.136,108.541,101.339,102.705,103.333,100.000,100.792,101.693,102.726,106.035,107.121,115.662
 "32001","Churchill, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",640168,651544,679435,759659,823182,875122,892675,905431,857243,882368,909378,897781,923223,954016,986897,1029788,1059767,1173864
 "32003","Clark, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",72950505,75901104,80032555,90277850,99284579,103460935,103111400,99000386,89834267,89183882,90449129,89213576,90568170,92438237,96610558,99198167,101392420,107622947
 "32003","Clark, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.771,85.078,89.709,101.193,111.289,115.970,115.578,110.970,100.696,99.967,101.385,100.000,101.518,103.615,108.291,111.192,113.651,120.635
 "32003","Clark, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",56033269,59548161,64013945,74291949,84933150,91996799,95001286,92979274,86015215,85728327,88096898,89213576,92592492,96666488,103803455,108746897,112818447,122423873
 "32005","Douglas, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1713306,1784259,1874350,2045501,2150306,2113500,2162422,2059611,1929159,2014812,1986378,1906087,2068409,2140962,2179846,2170340,2213182,2354292
 "32005","Douglas, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.886,93.608,98.335,107.314,112.813,110.882,113.448,108.054,101.210,105.704,104.212,100.000,108.516,112.322,114.362,113.864,116.111,123.514
 "32005","Douglas, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1400720,1483328,1574983,1758470,1917226,1943023,2051611,1980146,1880885,1956096,1941137,1906087,2104296,2212284,2303248,2332980,2412262,2614878
 "32007","Elko, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1944146,1873586,1942872,2169546,2317183,2544252,2524614,2580610,2313846,2654014,2849764,2902075,2726470,2555168,2414125,2485334,2621223,2647073
