GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36001","Albany, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",23135552,22992749,23641737,23773714,24137591,24215536,24296852,24772731,25788903,25547794,25409779,25640674,26042368,26781633,27048252,27577236,27798104,27767672
 "36001","Albany, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.230,89.673,92.204,92.719,94.138,94.442,94.759,96.615,100.578,99.638,99.099,100.000,101.567,104.450,105.490,107.553,108.414,108.295
 "36001","Albany, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",17742573,18042871,18965154,19652775,20568613,21333061,22060630,22942780,24499133,24585727,24826568,25640674,26732482,28194034,29193468,30261587,30967085,31707107
 "36003","Allegany, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1163927,1185560,1201333,1213871,1251804,1320643,1282487,1354314,1261027,1297555,1302364,1311607,1308297,1363046,1344667,1307134,1306720,1314918
 "36003","Allegany, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.741,90.390,91.592,92.548,95.440,100.689,97.780,103.256,96.144,98.929,99.295,100.000,99.748,103.922,102.521,99.659,99.627,100.252
 "36003","Allegany, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",874591,912586,944641,988707,1047322,1137823,1149452,1244911,1198366,1241045,1267317,1311607,1345765,1430637,1443968,1427620,1449625,1487233
 "36005","Bronx, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",30050279,30563164,31012385,31533462,32261111,33906299,34363499,35914542,37030310,37654775,37729615,38259586,38716921,38712453,38864519,38921080,39819920,42695638
 "36005","Bronx, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.543,79.884,81.058,82.420,84.322,88.622,89.817,93.871,96.787,98.419,98.615,100.000,101.195,101.184,101.581,101.729,104.078,111.595
 "36005","Bronx, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",22931854,24049958,24992239,26157739,27584601,29992432,31326921,33448231,35418908,36303706,36888859,38259586,39659057,40598131,41974161,43066903,44974119,49347608
 "36007","Broome, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7363735,7267421,7188617,7140602,7265250,7737882,8005420,8369154,8491668,8881821,8951427,9193135,8937423,8829770,8727400,8703292,8865371,8981867
 "36007","Broome, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.100,79.053,78.195,77.673,79.029,84.170,87.080,91.037,92.370,96.614,97.371,100.000,97.218,96.047,94.934,94.672,96.435,97.702
 "36007","Broome, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",6237791,6214150,6178200,6242372,6487355,7064847,7467988,7880730,8189433,8599638,8753344,9193135,9118415,9180283,9286851,9405867,9695390,10014469
 "36009","Cattaraugus, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2513193,2546676,2620917,2710122,2686979,2853751,2805887,2802731,2773762,2855489,2852174,2816457,2835661,2804932,2738023,2649524,2679529,2659316
 "36009","Cattaraugus, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.232,90.421,93.057,96.225,95.403,101.324,99.625,99.513,98.484,101.386,101.268,100.000,100.682,99.591,97.215,94.073,95.138,94.421
 "36009","Cattaraugus, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1933430,1998223,2093925,2229943,2273215,2490220,2535432,2590639,2636249,2740495,2783893,2816457,2917782,2947659,2935759,2892274,2975759,3025444
 "36011","Cayuga, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2089336,2077829,2155686,2267444,2253211,2305084,2454014,2423361,2309718,2461518,2507339,2543891,2595606,2638831,2532267,2466121,2472707,2455069
 "36011","Cayuga, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.132,81.679,84.740,89.133,88.573,90.613,96.467,95.262,90.795,96.762,98.563,100.000,102.033,103.732,99.543,96.943,97.202,96.508
 "36011","Cayuga, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1599707,1624212,1716171,1870648,1908763,2020521,2233022,2241837,2169675,2340541,2448593,2543891,2658118,2747967,2686437,2657987,2714439,2754910
 "36013","Chautauqua, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4624426,4705681,4629693,4697897,4806418,5092130,5079072,5102110,4922011,5089413,5042901,4906208,4896482,4836732,4812366,4720719,4846451,4795711
 "36013","Chautauqua, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.257,95.913,94.364,95.754,97.966,103.790,103.523,103.993,100.322,103.734,102.786,100.000,99.802,98.584,98.087,96.219,98.782,97.748
 "36013","Chautauqua, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3617728,3742688,3749339,3881035,4087677,4446892,4564435,4688781,4710149,4888205,4906097,4906208,5017154,5060811,5147563,5123912,5328170,5366957
 "36015","Chemung, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3004352,2998316,3038268,3127147,3222477,3317673,3372712,3501868,3479236,3616552,3672999,3669215,3707816,3734980,3672232,3598261,3573676,3625650
 "36015","Chemung, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.880,81.715,82.804,85.227,87.825,90.419,91.919,95.439,94.822,98.565,100.103,100.000,101.052,101.792,100.082,98.066,97.396,98.813
 "36015","Chemung, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2422531,2455703,2520293,2651785,2813620,2981684,3117745,3300878,3324464,3496653,3603112,3669215,3799778,3908396,3873076,3844682,3889324,4038894
 "36017","Chenango, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1518295,1509105,1534372,1631228,1661895,1847448,1887207,1834394,1839522,1818614,1819244,1838827,1880689,1926171,1971041,1972456,1986133,1973842
 "36017","Chenango, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.569,82.069,83.443,88.710,90.378,100.469,102.631,99.759,100.038,98.901,98.935,100.000,102.277,104.750,107.190,107.267,108.011,107.342
 "36017","Chenango, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1172119,1185542,1229932,1342936,1393935,1586133,1670073,1667911,1734821,1728299,1764220,1838827,1930683,2022709,2122196,2165583,2202230,2222326
 "36019","Clinton, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3177230,3321466,3481381,3708230,3748887,4083542,3985220,3800217,3641866,3592779,3404362,3388495,3429879,3444997,3519059,3498274,3565723,3554003
 "36019","Clinton, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.765,98.022,102.741,109.436,110.636,120.512,117.610,112.151,107.477,106.029,100.468,100.000,101.221,101.667,103.853,103.240,105.230,104.884
 "36019","Clinton, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2407868,2552856,2732651,2982952,3100074,3495168,3521279,3451256,3424000,3416399,3323890,3388495,3515446,3601891,3747173,3749903,3897248,3974221
 "36021","Columbia, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1943481,1845788,1872164,2002844,1958004,2045124,2022237,2010718,2032023,2143734,2117253,2220296,2250705,2333541,2313702,2293614,2234832,2234756
 "36021","Columbia, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.533,83.133,84.320,90.206,88.187,92.110,91.080,90.561,91.520,96.552,95.359,100.000,101.370,105.100,104.207,103.302,100.655,100.651
 "36021","Columbia, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1484657,1438517,1487399,1643546,1653084,1787083,1834691,1861308,1922681,2052039,2062685,2220296,2305314,2441707,2491246,2525004,2499156,2550492
 "36023","Cortland, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1530770,1557804,1563853,1523079,1538821,1579410,1613649,1728617,1701254,1716361,1709555,1714852,1772374,1793885,1823915,1754693,1781987,1780484
