GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39001","Adams, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1354965,1354350,1318657,1329201,1216308,1270221,1439628,1362677,1533685,1494339,1598244,1472739,1495216,1347933,1369333,1528527,1285726,835269
 "39001","Adams, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.003,91.961,89.538,90.254,82.588,86.249,97.752,92.527,104.138,101.467,108.522,100.000,101.526,91.526,92.979,103.788,87.302,56.715
 "39001","Adams, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1105896,1072859,1094640,1137407,1081389,1193075,1371589,1298945,1588181,1516464,1624269,1472739,1541471,1469113,1513027,1662654,1427836,952936
 "39003","Allen, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5643442,5930496,5956838,6144741,6196652,6282965,6075998,5942288,6865089,7160776,7419978,7178597,6992588,7581703,7017857,7137897,7249480,7558930
 "39003","Allen, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.615,82.614,82.981,85.598,86.321,87.524,84.640,82.778,95.633,99.752,103.363,100.000,97.409,105.615,97.761,99.433,100.987,105.298
 "39003","Allen, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3880550,4093379,4194740,4419215,4628175,4833696,4820540,4772310,5493530,6087672,7071687,7178597,6973483,7594955,7132712,7150372,7534892,8221147
 "39005","Ashland, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1511195,1549819,1544854,1569364,1570846,1569636,1611118,1589696,1484558,1507507,1550429,1539731,1565252,1594995,1609795,1598130,1595899,1627015
 "39005","Ashland, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.147,100.655,100.333,101.925,102.021,101.942,104.636,103.245,96.417,97.907,100.695,100.000,101.657,103.589,104.550,103.793,103.648,105.669
 "39005","Ashland, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1180003,1234203,1243422,1287550,1325655,1370339,1446530,1456773,1410217,1440004,1507283,1539731,1605458,1665654,1729370,1750488,1771844,1843358
 "39007","Ashtabula, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2697031,2805501,2831566,2913257,2930528,2948802,2938420,2882579,2663016,2813268,2895380,2804443,2711972,2730902,2784450,2683288,2719196,2781238
