GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40001","Adair, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",423872,441425,421924,392792,447528,462888,450699,420772,392911,454272,442780,418827,413410,402246,430694,424679,419065,408031
 "40001","Adair, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",101.204,105.396,100.739,93.784,106.853,110.520,107.610,100.464,93.812,108.463,105.719,100.000,98.706,96.041,102.833,101.397,100.057,97.422
 "40001","Adair, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",314486,331582,323162,309242,354333,372374,378369,364661,358014,419718,428448,418827,425164,417583,446628,438420,441791,436817
 "40003","Alfalfa, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",162223,151217,170490,152514,151563,173037,152302,195257,153554,189474,254341,361973,332663,442841,423149,345852,314076,298710
 "40003","Alfalfa, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",44.816,41.776,47.100,42.134,41.871,47.804,42.075,53.942,42.421,52.345,70.265,100.000,91.903,122.341,116.901,95.546,86.768,82.523
 "40003","Alfalfa, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",120696,110704,132258,129628,123105,140680,142804,186709,132169,173881,265834,361973,349138,452748,290377,221953,212662,204221
 "40005","Atoka, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",244835,273593,267069,262369,265243,275382,288247,283186,301123,282066,292597,295552,291235,287510,280839,290614,294804,295589
 "40005","Atoka, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.840,92.570,90.363,88.773,89.745,93.175,97.528,95.816,101.885,95.437,99.000,100.000,98.539,97.279,95.022,98.329,99.747,100.012
 "40005","Atoka, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",179963,205602,205801,209816,218993,236001,257371,260747,281617,269383,285048,295552,298511,301314,301795,317404,328108,337101
 "40007","Beaver, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",203899,181801,197902,197293,228506,226442,242517,225459,172786,296318,338863,340167,308045,302778,334194,366518,403184,394575
 "40007","Beaver, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",59.941,53.445,58.178,57.999,67.175,66.568,71.294,66.279,50.794,87.109,99.617,100.000,90.557,89.009,98.244,107.746,118.526,115.994
 "40007","Beaver, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",132344,116025,134072,146492,163419,163292,198697,190802,134635,246609,331413,340167,316989,303324,302114,307636,358044,353496
