GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41001","Baker, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",453515,452174,428034,438420,428510,483721,496548,483404,504310,523017,525063,484354,469712,485311,509371,529953,566364,580947
 "41001","Baker, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.633,93.356,88.372,90.516,88.470,99.869,102.517,99.804,104.120,107.982,108.405,100.000,96.977,100.198,105.165,109.414,116.932,119.943
 "41001","Baker, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",347026,351835,342863,364704,367737,430509,455371,450224,476980,502030,516581,484354,482630,510742,544718,571530,623223,652733
 "41003","Benton, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2637903,2687380,2749141,2879332,3036739,3363625,3635213,3777550,3700797,3805535,3969651,3946972,3960024,4062396,4215045,4347188,4484532,4705402
 "41003","Benton, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",66.834,68.087,69.652,72.950,76.938,85.220,92.101,95.708,93.763,96.417,100.575,100.000,100.331,102.924,106.792,110.140,113.620,119.215
 "41003","Benton, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2549618,2600078,2660403,2822591,2987133,3319875,3610590,3694236,3645915,3742102,3916407,3946972,4034400,4192362,4424062,4597153,4806926,5123071
 "41005","Clackamas, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",12277221,12693155,12963843,13434075,14055289,14788365,14802527,15011842,14282924,14403876,15043505,15560036,15877537,16110988,17198027,18108725,18898254,19580688
 "41005","Clackamas, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.902,81.575,83.315,86.337,90.329,95.041,95.132,96.477,91.792,92.570,96.680,100.000,102.040,103.541,110.527,116.380,121.454,125.840
 "41005","Clackamas, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",10039749,10508317,10838140,11550463,12370231,13408807,13813942,14197574,13674589,13897799,14775348,15560036,16115725,16627568,17960427,19067016,20288736,21482671
 "41007","Clatsop, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1245035,1329311,1322337,1411357,1445907,1518272,1496192,1497611,1453226,1472637,1503373,1524228,1514755,1539712,1590705,1642705,1696418,1740163
 "41007","Clatsop, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.683,87.212,86.755,92.595,94.862,99.609,98.161,98.254,95.342,96.615,98.632,100.000,99.378,101.016,104.361,107.773,111.297,114.167
