GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42001","Adams, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2591190,2773181,2775851,2821790,2922440,3079881,3088131,3128051,3129119,3112492,3191194,3256380,3295629,3296990,3334856,3327497,3476444,3487746
 "42001","Adams, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.573,85.161,85.243,86.654,89.745,94.580,94.833,96.059,96.092,95.581,97.998,100.000,101.205,101.247,102.410,102.184,106.758,107.105
 "42001","Adams, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1976223,2162630,2200538,2292666,2459406,2679248,2770684,2876358,2964524,2985872,3117380,3256380,3374281,3447225,3562553,3602628,3830237,3906093
 "42003","Allegheny, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",71601915,72015472,73521932,74123916,74193165,72630121,74145842,75889120,74885876,77118958,78442330,79959040,80513637,81145338,83017798,82618284,84107607,86799511
 "42003","Allegheny, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.548,90.065,91.949,92.702,92.789,90.834,92.730,94.910,93.655,96.448,98.103,100.000,100.694,101.484,103.825,103.326,105.188,108.555
 "42003","Allegheny, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",55347417,56823575,59273767,61797455,64005730,64948708,68492529,71201717,71166443,74204641,76814045,79959040,82013440,84190354,87495637,88269713,91474394,96697540
 "42005","Armstrong, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2263132,2355887,2322789,2289486,2317097,2324197,2382012,2446885,2341587,2573662,2500612,2343945,2397781,2344684,2276494,2228905,2330667,2344977
 "42005","Armstrong, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.552,100.509,99.097,97.677,98.855,99.158,101.624,104.392,99.899,109.800,106.684,100.000,102.297,100.032,97.122,95.092,99.434,100.044
 "42005","Armstrong, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1649159,1717015,1754022,1820807,1961828,2102701,2223215,2365229,2227718,2518099,2512394,2343945,2430387,2440806,2299837,2235642,2422307,2528848
 "42007","Beaver, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5903698,5963848,5961620,6294890,6377001,6756636,6878819,6842381,6526219,6888533,7036805,6828233,6759410,6763349,6615525,6525338,6725165,7129597
 "42007","Beaver, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.460,87.341,87.308,92.189,93.392,98.951,100.741,100.207,95.577,100.883,103.055,100.000,98.992,99.050,96.885,95.564,98.491,104.413
 "42007","Beaver, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4511939,4580677,4697074,5165529,5472141,6189350,6478271,6557798,6317335,6738393,7032678,6828233,6862814,7113177,7016876,6920567,7329308,8031494
 "42009","Bedford, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1271002,1253447,1280259,1247838,1234867,1320721,1397697,1498750,1422880,1494514,1484496,1443997,1444860,1441719,1470333,1434084,1498362,1505845
 "42009","Bedford, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.020,86.804,88.661,86.416,85.517,91.463,96.794,103.792,98.538,103.498,102.805,100.000,100.060,99.842,101.824,99.314,103.765,104.283
 "42009","Bedford, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",969398,973918,1014734,1024550,1041428,1151914,1272966,1392122,1346372,1423587,1452142,1443997,1475206,1491714,1544137,1524007,1620286,1661793
