GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00998","United States (Metropolitan Portion)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",11886899208,12088847011,12424725501,12901126192,13376451615,13737277924,13967226281,13922584263,13527734240,13845441884,14034693323,14326874576,14539647445,14911194849,15377266436,15646223631,16030109264,16504746972
 "00998","United States (Metropolitan Portion)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.969,84.379,86.723,90.048,93.366,95.885,97.490,97.178,94.422,96.640,97.961,100.000,101.485,104.078,107.332,109.209,111.888,115.201
 "00998","United States (Metropolitan Portion)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",9415875310,9731154499,10182916740,10852980056,11594324984,12260632478,12821473605,13005930514,12809881498,13265807959,13721693716,14326874576,14832116078,15512612655,16264292775,16758764121,17468820513,18416891991
 "00999","United States (Nonmetropolitan Portion) *", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1469175145,1510334423,1534733431,1573052958,1600349913,1675876902,1688756701,1686809583,1670322275,1700216894,1726436215,1756901554,1794423324,1832746371,1858567074,1859176982,1890205152,1931227045
 "00999","United States (Nonmetropolitan Portion) *", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.623,85.966,87.355,89.536,91.089,95.388,96.121,96.010,95.072,96.774,98.266,100.000,102.136,104.317,105.787,105.821,107.587,109.922
 "00999","United States (Nonmetropolitan Portion) *", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1099663264,1137667543,1202558452,1284781393,1363011636,1471312929,1544361075,1615529049,1540907452,1622330668,1709698829,1756901554,1839418120,1900876345,1848597225,1843330879,1937121487,2046565009
 "01998","Alabama (Metropolitan Portion)",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",125652055,129670681,133183049,140801636,145293391,147817037,149745810,149926272,144410689,147688842,150905428,151729230,152480526,151706704,153585724,155099778,157358114,161789370
 "01998","Alabama (Metropolitan Portion)",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.813,85.462,87.777,92.798,95.758,97.422,98.693,98.812,95.177,97.337,99.457,100.000,100.495,99.985,101.224,102.221,103.710,106.630
 "01998","Alabama (Metropolitan Portion)",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",97919534,102627397,107562584,117140828,124889196,131320518,136919776,139823946,136665355,141588263,147891418,151729230,155007328,157594148,162540494,165829895,171555353,181051733
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",30765026,31221701,31835045,34719245,36103342,36991512,36125670,35370284,33608508,34571868,34149334,34569757,35682469,35141450,35752153,35601630,35663517,36644101
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.994,90.315,92.089,100.432,104.436,107.005,104.501,102.316,97.219,100.006,98.784,100.000,103.219,101.654,103.420,102.985,103.164,106.000
 "01999","Alabama (Nonmetropolitan Portion) *",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",24529782,25164913,26176653,29383878,31081202,32533080,32758576,32862900,31682682,33164738,33458371,34569757,36473688,36616869,37862219,37999945,38809044,40683769
 "02998","Alaska (Metropolitan Portion)",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",23445920,22987795,23429564,23825811,24738121,25097251,25640338,26970982,27565545,28540543,28593214,28482381,27890531,27883769,28746352,28248547,27776971,28252607
 "02998","Alaska (Metropolitan Portion)",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.317,80.709,82.260,83.651,86.854,88.115,90.022,94.694,96.781,100.204,100.389,100.000,97.922,97.898,100.927,99.179,97.523,99.193
 "02998","Alaska (Metropolitan Portion)",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",17251432,17269728,18183584,19111901,20655911,21838331,23151462,25015727,25682468,27348294,28055772,28482381,28527059,29082890,30048746,29855232,30030737,31383110
 "02999","Alaska (Nonmetropolitan Portion) *",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",17599939,20257287,18968149,20190404,20608896,23589978,25574080,24271012,28410232,25703648,26132642,29187749,26869482,25405994,25001560,24387652,25010272,24840989
