GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "44001","Bristol, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1329668,1401348,1482323,1533529,1522095,1543053,1562128,1553499,1526335,1543722,1543401,1523468,1523398,1524791,1558599,1554376,1528241,1546297
 "44001","Bristol, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.279,91.984,97.299,100.660,99.910,101.286,102.538,101.971,100.188,101.329,101.308,100.000,99.995,100.087,102.306,102.029,100.313,101.498
 "44001","Bristol, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1011882,1094614,1182322,1258490,1291448,1356810,1418200,1439674,1455830,1484161,1506643,1523468,1558988,1592497,1673568,1703578,1703806,1761040
 "44003","Kent, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7230612,7607754,7940526,8385153,8526032,8813958,8278873,7940546,7970254,8121646,8009991,8115623,8128995,8045784,7956719,7986785,7923102,8086479
 "44003","Kent, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.095,93.742,97.842,103.321,105.057,108.605,102.012,97.843,98.209,100.074,98.698,100.000,100.165,99.139,98.042,98.412,97.628,99.641
 "44003","Kent, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5725772,6132063,6482576,7012628,7328156,7811190,7549458,7373358,7583490,7789303,7815764,8115623,8287226,8358999,8468560,8639108,8689880,9061784
 "44005","Newport, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4439902,4578036,4903861,5145882,5206349,5122330,5133254,5159916,5141339,5122354,5134634,5156243,5309160,5216884,5124023,5152549,5234084,5328893
 "44005","Newport, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.107,88.786,95.105,99.799,100.972,99.342,99.554,100.071,99.711,99.343,99.581,100.000,102.966,101.176,99.375,99.928,101.510,103.348
 "44005","Newport, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3565916,3762827,4119680,4424022,4606775,4665556,4805253,4890634,4961443,4979908,5055235,5156243,5400238,5412854,5433158,5539415,5718597,5953558
 "44007","Providence, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",28233720,29132432,29906532,31115628,31498324,32428877,31447169,30410007,30347966,31263067,31146408,31336713,31509997,31725330,32512083,32514875,32363400,32410449
 "44007","Providence, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.098,92.966,95.436,99.294,100.516,103.485,100.352,97.043,96.845,99.765,99.393,100.000,100.553,101.240,103.751,103.760,103.276,103.426
 "44007","Providence, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",22067773,23283360,24365999,26098226,27209951,28941329,28922216,28419175,28920353,30113491,30492565,31336713,32222756,33199682,34823417,35410518,35841120,36773753
 "44009","Washington, RI",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4687249,4895825,5142076,5403692,5565431,5615682,5669872,5382493,5226523,5416975,5434530,5509974,5613220,5620381,5940989,5878588,5938011,6252824
 "44009","Washington, RI",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.068,88.854,93.323,98.071,101.006,101.918,102.902,97.686,94.856,98.312,98.631,100.000,101.874,102.004,107.822,106.690,107.768,113.482
 "44009","Washington, RI",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3620800,3859256,4122215,4452251,4726043,4936906,5150511,4984927,4980289,5204909,5305717,5509974,5740739,5863251,6360689,6401290,6552938,7037459
"Note: See the included footnote file."
"CAGDP1: Gross Domestic Product (GDP) summary by county and metropolitan area "
"Last updated: December 12, 2019 -- new statistics for 2001-2018. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
