GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "45001","Abbeville, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",594608,546423,530395,550723,539914,558408,531353,526490,500799,518846,525469,516801,513555,505547,502241,518042,524320,532044
 "45001","Abbeville, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",115.056,105.732,102.630,106.564,104.472,108.051,102.816,101.875,96.904,100.396,101.677,100.000,99.372,97.822,97.183,100.240,101.455,102.949
 "45001","Abbeville, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",482354,449302,435945,460889,461899,498386,488946,493623,476031,498603,516553,516801,521845,524097,529625,551222,567096,590435
 "45003","Aiken, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5564247,5654411,5756258,5700173,5635991,5533058,6299433,6563951,6038356,6164912,6137153,5992863,5800975,5736514,5834526,5836985,5908848,6009182
 "45003","Aiken, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.848,94.352,96.052,95.116,94.045,92.327,105.116,109.529,100.759,102.871,102.408,100.000,96.798,95.722,97.358,97.399,98.598,100.272
 "45003","Aiken, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4320353,4495136,4659978,4707854,4764383,4846857,5700384,6056003,5778802,5941376,6000349,5992863,5952728,6032443,6331979,6472725,6663448,6958015
 "45005","Allendale, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",308057,327595,329943,305590,312702,416237,393751,330512,319246,356984,338314,323128,300460,294118,285756,308723,330976,333219
 "45005","Allendale, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.336,101.382,102.109,94.573,96.774,128.815,121.856,102.285,98.799,110.477,104.700,100.000,92.985,91.022,88.434,95.542,102.429,103.123
 "45005","Allendale, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",237398,255923,260966,249095,260839,357112,345140,295021,296606,336097,326470,323128,315080,319678,315604,345582,378112,393724
 "45007","Anderson, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4682093,4713667,4871866,4961164,4936533,5081843,5133996,5276749,4861266,5153190,5473792,5474118,5499938,5409238,5675816,5798253,6005398,6278912
 "45007","Anderson, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.531,86.108,88.998,90.629,90.180,92.834,93.787,96.395,88.805,94.137,99.994,100.000,100.472,98.815,103.685,105.921,109.705,114.702
 "45007","Anderson, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3825095,3892429,4049052,4181807,4253023,4507179,4670827,4867139,4710202,4978061,5334341,5474118,5629925,5657167,6129030,6351543,6647625,7093200
 "45009","Bamberg, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",341086,346470,365368,339762,341732,354214,354770,346083,339779,354412,368018,313152,316074,323383,304064,307420,309752,308519
 "45009","Bamberg, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",108.920,110.640,116.674,108.498,109.127,113.113,113.290,110.516,108.503,113.176,117.521,100.000,100.933,103.267,97.098,98.170,98.914,98.521
 "45009","Bamberg, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",267432,275846,295269,282033,289499,308850,319548,317367,323381,339482,359010,313152,326711,342629,329990,339702,346989,354546
 "45011","Barnwell, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",586468,633478,719744,554445,561835,539182,570341,527515,481427,467873,472832,451592,442906,507036,553660,596836,589145,626073
 "45011","Barnwell, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",129.867,140.277,159.379,122.776,124.412,119.396,126.296,116.812,106.607,103.605,104.703,100.000,98.077,112.277,122.602,132.163,130.460,138.637
 "45011","Barnwell, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",484151,531099,606377,469084,487356,480794,520493,487891,462373,449608,460404,451592,456131,533910,604105,662975,658540,709055
 "45013","Beaufort, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5646643,5626141,5936976,6279362,6616147,6373130,6487449,6333093,5954019,5826630,5784043,5800953,6001069,6133374,6281508,6385554,6383085,6565845
 "45013","Beaufort, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.340,96.986,102.345,108.247,114.053,109.863,111.834,109.173,102.639,100.443,99.708,100.000,103.450,105.730,108.284,110.078,110.035,113.186
 "45013","Beaufort, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4257061,4372190,4732111,5160980,5636409,5631517,5938895,5912420,5670951,5608388,5660076,5800953,6129096,6409475,6746760,6993062,7117334,7494920
 "45015","Berkeley, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3405027,3624013,3767193,4003790,4270721,4629591,4950735,5104294,4877292,5000406,5091133,5448627,5543387,5659165,6132712,6502264,6694118,7034739
 "45015","Berkeley, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",62.493,66.512,69.140,73.483,78.382,84.968,90.862,93.680,89.514,91.774,93.439,100.000,101.739,103.864,112.555,119.338,122.859,129.110
 "45015","Berkeley, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2624379,2823192,2992537,3336576,3719162,4295554,4719984,4944456,4735317,4894016,5081485,5448627,5599269,5876952,6425909,6813754,7186527,7753631
 "45017","Calhoun, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",385094,393609,412049,485323,433435,514697,514556,492173,476745,521253,494576,408969,497095,551779,648096,684549,720265,732086
 "45017","Calhoun, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.162,96.244,100.753,118.670,105.982,125.852,125.818,120.345,116.572,127.455,120.932,100.000,121.548,134.919,158.471,167.384,176.117,179.008
 "45017","Calhoun, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",282936,295144,313753,377125,343091,419619,434000,431051,443826,485303,476183,408969,509730,583569,710887,765659,822716,857522
 "45019","Charleston, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",16177759,16741372,17759784,18621021,19751909,19999731,20745863,20506195,20203665,20902556,21958358,23166642,22952902,23792601,24632471,25685960,26734903,27580595
 "45019","Charleston, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",69.832,72.265,76.661,80.379,85.260,86.330,89.551,88.516,87.210,90.227,94.784,100.000,99.077,102.702,106.327,110.875,115.403,119.053
 "45019","Charleston, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",12411290,13156981,14254692,15356160,16808748,17602483,18867431,19008301,19233236,20097619,21433988,23166642,23502100,24923417,26495439,28118921,29770288,31412677
 "45021","Cherokee, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1643002,1502533,1595978,1675940,1662774,1723498,1754381,1826287,1689844,1733272,1666491,1638173,1570964,1586690,1653332,1712230,1720725,1926264
 "45021","Cherokee, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.295,91.720,97.424,102.305,101.502,105.209,107.094,111.483,103.154,105.805,101.729,100.000,95.897,96.857,100.925,104.521,105.039,117.586
 "45021","Cherokee, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1323072,1229926,1311428,1393090,1408307,1486792,1553776,1650245,1563882,1626099,1623855,1638173,1605764,1649749,1761370,1844858,1865968,2120978
 "45023","Chester, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",907107,909603,918973,932213,923451,951446,973219,963603,880878,920317,932720,854307,878820,878992,974521,984951,982849,1044555
 "45023","Chester, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",106.180,106.473,107.569,109.119,108.094,111.371,113.919,112.794,103.110,107.727,109.179,100.000,102.869,102.889,114.072,115.292,115.046,122.269
 "45023","Chester, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",734544,746562,757274,791245,812561,881448,923185,925526,823388,881735,921682,854307,899711,922899,1044048,1067020,1089040,1194010
 "45025","Chesterfield, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1178921,1198133,1213320,1208559,1158189,1176080,1188844,1214126,1082624,1057692,1106914,1172781,1283007,1332770,1406135,1402802,1397305,1438869
 "45025","Chesterfield, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.524,102.162,103.457,103.051,98.756,100.281,101.370,103.525,92.313,90.187,94.384,100.000,109.399,113.642,119.897,119.613,119.145,122.689
 "45025","Chesterfield, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",932721,957642,975833,998174,980167,1021252,1064607,1116241,1053982,1021031,1078091,1172781,1304387,1369583,1489273,1510626,1511487,1596558
 "45027","Clarendon, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",573265,562018,601220,624571,611916,673122,669871,616076,584684,583958,576562,579249,593974,557495,550313,549389,554610,551261
 "45027","Clarendon, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",98.967,97.025,103.793,107.824,105.640,116.206,115.645,106.358,100.938,100.813,99.536,100.000,102.542,96.244,95.005,94.845,95.746,95.168
 "45027","Clarendon, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",453508,452380,493228,527845,524772,590737,611153,570164,551134,557774,563135,579249,609704,582995,590993,599422,616158,625922
