GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "46003","Aurora, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",90194,89582,113868,97575,72588,54774,96031,118401,126513,120449,140827,106307,147107,146799,136377,124408,141728,150342
 "46003","Aurora, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.843,84.267,107.112,91.786,68.282,51.525,90.334,111.376,119.008,113.304,132.472,100.000,138.379,138.090,128.287,117.027,133.319,141.423
 "46003","Aurora, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",64475,63806,85678,80782,56923,43966,83345,104156,98215,101047,136959,106307,150926,144316,123924,107176,128303,135735
 "46005","Beadle, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",587698,610718,637178,633896,637740,604594,691181,754027,751775,753641,865136,774371,800164,811722,896205,875996,862555,951722
 "46005","Beadle, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.894,78.866,82.283,81.859,82.356,78.076,89.257,97.373,97.082,97.323,111.721,100.000,103.331,104.823,115.733,113.124,111.388,122.903
 "46005","Beadle, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",449782,473322,505803,526662,528560,512810,616965,685876,672540,690714,838268,774371,819523,833212,920669,903613,902206,1008786
 "46007","Bennett, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",70844,59224,90875,71093,85820,70600,70848,72233,74887,71675,74512,89346,63260,73964,79871,71759,67769,68067
 "46007","Bennett, SD",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.291,66.286,101.711,79.570,96.053,79.019,79.296,80.847,83.817,80.222,83.397,100.000,70.803,82.784,89.396,80.316,75.849,76.183
 "46007","Bennett, SD",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",55171,46672,74027,60916,72203,60291,65372,67772,67533,66733,72711,89346,65028,76552,80719,71711,69114,71108
 "46009","Bon Homme, SD",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",194223,185151,256224,257266,184496,192357,187325,189458,221755,230011,230451,227344,220677,215276,241606,202297,212897,242541
