GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "47001","Anderson, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3675605,3894392,3945758,3988112,4017939,4071438,3996890,4045962,4003753,4186335,4323667,4220015,4139461,4251611,4136021,4196854,4267297,4244637
 "47001","Anderson, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.099,92.284,93.501,94.505,95.212,96.479,94.713,95.876,94.875,99.202,102.456,100.000,98.091,100.749,98.010,99.451,101.120,100.583
 "47001","Anderson, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3073169,3299688,3376879,3463802,3571452,3678367,3683178,3768545,3902431,4041413,4209675,4220015,4236695,4426676,4466119,4608598,4713572,4770850
 "47003","Bedford, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1099216,1148518,1253072,1393156,1488020,1630319,1627882,1556899,1399294,1500699,1528437,1584360,1677101,1686035,1646389,1630862,1567526,1609446
 "47003","Bedford, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",69.379,72.491,79.090,87.932,93.919,102.901,102.747,98.267,88.319,94.720,96.470,100.000,105.853,106.417,103.915,102.935,98.937,101.583
 "47003","Bedford, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",924591,981722,1076551,1202874,1298515,1431448,1449289,1413017,1347846,1442740,1473519,1584360,1715066,1765212,1800721,1816598,1755437,1824402
 "47005","Benton, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",319194,322197,308461,322825,309684,320144,324821,321435,309472,317922,316348,321344,316813,313649,317344,317442,320424,333275
 "47005","Benton, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.331,100.265,95.991,100.461,96.372,99.627,101.082,100.028,96.306,98.935,98.445,100.000,98.590,97.605,98.755,98.786,99.714,103.713
 "47005","Benton, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",239119,246820,240841,262310,261082,279376,291831,295806,291682,303186,307979,321344,325289,330393,343591,350450,361170,386699
 "47007","Bledsoe, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",202656,198761,187892,182217,181425,183442,185842,182181,174398,184369,185312,181822,184577,196318,203380,187746,196852,210355
 "47007","Bledsoe, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",111.459,109.317,103.339,100.218,99.782,100.891,102.211,100.198,95.917,101.401,101.920,100.000,101.515,107.973,111.857,103.258,108.266,115.693
 "47007","Bledsoe, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",156945,154728,150255,151366,153023,159050,166929,167158,164228,175982,181135,181822,189782,203784,209785,193410,206725,224732
 "47009","Blount, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3322200,3462315,3611424,3834544,3977456,4222587,3976281,3996135,3695597,3740279,4001978,4244939,4367991,4396081,4519834,4590446,4665580,4809024
