GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48001","Anderson, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1528937,1543291,1522332,1489874,1484361,1649926,1771590,1768734,1706273,1751815,1764938,1766492,1743900,1759074,1733371,1761038,1757163,1821668
 "48001","Anderson, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.552,87.365,86.178,84.341,84.029,93.401,100.289,100.127,96.591,99.169,99.912,100.000,98.721,99.580,98.125,99.691,99.472,103.123
 "48001","Anderson, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1105982,1115779,1171895,1204650,1282407,1474342,1649998,1757947,1600768,1694297,1745885,1766492,1787864,1833629,1796858,1837629,1869444,1988266
 "48003","Andrews, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2021259,2666680,1918107,1924672,2003216,2495268,2722151,2661679,3307495,3201685,3687088,4898633,4635426,4496818,4618403,4588979,5030447,5355273
 "48003","Andrews, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",41.262,54.437,39.156,39.290,40.893,50.938,55.570,54.335,67.519,65.359,75.268,100.000,94.627,91.797,94.279,93.679,102.691,109.322
 "48003","Andrews, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1054678,1177147,1250814,1483294,2041161,2581409,2991622,3885694,2587337,3272867,4265423,4898633,4956845,4672646,2561555,2249410,3051432,3861784
 "48005","Angelina, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2491500,2492971,2522898,2603038,2593299,2776363,2919821,3043169,3035477,3077357,3204066,3285473,3233400,3238277,3203803,3140971,3228257,3395257
 "48005","Angelina, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.834,75.879,76.789,79.229,78.932,84.504,88.871,92.625,92.391,93.666,97.522,100.000,98.415,98.563,97.514,95.602,98.259,103.341
 "48005","Angelina, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2015834,2049442,2105561,2240105,2299162,2530482,2727469,2923200,2857068,2967673,3140736,3285473,3318220,3393049,3401598,3377113,3526641,3815116
 "48007","Aransas, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",491266,510133,532453,520348,509954,597405,656985,606155,594442,570085,579214,602995,609604,654383,662999,634775,606525,607950
 "48007","Aransas, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.471,84.600,88.301,86.294,84.570,99.073,108.954,100.524,98.581,94.542,96.056,100.000,101.096,108.522,109.951,105.270,100.585,100.822
 "48007","Aransas, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",346105,359738,407122,421467,446209,540644,619340,626774,542808,546762,571513,602995,626370,684699,664417,641364,629456,648970
 "48009","Archer, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",239548,272826,245372,256003,243887,300685,299192,297587,313761,316522,334446,376316,395753,404453,368951,343639,351437,370542
 "48009","Archer, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",63.656,72.499,65.204,68.029,64.809,79.902,79.506,79.079,83.377,84.111,88.874,100.000,105.165,107.477,98.043,91.317,93.389,98.466
 "48009","Archer, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",165052,178223,186398,214455,224667,285145,299015,342947,274512,311359,351442,376316,411885,418738,314935,282846,307625,341982
 "48011","Armstrong, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",49980,59852,61083,63799,66416,73783,72822,53852,41500,54799,41225,40065,54518,52663,55922,48598,51314,53869
 "48011","Armstrong, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",124.748,149.389,152.462,159.240,165.772,184.161,181.761,134.413,103.584,136.777,102.896,100.000,136.075,131.444,139.580,121.299,128.079,134.455
