GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49001","Beaver, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",279097,242465,235409,308955,339519,239263,251591,243788,300460,328547,276163,294865,341364,385711,311156,326990,350722,383147
 "49001","Beaver, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.652,82.229,79.836,104.778,115.144,81.143,85.324,82.678,101.898,111.423,93.658,100.000,115.770,130.810,105.525,110.895,118.943,129.940
 "49001","Beaver, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",194985,166471,169461,240917,253723,183998,207453,208454,256158,294820,271398,294865,344696,387787,307801,321629,354864,394906
 "49003","Box Elder, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1623570,1696839,1614311,1672945,1802939,2099028,2180410,2183061,2440617,2503088,2288616,1797164,1887246,1873576,1972078,2160232,2278797,2354625
 "49003","Box Elder, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.341,94.418,89.825,93.088,100.321,116.797,121.325,121.473,135.804,139.280,127.346,100.000,105.012,104.252,109.733,120.202,126.800,131.019
 "49003","Box Elder, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1343981,1412469,1369041,1467545,1603111,1925940,2069621,2093241,2221332,2402692,2284483,1797164,1897598,1921209,2064565,2280911,2441212,2553157
 "49005","Cache, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2675913,2699695,2870132,3001264,2994068,3231929,3432033,3641527,3759686,4020869,4143135,3945602,3979832,4079806,4176807,4369448,4647373,4782815
 "49005","Cache, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",67.820,68.423,72.743,76.066,75.884,81.912,86.984,92.293,95.288,101.908,105.006,100.000,100.868,103.401,105.860,110.742,117.786,121.219
 "49005","Cache, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2138052,2200546,2375667,2536459,2586132,2861407,3113575,3356015,3591341,3847665,4026167,3945602,4064184,4241289,4459332,4758607,5118907,5353406
 "49007","Carbon, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1138004,1126156,1102787,1074256,1115285,1222923,1271492,1301236,1233966,1191063,1195865,1088161,1052363,1091965,1013939,963920,976785,1000015
 "49007","Carbon, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.580,103.492,101.344,98.722,102.493,112.384,116.848,119.581,113.399,109.456,109.898,100.000,96.710,100.350,93.179,88.583,89.765,91.900
 "49007","Carbon, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",677906,670008,712756,749028,877525,1018584,1110170,1266575,1090639,1126721,1199198,1088161,1059437,1110274,981943,933657,986804,1042734
