GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "51001","Accomack, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1963994,1779327,1755009,1739807,1748287,1859236,1787018,1826234,2297000,2465635,2441555,2461080,2532489,2509782,2623569,2592466,2671816,2794309
 "51001","Accomack, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.802,72.299,71.311,70.693,71.037,75.546,72.611,74.205,93.333,100.185,99.207,100.000,102.902,101.979,106.602,105.339,108.563,113.540
 "51001","Accomack, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1477807,1394599,1389206,1392904,1411109,1508488,1507724,1605892,2161612,2336606,2312807,2461080,2580667,2634741,2848418,2901821,2949144,3041457
 "51007","Amelia, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",245246,219832,239436,234828,249950,284186,285099,272796,275248,307742,293363,305213,327034,345315,352318,348872,352723,362153
 "51007","Amelia, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.352,72.026,78.449,76.939,81.893,93.111,93.410,89.379,90.182,100.829,96.118,100.000,107.149,113.139,115.434,114.304,115.566,118.656
 "51007","Amelia, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",172282,156735,175307,180948,200598,237469,247151,240173,243168,279745,285680,305213,336026,353198,351556,341488,355646,369169
 "51009","Amherst, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",758127,767126,784564,773500,791462,853618,864415,844104,833771,821957,796685,796303,813957,800840,813986,799299,776604,782954
 "51009","Amherst, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.206,96.336,98.526,97.136,99.392,107.198,108.553,106.003,104.705,103.222,100.048,100.000,102.217,100.570,102.221,100.376,97.526,98.324
 "51009","Amherst, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",589655,607966,629555,636898,673062,755250,787594,784870,797157,791711,778152,796303,836607,840471,877202,872720,861569,887197
 "51011","Appomattox, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",303604,296465,307742,303063,309915,330176,322243,306989,298049,288550,284359,271406,274751,272892,275525,276581,279439,286994
