GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50001","Addison, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1112953,1152389,1220107,1284489,1304633,1342274,1307157,1352874,1324998,1398498,1450906,1516780,1362942,1353501,1380115,1472455,1516687,1519836
 "50001","Addison, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.376,75.976,80.441,84.685,86.013,88.495,86.180,89.194,87.356,92.202,95.657,100.000,89.858,89.235,90.990,97.078,99.994,100.202
 "50001","Addison, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",901055,942156,1014541,1098651,1128967,1182418,1196838,1255817,1242869,1326858,1416746,1516780,1391110,1397960,1435696,1542148,1619572,1649080
 "50003","Bennington, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1479174,1489195,1456752,1516428,1518188,1553155,1571966,1573396,1480734,1527536,1534132,1521811,1517424,1470396,1467579,1484291,1485393,1523183
 "50003","Bennington, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",97.198,97.857,95.725,99.646,99.762,102.060,103.296,103.390,97.301,100.376,100.810,100.000,99.712,96.621,96.436,97.535,97.607,100.090
 "50003","Bennington, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1191767,1223831,1215076,1289927,1324421,1391462,1447874,1470272,1423384,1472603,1496533,1521811,1550308,1531023,1572251,1619161,1643150,1716444
 "50005","Caledonia, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",888322,889544,908574,946139,946800,983891,1027609,1019616,991874,1043164,1054514,1055440,1041936,1014897,999109,1023885,1013422,1024166
 "50005","Caledonia, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.166,84.282,86.085,89.644,89.707,93.221,97.363,96.606,93.977,98.837,99.912,100.000,98.721,96.159,94.663,97.010,96.019,97.037
 "50005","Caledonia, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",689160,701055,731803,783380,808882,868635,935838,944771,949735,1004560,1032721,1055440,1068071,1065007,1071797,1111855,1120897,1157675
 "50007","Chittenden, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7458887,7637001,8184873,8723743,8830012,8911094,8619590,9198818,9210466,9742178,9996345,10182392,9863894,9871306,10037015,10219292,10255569,10465797
