GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53001","Adams, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",499240,635216,628665,615243,697832,764993,920766,911710,876597,876347,854640,862079,839378,847124,927096,880151,925453,925815
 "53001","Adams, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",57.911,73.684,72.924,71.367,80.948,88.738,106.808,105.757,101.684,101.655,99.137,100.000,97.367,98.265,107.542,102.096,107.351,107.393
 "53001","Adams, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",349662,445957,461399,482994,531069,583992,792611,801829,719762,760898,827112,862079,860975,860418,907086,833500,903070,904604
 "53003","Asotin, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",448798,467654,475249,476334,502375,547294,554428,547237,531457,567391,561772,565974,585043,574892,603609,614641,650999,682975
 "53003","Asotin, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.297,82.628,83.970,84.162,88.763,96.700,97.960,96.689,93.901,100.250,99.258,100.000,103.369,101.576,106.650,108.599,115.023,120.673
 "53003","Asotin, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",341158,363070,379531,396523,428172,480801,505742,507449,505336,543831,548633,565974,599319,601814,647950,671817,723917,774737
 "53005","Benton, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7071358,7649311,7547131,7700220,8140970,8407761,8494599,8514004,9020505,10092778,9829444,9383137,9079223,9110131,9610089,9964735,10163070,10378129
 "53005","Benton, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.362,81.522,80.433,82.064,86.762,89.605,90.530,90.737,96.135,107.563,104.756,100.000,96.761,97.090,102.419,106.198,108.312,110.604
 "53005","Benton, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5362383,5905569,6001953,6338673,6796327,7198722,7675159,7859499,8467275,9623938,9618843,9383137,9288213,9510633,10201853,10692413,11126784,11588677
 "53007","Chelan, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2902263,3098932,3100639,3109893,2983200,3287780,3330319,3313846,3298284,3340226,3576046,3637068,3615206,3662434,3826394,3939113,4114511,4177800
 "53007","Chelan, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.797,85.204,85.251,85.506,82.022,90.396,91.566,91.113,90.685,91.838,98.322,100.000,99.399,100.697,105.205,108.305,113.127,114.867
 "53007","Chelan, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2220359,2405495,2473244,2579583,2548329,2925022,3059114,3094041,3138532,3225121,3523152,3637068,3694707,3842331,4075927,4224422,4506580,4676439
 "53009","Clallam, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1771280,1824038,1890450,1923067,2020286,2166787,2251671,2214625,2141679,2170851,2192336,2218468,2257736,2249025,2234974,2230301,2296722,2375614
 "53009","Clallam, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.842,82.221,85.214,86.684,91.067,97.670,101.497,99.827,96.539,97.854,98.822,100.000,101.770,101.377,100.744,100.533,103.527,107.084
 "53009","Clallam, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1351069,1427635,1515091,1595852,1731529,1921070,2061277,2065781,2041521,2094430,2140315,2218468,2325838,2380894,2432251,2474625,2595089,2750694
 "53011","Clark, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",10909599,11014582,11616768,12283442,13371712,13878371,14389366,14722406,13996255,14131550,14172159,14591600,15074094,15589272,15927492,16499639,17438856,18366219
 "53011","Clark, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",74.766,75.486,79.613,84.182,91.640,95.112,98.614,100.896,95.920,96.847,97.125,100.000,103.307,106.837,109.155,113.076,119.513,125.868
