GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "55001","Adams, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",431898,502663,490785,461897,505835,543904,491360,471025,533831,495385,463396,461533,439540,413423,436036,414439,435705,448796
 "55001","Adams, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.579,108.912,106.338,100.079,109.599,117.847,106.463,102.057,115.665,107.335,100.404,100.000,95.235,89.576,94.476,89.796,94.404,97.240
 "55001","Adams, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",324332,380050,385498,381089,421221,465264,449153,439256,500445,473450,453700,461533,451371,432856,464429,445637,479348,503515
 "55003","Ashland, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",602930,598273,621200,652074,673258,685440,689708,692454,681627,664786,679113,692148,679579,655672,649921,669180,682143,679351
 "55003","Ashland, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.110,86.437,89.750,94.210,97.271,99.031,99.647,100.044,98.480,96.047,98.117,100.000,98.184,94.730,93.899,96.682,98.554,98.151
 "55003","Ashland, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",468531,475529,506383,550283,583857,611433,633300,644406,653183,641830,662982,692148,701054,695106,705880,738103,765488,780667
 "55005","Barron, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1613623,1580058,1612724,1636886,1625488,1689132,1713317,1629717,1725488,1707038,1771423,1802778,1799972,1895018,2003191,1784670,1861128,1993162
 "55005","Barron, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.508,87.646,89.458,90.798,90.166,93.696,95.038,90.400,95.713,94.689,98.261,100.000,99.844,105.117,111.117,98.996,103.237,110.561
 "55005","Barron, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1259750,1258386,1304480,1356967,1376193,1462424,1535375,1490458,1633066,1630599,1715308,1802778,1844966,1976021,2112533,1906515,2014116,2197090
 "55007","Bayfield, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",331304,347653,348837,350928,347935,358166,346624,344767,354997,362895,368598,367871,363234,359373,360214,357846,364594,398994
 "55007","Bayfield, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.060,94.504,94.826,95.394,94.581,97.362,94.224,93.720,96.500,98.647,100.198,100.000,98.739,97.690,97.918,97.275,99.109,108.460
 "55007","Bayfield, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",253446,272382,279796,291406,298780,318994,319764,324176,339494,349560,360372,367871,372366,377094,386838,390818,406053,455147
 "55009","Brown, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",12534487,12790186,13233048,13642916,13977287,14249551,14338741,14205593,13841303,14379164,14601159,14966775,14699382,15603494,16049449,16375756,16432400,16864677
 "55009","Brown, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.749,85.457,88.416,91.155,93.389,95.208,95.804,94.914,92.480,96.074,97.557,100.000,98.213,104.254,107.234,109.414,109.793,112.681
 "55009","Brown, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",9839297,10197707,10706246,11301823,11896678,12512319,12948733,13081223,13238104,13853213,14263875,14966775,15019641,16226662,17050296,17621300,17888205,18750783
 "55011","Buffalo, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",616729,616822,635681,668298,643227,695365,728748,635454,692228,552328,535142,526831,531554,454851,464486,500613,478447,555108
 "55011","Buffalo, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",117.064,117.082,120.661,126.853,122.094,131.990,138.327,120.618,131.395,104.840,101.578,100.000,100.896,86.337,88.166,95.024,90.816,105.367
 "55011","Buffalo, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",480450,479259,513692,560915,555118,623774,675212,600906,673045,538402,529534,526831,546861,485946,504503,541875,528100,627377
 "55013","Burnett, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",387081,409823,399313,406100,399895,409820,414074,408907,413596,435869,454674,467514,462585,455362,449575,446329,449308,477629
 "55013","Burnett, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.796,87.660,85.412,86.864,85.536,87.659,88.569,87.464,88.467,93.231,97.254,100.000,98.946,97.401,96.163,95.468,96.106,102.163
 "55013","Burnett, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",294912,320468,317926,332852,338714,358712,373134,376430,394936,417394,442033,467514,475929,478767,487203,492720,501634,541993
 "55015","Calumet, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1007656,994505,1069484,1143786,1156397,1219886,1281676,1249840,1120605,1316574,1276721,1298659,1311094,1423256,1523785,1538272,1518032,1561000
 "55015","Calumet, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.592,76.579,82.353,88.074,89.045,93.934,98.692,96.241,86.289,101.379,98.311,100.000,100.958,109.594,117.335,118.451,116.892,120.201
 "55015","Calumet, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",744186,747357,816461,915368,953487,1045566,1150212,1146997,1043927,1239074,1246791,1298659,1331624,1461081,1549249,1553104,1566131,1628827
 "55017","Chippewa, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1571020,1644847,1729957,1814504,1970272,2006425,2078950,1968486,1835419,2089118,2163604,2234623,2281260,2450751,2577837,2461840,2546733,2559488
 "55017","Chippewa, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",70.304,73.607,77.416,81.200,88.170,89.788,93.034,88.090,82.135,93.489,96.822,100.000,102.087,109.672,115.359,110.168,113.967,114.538
 "55017","Chippewa, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1391331,1461695,1537527,1629921,1776743,1818984,1911611,1821720,1743570,1986337,2111416,2234623,2331781,2535118,2697761,2589953,2717606,2776781
 "55019","Clark, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",875906,857642,886074,951770,936514,962734,1008660,1021901,944703,1030030,1073619,1136729,1158629,1282242,1293830,1362347,1394252,1337916
 "55019","Clark, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.055,75.448,77.949,83.729,82.387,84.693,88.734,89.898,83.107,90.614,94.448,100.000,101.927,112.801,113.821,119.848,122.655,117.699
 "55019","Clark, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",654699,649665,687161,766405,760035,797790,877531,909013,852676,946867,1039233,1136729,1191357,1315680,1299062,1341687,1408762,1362729
 "55021","Columbia, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1955373,1980114,2108513,2227302,2246454,2339140,2407701,2368837,2262877,2416417,2520863,2524432,2635115,2478031,2474633,2526365,2699274,2785286
 "55021","Columbia, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.458,78.438,83.524,88.230,88.989,92.660,95.376,93.836,89.639,95.721,99.859,100.000,104.384,98.162,98.027,100.077,106.926,110.333
 "55021","Columbia, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1498994,1530207,1664498,1802001,1877280,2041593,2160905,2163520,2160452,2313222,2477755,2524432,2692992,2596914,2643899,2709225,2950522,3126647
 "55023","Crawford, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",495816,514389,542267,577035,607461,623069,615940,595923,597825,612774,640026,636406,648350,643925,661146,672550,668927,694502
 "55023","Crawford, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.909,80.827,85.208,90.671,95.452,97.904,96.784,93.639,93.938,96.287,100.569,100.000,101.877,101.181,103.888,105.679,105.110,109.129
 "55023","Crawford, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",395022,417589,446286,491491,528415,560921,568906,553864,569668,586922,621108,636406,667944,675211,711682,735615,742151,787074
 "55025","Dane, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",26016087,26791694,27612895,28752096,30092066,30009489,30691509,30339345,30272961,31232090,32344639,33631268,34403400,36885090,38545541,40005328,40271291,41137645
 "55025","Dane, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.357,79.663,82.105,85.492,89.476,89.231,91.259,90.212,90.014,92.866,96.174,100.000,102.296,109.675,114.612,118.953,119.744,122.320
 "55025","Dane, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",20644738,21684839,22762206,24345584,26114901,26733180,28107401,28214532,28891507,30079390,31650175,33631268,35129022,38345868,40871427,42953775,43655583,45531350
 "55027","Dodge, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2853204,2794398,2893952,2965923,3012150,3100577,3260346,3214712,3045158,3199222,3316011,3422323,3397377,3393914,3280737,3125078,3232668,3279690
 "55027","Dodge, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",83.370,81.652,84.561,86.664,88.015,90.599,95.267,93.934,88.979,93.481,96.894,100.000,99.271,99.170,95.863,91.315,94.458,95.832
 "55027","Dodge, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2223705,2213235,2327427,2450204,2548110,2687000,2940203,2954954,2917882,3062010,3225561,3422323,3477247,3548157,3530654,3425824,3577482,3686317
 "55029","Door, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1016806,1014521,1056091,1112380,1161683,1464372,1065082,1107023,1041385,1085167,1123690,1145215,1133382,1123888,1135863,1144774,1152538,1176247
 "55029","Door, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.787,88.588,92.218,97.133,101.438,127.869,93.003,96.665,90.934,94.757,98.120,100.000,98.967,98.138,99.183,99.961,100.639,102.710
