GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "54001","Barbour, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",252499,259916,275906,265717,267536,294716,315615,334396,342277,343051,338660,347505,348952,374812,386089,370812,392656,388785
 "54001","Barbour, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.661,74.795,79.396,76.464,76.988,84.809,90.823,96.228,98.496,98.718,97.455,100.000,100.416,107.858,111.103,106.707,112.993,111.879
 "54001","Barbour, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",166569,175627,193611,195571,209251,241874,270960,308876,309479,325888,335750,347505,351578,381060,349503,333372,374691,386747
 "54003","Berkeley, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2204728,2285264,2404871,2522631,2654450,2704804,2820752,2872795,2839802,2766718,2813254,2887015,2833472,2773163,2776287,2826002,3026375,3093871
 "54003","Berkeley, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.367,79.157,83.300,87.379,91.944,93.689,97.705,99.507,98.365,95.833,97.445,100.000,98.145,96.056,96.165,97.887,104.827,107.165
 "54003","Berkeley, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1695789,1798633,1933383,2081768,2265394,2395120,2573011,2671683,2713616,2665203,2755175,2887015,2888941,2885000,2960716,3062574,3332777,3488914
 "54005","Boone, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1936038,1859788,1860574,1799419,1838152,1825830,1968987,1862087,1774533,1663354,1689957,1311270,1232982,1090492,863515,676301,660137,663228
 "54005","Boone, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",147.646,141.831,141.891,137.227,140.181,139.241,150.159,142.006,135.329,126.851,128.879,100.000,94.030,83.163,65.853,51.576,50.343,50.579
 "54005","Boone, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",792223,796659,832369,912326,1106580,1248372,1449625,1538013,1527781,1548772,1696078,1311270,1177649,1028796,778015,607384,623993,643362
 "54007","Braxton, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",269375,277166,277677,284613,295304,301626,297837,293535,285456,300674,295306,301134,291248,284446,294995,287681,280564,280470
 "54007","Braxton, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.453,92.041,92.210,94.514,98.064,100.163,98.905,97.476,94.794,99.847,98.064,100.000,96.717,94.458,97.961,95.533,93.169,93.138
 "54007","Braxton, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",205680,215002,222668,240616,259750,272670,275337,279045,270604,290334,288666,301134,300536,301247,314451,310553,308621,317025
 "54009","Brooke, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1079509,1135456,1129368,1113094,1042197,941019,930397,1231571,1173019,1076804,984644,856879,921627,1012500,864081,804058,859569,860118
 "54009","Brooke, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",125.981,132.511,131.800,129.901,121.627,109.819,108.580,143.727,136.894,125.666,114.911,100.000,107.556,118.161,100.840,93.836,100.314,100.378
 "54009","Brooke, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",609716,637758,665928,700209,728328,700387,722369,957939,854586,863674,934794,856879,901945,980310,804449,727664,817072,876818
 "54011","Cabell, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3829269,3898804,3905733,4043305,4167710,4168917,4222794,4272113,4220946,4199654,4264007,4452270,4431605,4352854,4342630,4338473,4298920,4388563
 "54011","Cabell, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",86.007,87.569,87.725,90.814,93.609,93.636,94.846,95.954,94.804,94.326,95.772,100.000,99.536,97.767,97.537,97.444,96.556,98.569
 "54011","Cabell, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2939986,3057112,3118678,3337879,3558562,3703770,3872326,3996613,4007760,4045117,4184631,4452270,4492097,4504789,4567721,4625479,4675771,4891674
 "54013","Calhoun, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",118994,121731,128210,127391,115380,124107,129123,131456,136906,139629,142295,153018,139052,136370,119625,112183,115385,117746
 "54013","Calhoun, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.764,79.553,83.787,83.252,75.403,81.106,84.384,85.909,89.470,91.250,92.992,100.000,90.873,89.120,78.177,73.313,75.406,76.949
 "54013","Calhoun, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",85158,87898,97529,101367,98647,110758,120334,130466,125158,133891,141287,153018,143949,144497,120136,113553,121864,129277
 "54015","Clay, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",328642,326515,308111,300587,299211,305545,326190,301525,285753,244779,266823,191944,147430,128044,126967,118219,114741,108654
 "54015","Clay, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",171.218,170.110,160.521,156.601,155.885,159.185,169.940,157.090,148.873,127.526,139.011,100.000,76.809,66.709,66.148,61.590,59.778,56.607
 "54015","Clay, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",167426,172218,169230,180650,203546,228042,258892,261621,252527,230298,266117,191944,148995,131739,128308,120701,120394,118189
 "54017","Doddridge, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",95539,97335,97388,99748,107192,117575,121223,118817,127267,133906,159252,210352,325277,776715,1273491,1237007,1475859,1360515
 "54017","Doddridge, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",45.419,46.273,46.298,47.420,50.959,55.895,57.629,56.485,60.502,63.658,75.707,100.000,154.635,369.246,605.411,588.067,701.615,646.781
