GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "56001","Albany, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1090869,1143931,1169728,1172739,1139210,1167088,1250957,1308817,1323914,1332438,1385510,1375626,1410991,1434069,1471859,1459455,1501425,1411472
 "56001","Albany, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.300,83.157,85.032,85.251,82.814,84.840,90.937,95.143,96.241,96.860,100.719,100.000,102.571,104.248,106.996,106.094,109.145,102.606
 "56001","Albany, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",819763,881244,923701,959683,963074,1023775,1137873,1216409,1257226,1281295,1353747,1375626,1451316,1508019,1579160,1581895,1660050,1597901
 "56003","Big Horn, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",525168,503167,511945,499913,488424,582307,513862,524018,510768,513000,534615,504155,543222,540655,534607,481940,496806,504665
 "56003","Big Horn, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.168,99.804,101.545,99.159,96.880,115.502,101.925,103.940,101.312,101.754,106.042,100.000,107.749,107.240,106.040,95.594,98.542,100.101
 "56003","Big Horn, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",314470,305105,326261,341946,371648,471797,440958,493406,452123,484399,536041,504155,543793,539784,506056,455583,492159,514512
 "56005","Campbell, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",6090121,6155024,6476792,6319011,6575501,7616166,8139764,8055477,7892041,7841956,7906966,7114574,7211833,6409043,6385320,6315849,6372783,6204761
 "56005","Campbell, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.601,86.513,91.036,88.818,92.423,107.050,114.410,113.225,110.928,110.224,111.138,100.000,101.367,90.083,89.750,88.773,89.574,87.212
 "56005","Campbell, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2885940,2958885,3365603,3650640,4471547,5698359,6479294,7200981,6808561,7301941,7930529,7114574,7061347,6258026,5732935,5573876,6002167,6042255
 "56007","Carbon, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",902090,948096,1006348,1098296,1109431,1342641,1867811,2485558,1575892,1427699,1296180,1365092,1183724,1201220,1530781,1290475,1319996,1324296
 "56007","Carbon, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",66.083,69.453,73.720,80.456,81.272,98.355,136.827,182.080,115.442,104.586,94.952,100.000,86.714,87.996,112.138,94.534,96.696,97.011
 "56007","Carbon, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",493347,500443,600578,716021,855142,1095876,1622279,2243649,1096395,1156380,1257949,1365092,1141360,1142353,1310379,974245,1114472,1270837
 "56009","Converse, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",787038,793855,817077,798663,807223,865788,943686,983129,1033023,1062292,1150646,1171734,1234888,1270277,1357388,1318663,1291753,1502510
 "56009","Converse, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",67.169,67.750,69.732,68.161,68.891,73.889,80.538,83.904,88.162,90.660,98.200,100.000,105.390,108.410,115.844,112.539,110.243,128.230
 "56009","Converse, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",442651,448394,492312,523140,589251,684110,788508,896451,921710,1009576,1163105,1171734,1227041,1262533,1143496,1082517,1150626,1430030
 "56011","Crook, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",193986,248143,222236,216654,262509,260233,266280,262704,282669,269136,267877,284411,285224,293890,284537,262476,267750,307546
