GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1575306,1798953,1984124,2166758,2507651,3042645,4156808,4893293,5081877,5235885,5546800,6285047,7152287,8733371,9513455,10120618,10965793,11065577,10618140,11067575,12110504,12843337,13405073,14270677,15007304,15513140,15955835,16403012,17276624,18114454,18675678,20078665,21240393,22246533,23239634,24338346,25956877,27726673,29838859,32825068,32896441,35293829,37827809,39169240,38859491,41110401,42469900,41536204,42015275,43818200
 "02000","Alaska",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1574055,1797104,1982542,2164798,2505940,3040682,4153051,4889502,5077419,5230902,5543431,6281776,7150422,8730957,9511095,10118473,10964133,11059091,10608878,11057072,12105091,12835247,13396393,14261960,14996341,15501129,15942846,16389658,17261009,18097809,18657156,20058309,21220830,22227455,23228336,24324240,25943341,27717127,29830256,32825458,32892186,35289108,37823776,39159882,38851657,41100982,42459986,41523113,42006958,43809828
 "02000","Alaska",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",1251,1849,1582,1960,1711,1963,3757,3791,4458,4983,3369,3271,1865,2414,2360,2145,1660,6486,9262,10503,5413,8090,8680,8717,10963,12011,12989,13354,15615,16645,18522,20356,19563,19078,11298,14106,13536,9546,8603,-390,4255,4721,4033,9358,7834,9419,9914,13091,8317,8372
 "02000","Alaska",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713906,722038,730399,737045,736307,737547,741504,739786,737438
 "02000","Alaska",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",5322,5911,6269,6636,7525,8827,11205,12447,12789,13018,13745,15507,17091,19424,19478,19701,20593,20331,19688,20420,22133,23213,23510,24240,25036,25713,26399,26953,28185,29220,29892,31974,33517,34634,35841,36916,38919,41058,43861,47749,47069,49438,52390,53627,52723,55833,57583,56016,56794,59420
 "02000","Alaska",8,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",1435630,1623536,1787335,1957403,2160731,2864653,4431653,5493765,5083939,4969107,5186469,5860473,6776533,7844140,8774150,9286620,9769034,9603435,9040303,9453672,10318104,10935820,11457965,12119033,12568767,12889246,13080430,13289883,13885401,14527361,14882097,15867110,17029542,18022950,18952128,19930391,21160964,22329761,23393286,24430398,25470709,26980117,28474981,29655705,29872701,30607578,31457952,30356870,30449531,31611692
 "02000","Alaska",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",93668,105479,118327,134133,165446,240732,407514,526293,463244,435197,468145,511068,652684,766421,851555,952299,975994,924670,871201,948591,1047868,1169485,1238602,1306942,1387479,1441874,1454640,1458553,1504896,1548437,1569942,1644198,1737867,1827564,1891380,2015222,2156197,2362647,2461784,2543244,2587043,2676798,2545526,2697695,3119794,3115826,3156331,3053942,3073246,3144976
 "02000","Alaska",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",36855,40636,44239,49230,61693,90597,150426,188757,167666,159481,174149,190637,245365,286435,329459,356493,388438,387594,368967,411502,467397,528641,564913,583672,616827,647349,664616,673132,704827,732080,745525,783746,840321,885319,919379,976311,1039153,1146409,1214233,1263406,1284901,1338543,1101091,1146434,1514874,1548114,1584132,1545084,1570877,1637130
 "02000","Alaska",8,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",56813,64843,74088,84903,103753,150135,257088,337536,295578,275716,293996,320431,407319,479986,522096,595806,587556,537076,502234,537089,580471,640844,673689,723270,770652,794525,790024,785421,800069,816357,824417,860452,897546,942245,972001,1038911,1117044,1216238,1247551,1279838,1302142,1338255,1444435,1551261,1604920,1567712,1572199,1508858,1502369,1507846
 "02000","Alaska",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-25226,-45915,-59927,-75021,-92863,-208861,-609898,-879212,-451679,-323956,-273610,-328786,-457079,-547879,-606305,-620216,-616109,-561190,-525698,-552117,-618287,-624656,-668795,-705311,-726172,-741438,-745763,-769077,-776901,-822099,-826793,-877709,-862962,-791627,-700011,-607712,-512611,-419820,-307912,-173320,-178715,-179836,-194345,-205430,-206239,-219749,-223127,-194048,-181373,-190488
