GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "01000","Alabama",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28151411,31037123,34465512,36396094,38970502,42870184,46098732,48790314,51651951,55558831,60395710,64239770,67929940,73039777,76398045,80848446,85473600,89349999,93981379,99953288,103453058,108355099,112154930,115191809,120211076,128739879,136327338,145175833,152327005,157366824,155145273,161516561,167942757,172804075,174415510,180457769,187544435,190814674,197283188,206455011
 "01000","Alabama",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",9459755,10379785,11422233,12653124,14106584,15904101,17691331,19852140,22018877,24838304,27638121,30833367,33983560,35990082,38682111,42393626,45637243,48337206,51117522,54762844,59462131,63398791,66813931,72043580,75388616,79788572,84693943,88441339,93036422,98887416,102216471,107403368,110775194,114215661,118911607,126945274,134656859,144173048,151513916,156526679,154244266,160757421,167577167,172128881,172416913,179092745,186154647,190052912,196132324,205348259
 "01000","Alabama",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",277960,248533,277108,345974,532283,336954,408785,471916,376016,501618,513290,203756,481952,406012,288391,476558,461489,453108,534429,795987,933579,840979,1116009,996197,1009429,1059874,779657,908660,944957,1065872,1236587,951731,1379736,976148,1299469,1794605,1670479,1002785,813089,840145,901007,759140,365590,675194,1998597,1365024,1389788,761762,1150864,1106752
 "01000","Alabama",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
 "01000","Alabama",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7957,8796,9272,9906,10848,11604,12223,12864,13807,14986,15861,16572,17583,18129,18977,19892,20630,21516,22692,23352,24338,25104,25712,26693,28415,29832,31362,32598,33353,32608,33752,34997,35884,36107,37266,38644,39224,40467,42238
 "01000","Alabama",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",8112293,8628530,9403095,10496269,11861577,12960825,14045483,15977583,17715705,20164933,22203571,23708925,25812609,26629404,28581996,31634478,34180201,36335700,38826596,41972545,44619334,47432666,50105140,53808914,56263471,59265224,61719606,64433868,67511279,72164908,75429135,77978535,80308883,82646017,85908454,91565745,96828027,102222522,105563747,106215033,104184588,107048174,109802602,112660613,115977912,119106062,123106708,125188224,129509400,135019614
 "01000","Alabama",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",550477,590084,654716,765219,983117,1136054,1221733,1422114,1596131,1840176,2102819,2277099,2643783,2782701,3052643,3427427,3739449,3972444,4194481,4668481,4970123,5365690,5681030,6061549,6419065,6848877,7217259,7463783,7830286,8228142,8592883,8886335,9189154,9484439,9830517,10331771,10989414,11666988,12223556,12605992,12335562,12709922,11646384,11885060,13695815,14069496,14540394,14827317,15411627,16158054
 "01000","Alabama",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",278249,299197,324778,375810,481602,556428,600020,690110,773441,884508,1015058,1111903,1301190,1377735,1515205,1668423,1872955,1958336,2086193,2343608,2543296,2734802,2911923,3093937,3281705,3516155,3739291,3864234,4057820,4251133,4466173,4612784,4806639,4991778,5160995,5458247,5836209,6309884,6639797,6860464,6728491,6808192,5569397,5721495,7429798,7698340,7956195,8215399,8590128,9110320
 "01000","Alabama",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",272228,290887,329938,389409,501515,579626,621713,732004,822690,955668,1087761,1165196,1342593,1404966,1537438,1759004,1866494,2014108,2108288,2324873,2426827,2630888,2769107,2967612,3137360,3332722,3477968,3599549,3772466,3977009,4126710,4273551,4382515,4492661,4669522,4873524,5153205,5357104,5583759,5745528,5607071,5901730,6076987,6163565,6266017,6371156,6584199,6611918,6821499,7047734
 "01000","Alabama",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",130257,127158,132789,164858,183031,194172,200130,214008,245830,265809,291448,323603,420457,443982,435549,464684,473175,502457,513257,516601,538759,532273,562809,613579,664946,757849,839326,845239,948517,1064569,1131213,1256892,1315123,1374215,1454845,1488726,1554655,1610559,1725867,1834078,1803653,1887506,2033209,2293860,2377834,2367880,2310557,2417976,2388370,2514588
