GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "05000","Arkansas",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",5128531,5626520,6263108,7071222,8376080,9353548,10292084,11378923,12661751,14668793,16087967,17388327,19702622,20702260,21934843,24458419,25982324,27303655,28434832,30505873,32721188,34457542,36459059,39714351,41648441,44288614,47164713,50047865,52507955,55736104,57973395,60969882,64168146,65661550,69547372,74032960,78000339,83068247,88508301,91812120,90246011,93290459,99571455,106984715,107240690,113545501,117180599,120059514,124683752,130296677
 "05000","Arkansas",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",4785881,5214824,5859662,6593200,7467870,8526621,9504729,10747581,11946353,13503319,15103904,17027089,18862506,20069195,21525789,23584803,25127125,26507801,27510079,29172678,31496785,33425562,35347857,38300969,40330031,42839177,45699762,48141661,50712111,54154224,56183825,59282018,62174755,64403434,67151094,71274155,76138043,81568547,86623719,90233730,89332932,92650617,98887883,105893438,104765593,111557712,116062379,119241707,123299228,128982119
 "05000","Arkansas",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",342650,411696,403446,478022,908210,826927,787355,631342,715398,1165474,984063,361238,840116,633065,409054,873616,855199,795854,924753,1333195,1224403,1031980,1111202,1413382,1318410,1449437,1464951,1906204,1795844,1581880,1789570,1687864,1993391,1258116,2396278,2758805,1862296,1499700,1884582,1578390,913079,639842,683572,1091277,2475097,1987789,1118220,817807,1384524,1314558
 "05000","Arkansas",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
 "05000","Arkansas",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21222,21861,22762,23840,24266,25524,26924,28047,29438,31070,31940,31153,31927,33863,36240,36235,38260,39343,40148,41520,43233
 "05000","Arkansas",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",4120559,4440853,4910658,5604915,6686519,7300970,7732316,8631611,9693202,11379017,12314944,12646768,14043616,14288510,15236618,17306577,18299949,19338326,20528738,22263586,23477246,24803416,26368021,28994227,30450359,32533069,34304647,36182943,37887016,40410036,42655351,44708938,46778228,47829825,51019258,54284814,56136212,58335588,60613111,60786520,59375526,61175364,63550678,66962562,69617565,71350991,72091040,73206645,76160553,78622389
 "05000","Arkansas",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",278076,296095,340037,404704,524375,608524,638331,744772,847290,987347,1133719,1219986,1422240,1497994,1638329,1868653,2005443,2140765,2251236,2506564,2674759,2965450,3149236,3409381,3618934,3908221,4109682,4251486,4460136,4734010,4962063,5196040,5349797,5516718,5719222,6005233,6356559,6816870,7101504,7393152,7392654,7602978,7116123,7258357,8263279,8599565,8869029,8989212,9281968,9496325
 "05000","Arkansas",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",138455,147866,168593,197254,253428,293346,309728,348680,394404,456221,525754,574503,674843,719365,776723,866068,964908,1041042,1111291,1253025,1372102,1512563,1617055,1749108,1850395,2006157,2103202,2171829,2290437,2414368,2546993,2661687,2766690,2876961,2972284,3128995,3348394,3624149,3797851,3961224,3959185,4034973,3383782,3432552,4401536,4597567,4763815,4905177,5104441,5323023
 "05000","Arkansas",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",139621,148229,171444,207450,270947,315178,328603,396092,452886,531126,607965,645483,747397,778629,861606,1002585,1040535,1099723,1139945,1253539,1302657,1452887,1532181,1660273,1768539,1902064,2006480,2079657,2169699,2319642,2415070,2534353,2583107,2639757,2746938,2876238,3008165,3192721,3303653,3431928,3433469,3568005,3732341,3825805,3861743,4001998,4105214,4084035,4177527,4173302
 "05000","Arkansas",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",32075,23527,22201,21686,17905,11204,9021,-1070,-7078,-11626,-14932,-5120,-23122,-20505,-50269,-69333,-75331,-101062,-123646,-157584,-161278,-220020,-247563,-271351,-307605,-334349,-304141,-300486,-305139,-306367,-321729,-359492,-374299,-372826,-351296,-319084,-288118,-248452,-181505,-139079,-120068,-129276,-112287,-155772,-215244,-224811,-233736,-196205,-313675,-371807
 "05000","Arkansas",5,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",3874558,4168285,4592822,5221897,6180049,6703650,7103006,7885769,8838834,10380044,11166293,11421662,12598254,12770011,13548020,15368591,16219175,17096499,18153856,19599438,20641209,21617946,22971222,25313495,26523820,28290499,29890824,31630971,33121741,35369659,37371559,39153406,41054132,41940281,44948740,47960497,49491535,51270266,53330102,53254289,51862804,53443110,56322268,59548433,61139042,62526615,62988275,64021228,66564910,68754257
 "05000","Arkansas",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",669954,774526,868494,956043,1112658,1334691,1519640,1663725,1881041,2156828,2477512,3067008,3823992,4365665,4528003,5046097,5481463,5694819,5637476,6021800,6680953,6992781,7004705,7211505,7537871,8034799,8683506,9315314,9884223,10548179,10480608,11075079,11204052,10895879,11207805,11722500,13113491,14987993,17001962,18291160,16386574,16234985,19161848,23099660,21344175,24774186,26764384,27619287,29199305,31687157
 "05000","Arkansas",5,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",584019,683709,801792,893282,1083373,1315207,1669438,1829429,1941876,2131921,2444162,2899657,3280376,3566584,3858820,4043731,4281686,4512337,4643500,4884635,5399026,5846815,6483132,7189351,7586750,7963316,8590383,9101580,9501991,9818266,10121228,10741397,11909962,12825390,13390827,14349963,15395313,16809988,18176237,20266671,21996633,23612364,24087339,24336622,24757473,26244700,27427940,28418999,28919537,29855263
 "05000","Arkansas",5,CAINC4,50,"...","Wages and salaries","Thousands of dollars",2961161,3170301,3483957,3890991,4408280,4935979,5217812,5955348,6740241,7703047,8601359,9307195,10124926,10476370,11238246,12332083,13048087,13838570,14577970,15589778,16455665,17718316,18678622,20196848,21171099,22649341,24066197,25259311,26784551,28569246,30163014,31830512,32970649,33873394,35118617,37224027,39076554,41363015,43531570,44463825,44017724,44757777,46289381,47879652,48798769,50466679,52427495,53881013,55877501,57699505
 "05000","Arkansas",5,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",375547,417562,491260,576267,663592,765692,879910,1019558,1188918,1365320,1531064,1701331,1909420,2051221,2272147,2522340,2717469,2919058,3105734,3362601,3665363,4049253,4373381,4953286,5255964,5564740,5671890,5788215,6017514,6417873,6667269,6983282,7449863,7818051,8399352,8874038,9438367,9742055,10102784,10318480,10260866,10504281,10607763,11313578,11734817,12083560,12003431,12252005,12536178,12961434
 "05000","Arkansas",5,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",235926,269333,319816,368817,392645,450514,551307,623466,736032,834194,923099,1055848,1162023,1272592,1410541,1519755,1676934,1819335,1965789,2109062,2362706,2596366,2841200,3293013,3487425,3662676,3665410,3708558,3847815,4098231,4252199,4448929,4866756,5178294,5652414,5997800,6430202,6549334,6799131,6886552,6827397,6936276,6875422,7487773,7873074,8081562,7898217,8167970,8358651,8788132
 "05000","Arkansas",5,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",139621,148229,171444,207450,270947,315178,328603,396092,452886,531126,607965,645483,747397,778629,861606,1002585,1040535,1099723,1139945,1253539,1302657,1452887,1532181,1660273,1768539,1902064,2006480,2079657,2169699,2319642,2415070,2534353,2583107,2639757,2746938,2876238,3008165,3192721,3303653,3431928,3433469,3568005,3732341,3825805,3861743,4001998,4105214,4084035,4177527,4173302
