GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,118057588,124654410,135387478,141344453,146505245,155175020,169638742,188136505,209126960,220735917,223345839,211975307,215523641,226365302,236846094,242855587,257410031,271132762,282477649,299613018,317912916
 "04000","Arizona",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",6127462,7040078,8059178,9264240,10700883,11959801,13106648,14491740,16388761,19250808,22597092,26009974,29842226,31809797,35133825,39539350,44088578,48277168,51895713,55969745,60184729,63192928,66449742,71033311,76267302,83788191,91187341,98991349,107305746,117209347,123838257,134605592,140621971,145766859,154479678,168646780,187179820,208443595,219927974,222765993,211532130,214897276,225236214,236004478,241620178,256393910,269810326,281013592,298312809,316774386
 "04000","Arizona",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",199609,176055,196388,200409,233328,376293,211110,321441,258024,308802,389529,467636,404830,387567,318779,516252,481729,462190,622680,748684,677760,628051,724835,658818,773707,555476,802068,716289,717333,848241,816153,781886,722482,738386,695342,991962,956685,683365,807943,579846,443177,626365,1129088,841616,1235409,1016121,1322436,1464057,1300209,1138530
 "04000","Arizona",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
 "04000","Arizona",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33635,34968,36123,36602,38226,39676,40671,42505,44329
 "04000","Arizona",6,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",4978823,5559082,6340617,7331631,8512199,9458332,9679607,10887655,12378251,14689179,17449213,19580342,21771177,22582775,24694665,28272120,31514993,34646400,37532988,40754723,42222143,44364357,47168534,50683358,54687045,60025915,65341081,71493212,77768047,86135847,92221671,100790169,104944956,108532134,114295135,124975811,137528773,152576251,159264708,156856419,145557336,146275244,152291732,159469640,166847274,173927648,182172384,190104048,201273424,213234030
 "04000","Arizona",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",322189,361663,429885,524531,695027,790974,816242,916127,1061005,1291612,1605806,1821692,2191449,2314955,2580146,3017915,3434650,3804831,4074939,4563387,4873437,5269145,5627105,6016356,6488135,7169201,7483234,8373481,8976283,9786016,10487608,11419040,11946096,12345684,12824161,13891737,15247857,16722166,17692604,17903581,17067994,17245535,15978553,16522656,19313529,19980213,21006655,21910898,23197456,24716711
 "04000","Arizona",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",160396,179606,211186,254323,338400,386803,397925,438502,508175,612880,766742,875159,1062507,1131780,1248454,1437611,1682200,1865863,2009321,2263993,2445147,2627103,2814046,3004587,3250387,3608675,3959686,4249807,4590947,5029953,5431735,5906779,6151764,6359086,6639672,7217130,7984513,8783288,9232304,9325192,8997278,9147909,7576131,7817658,10317869,10812230,11383100,11918766,12647363,13582001
 "04000","Arizona",6,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",161793,182057,218699,270208,356627,404171,418317,477625,552830,678732,839064,946533,1128942,1183175,1331692,1580304,1752450,1938968,2065618,2299394,2428290,2642042,2813059,3011769,3237748,3560526,3523548,4123674,4385336,4756063,5055873,5512261,5794332,5986598,6184489,6674607,7263344,7938878,8460300,8578389,8070716,8097626,8402422,8704998,8995660,9167983,9623555,9992132,10550093,11134710
 "04000","Arizona",6,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-25785,-29710,-29074,-32224,-30882,-40872,-47034,-47457,-56584,-69788,-71987,-80922,-15742,-8782,1964,4995,17871,38004,64256,106185,163883,223419,219795,246817,263663,274683,292258,322424,357756,405885,466286,524999,637767,695772,796320,946475,1058007,1091791,1174866,1214028,1224121,1248968,1248199,1348811,1345007,1454322,1516833,1604935,1652462,1744341
