GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "06000","California",8,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250173900,284307980,319557151,342342458,369808779,410796416,444066873,476682239,513377058,558041138,600755071,643684926,665992598,702449072,719730984,742429143,780642835,829666598,882677306,959949747,1026419347,1133965450,1173768781,1193118043,1248506484,1329404002,1407285469,1516057517,1581573294,1606579893,1554013343,1628457637,1737940004,1852397490,1886379052,2021038469,2171947376,2263889847,2370112356,2514129262
 "06000","California",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",90493903,97748738,104325161,114227232,124909264,138937605,154439391,171540021,190588945,217252730,245709173,278829431,315308387,337841160,365666120,405993556,439225130,471394409,506902457,551243813,594100331,636709481,659951044,695923746,712262179,735155087,773743829,821858850,874303729,952077502,1017904976,1125545423,1165786603,1184594808,1238889007,1317602800,1395424879,1506242886,1569224206,1596080765,1542357150,1615813695,1723231426,1835638862,1867025414,1999522634,2151363024,2246420433,2351205405,2496816608
 "06000","California",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",1666145,1668724,1662025,2123834,2868001,3569816,3200512,3384767,3443957,3387325,4464727,5478549,4248764,4501298,4142659,4802860,4841743,5287830,6474601,6797325,6654740,6975445,6041554,6525326,7468805,7274056,6899006,7807748,8373577,7872245,8514371,8420027,7982178,8523235,9617477,11801202,11860590,9814631,12349088,10499128,11656193,12643942,14708578,16758628,19353638,21515835,20584352,17469414,18906951,17312654
 "06000","California",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
 "06000","California",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29100,30640,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43634,46170,48798,49277,52324,55758,57739,60156,63557
 "06000","California",8,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",74329117,78352156,82582961,91402059,100883935,111116918,120292875,134725991,151080844,173276679,197519971,219599858,240773877,255203284,275917118,308450044,335469692,363846231,399341120,437085973,463137155,495459943,511713803,536789079,546362525,562529938,586509339,622383828,668027313,730064889,794444128,887549245,914764493,932151294,973505738,1041454068,1091292119,1154635171,1189611169,1179852814,1136583527,1186105720,1248829957,1325712700,1374135115,1449052324,1541496216,1604105240,1693104707,1787668111
 "06000","California",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",4827173,5017584,5449349,6333131,7973075,9013253,9599500,10977857,12559939,14805558,17663050,19262450,23092685,24994425,27640681,32061047,35322704,38688097,42355341,47729280,51064568,54273221,56411496,58517025,59531314,61692079,63538516,65645276,69727637,75084585,81356313,90069590,94914950,97840268,102893114,112469722,117546889,120869585,122700981,124999766,121063242,121823581,114605252,119273538,139628043,147563652,156351669,162649632,170984514,181342356
 "06000","California",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",2446044,2541798,2732443,3122697,3914710,4443540,4740718,5268060,5992773,6954800,8366363,9028018,11044947,12090375,13268189,15150668,17068687,19008777,21221505,24108686,25910909,27483761,28893512,29993022,30712701,31993237,33264352,34421894,36254621,39102592,42473342,47153377,49335714,50395237,52011651,56124790,59237829,62092892,64056011,66575629,65497158,66292005,56066717,57749403,75941984,80427904,85073872,88775475,93212259,99965099
 "06000","California",8,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236,47445031,50881463,56344932,58309060,58776693,58644970,58424137,55566084,55531576,58538535,61524135,63686059,67135748,71277797,73874157,77772255,81377257
 "06000","California",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-97465,-93681,-111151,-117839,-103121,-100109,16815,119955,-20545,-21682,61758,6506,286101,295564,300175,244524,194739,154369,76443,37515,25014,-46768,-37882,-42874,24873,35983,24618,13666,-68249,-73960,-79333,-254062,-314042,-428377,-593541,-787741,-977033,-1231808,-1503830,-1753860,-1514357,-1452536,-1399576,-1306393,-1157743,-1246810,-1458589,-1619069,-1863081,-1948446
