GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",14692532,15673815,16514402,17804686,19393356,21157238,22725543,24536404,27032652,30080860,33813599,38493926,43242974,46701334,49958241,55880686,60000014,64553349,70443265,77668249,84248967,86889121,87815760,94269329,97347585,100108300,105642525,110746328,117991826,127327726,134415255,147054784,155243071,155347924,157679368,166262007,175470605,189750398,204090210,216865326,213612069,222225987,228929351,233337821,228470851,238999106,244982293,249580936,258079340,273152399
 "09000","Connecticut",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",14626972,15603559,16446576,17738144,19314747,21076058,22652773,24456982,26952621,30004306,33738277,38414153,43164752,46595308,49855312,55754512,59875696,64416414,70305071,77516982,84113342,86709664,87656898,94087971,97144879,99930806,105477632,110593923,117842449,127157398,134229917,146837725,155052838,155169336,157500101,166073124,175289723,189586637,203904077,216671844,213422550,222033048,228750177,233100889,228225730,238826482,244810595,249422274,257908516,272995058
 "09000","Connecticut",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",65560,70256,67826,66542,78609,81180,72770,79422,80031,76554,75322,79773,78222,106026,102929,126174,124318,136935,138194,151267,135625,179457,158862,181358,202706,177494,164893,152405,149377,170328,185338,217059,190233,178588,179267,188883,180882,163761,186133,193482,189519,192939,179174,236932,245121,172624,171698,158662,170824,157341
 "09000","Connecticut",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665
 "09000","Connecticut",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4898,5158,5394,5800,6319,6879,7367,7951,8752,9720,10908,12365,13821,14878,15798,17572,18743,20024,21693,23738,25659,26394,26588,28560,29417,30188,31780,33191,35228,37835,39693,43102,45223,44914,45254,47557,50035,53945,57861,61165,59973,62089,63804,64917,63554,66485,68288,69741,72213,76456
 "09000","Connecticut",1,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",11216107,11805244,12214542,13284473,14713869,15915596,16562589,18028462,20062407,22589799,25468875,28315015,31034652,33122451,35734569,40227797,43804516,47589853,52884396,58459077,61642269,63504193,64366299,67768010,70456081,72754526,76025934,79513120,86175406,92892670,100032956,109881377,116958673,117738050,119013145,123986851,129210927,135801253,143290602,150903899,152975814,157372857,158819876,157217633,155950991,160376692,163605053,166233253,170344929,175708489
 "09000","Connecticut",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",752832,784499,840730,969494,1235632,1396630,1423639,1578169,1778534,2061209,2420825,2679769,3155253,3430840,3736779,4305825,4742250,5165316,5653387,6356152,6675990,6798005,7010822,7251014,7515451,7872709,8268741,8622140,9145799,9592210,10053529,10679874,11047428,11505589,11752335,12344801,12767826,13239534,13836521,14286408,13919375,14026129,12980726,13323933,15440497,15916723,16410395,16713216,17148763,17601193
 "09000","Connecticut",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",362126,380392,408502,461270,587295,668653,687747,739195,817327,934088,1111333,1260740,1502784,1647400,1773999,1995838,2273303,2494995,2771042,3129011,3342379,3413908,3553564,3664566,3786179,3979182,4208496,4381383,4675829,4919971,5208078,5518522,5741677,5866140,5988689,6300182,6593031,6963406,7293879,7533495,7303212,7360502,6012931,6120844,8118942,8428437,8697697,8911028,9196263,9574968
 "09000","Connecticut",1,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352,5305751,5639449,5763646,6044619,6174795,6276128,6542642,6752913,6616163,6665627,6967795,7203089,7321555,7488286,7712698,7802188,7952500,8026225
 "09000","Connecticut",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",723283,716773,748612,793187,804259,838139,928783,999575,1105132,1264313,1438873,1689045,1892753,2040094,2177775,2339172,2577382,2673489,2823288,3072398,3087052,2744984,2709261,3938537,3345478,3102077,3826678,4536502,4071981,5481763,5361762,5526089,5562966,5728133,5830408,6842866,7651980,8813579,10336291,11466625,8858765,10852153,11364222,13193727,12506750,12949688,13227365,12747791,14795352,17501067
 "09000","Connecticut",1,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",11186558,11737518,12122424,13108166,14282496,15357105,16067733,17449868,19389005,21792903,24486923,27324291,29772152,31731705,34175565,38261144,41639648,45098026,50054297,55175323,58053331,59451172,60064738,64455533,66286108,67983894,71583871,75427482,81101588,88782223,95341189,104727592,111474211,111960594,113091218,118484916,124095081,131375298,139790372,148084116,147915204,154198881,157203372,157087427,153017244,157409657,160422023,162267828,167991518,175608363
 "09000","Connecticut",1,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",2558513,2790180,2968398,3191261,3481264,3881861,4111806,4372685,4806888,5364019,6073160,7425087,9150870,10167417,10597471,12199081,12612340,13375242,14104992,15711898,18593467,18937724,18230440,18614317,19378671,20025864,21105200,22016106,23222268,24705375,24903260,27407534,27932424,26407795,27263248,29401459,32417771,38144632,42833800,44218412,38453210,38961026,42573111,46750953,45624705,50833137,52714356,54535671,56867858,62092023
