GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "12000","Florida",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84660155,99826771,115731189,125053376,138093067,153887607,168327413,182124030,197185189,216604769,241142909,257571430,268375219,284265992,301392581,317674941,341583501,363906819,385401971,415875478,436186130,472238563,496337210,512812468,539102793,586784963,642506724,698475979,727404686,727138521,682891651,725074023,764633664,793428830,795424889,856161682,915895494,942461242,1004144269,1066446916
 "12000","Florida",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",24379299,27741008,31130028,35825045,41758996,46995591,51194937,56009151,62845627,72435348,83386558,98195622,114366231,123301934,135652320,152089597,166523939,180182422,195086505,213955631,238703821,255537848,265968369,281851997,298912987,315568990,339430259,362009367,383293181,413293963,433530236,469706268,493828275,510368517,536973227,584609050,639895032,695919120,725241943,725182092,680813033,722695207,762546150,790748426,792695443,853425963,912438565,939963799,1001310243,1064194810
 "12000","Florida",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",625634,535194,626324,724919,819347,887542,972993,1003201,998635,1197935,1273597,1631149,1364958,1751442,2440747,1798010,1803474,1941608,2098684,2649138,2439088,2033582,2406850,2413995,2479594,2105951,2153242,1897452,2108790,2581515,2655894,2532295,2508935,2443951,2129566,2175913,2611692,2556859,2162743,1956429,2078618,2378816,2087514,2680404,2729446,2735719,3456929,2497443,2834026,2252106
 "12000","Florida",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325
 "12000","Florida",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26854,27678,29428,30344,30727,31704,33694,36011,38448,39602,39247,36611,38474,40047,41055,40659,43109,45287,45684,47869,50070
 "12000","Florida",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",18512591,20482394,22759450,26383815,30858942,33902229,35448104,38566185,43112474,49952283,57081858,65582791,73613200,78862333,87798013,97794239,107306156,116853195,128573183,141675440,151397294,161135722,168103932,180110993,192405715,203141223,216287300,230495530,244384467,265915440,284906081,308751767,327004403,343043426,361989562,391971647,425117211,452498584,459532509,445382328,420311940,438991235,450502115,468412894,482900406,512381351,545198370,568197880,601927042,634065871
 "12000","Florida",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1132486,1272457,1473193,1797755,2422176,2782052,2860146,3169655,3572233,4251409,5112218,5908692,7183121,7887175,8777683,10140896,11348096,12681145,13789158,15631167,16945032,17936124,18806435,20071158,21337109,22866726,24234830,25570521,27135374,29129738,30995595,33262318,35634392,37184203,39192768,42579437,46456979,50370182,51860881,51691637,49960577,50687919,46682044,48813521,56725464,59770106,62927707,65651375,68962022,72895604
 "12000","Florida",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",578873,651373,752739,906316,1219268,1410729,1444014,1560931,1759380,2082473,2515560,2941120,3602512,3993668,4399228,4991727,5763602,6487356,7086228,8096745,8933764,9386288,9897115,10556789,11275752,12142419,12966706,13625564,14450352,15506665,16546164,17688776,18938962,19847131,20883398,22636672,24840489,26870304,27964135,28062143,27264857,27615316,22563768,23345399,30705967,32638683,34727742,36523423,38706667,41369692
 "12000","Florida",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",553613,621084,720454,891439,1202908,1371323,1416132,1608724,1812853,2168936,2596658,2967572,3580609,3893507,4378455,5149169,5584494,6193789,6702930,7534422,8011268,8549836,8909320,9514369,10061357,10724307,11268124,11944957,12685022,13623073,14449431,15573542,16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27131423,28199965,29127952,30255355,31525912
 "12000","Florida",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-19448,-22100,-16603,-13839,-12041,-2794,-10957,8046,19241,22092,12568,6101,116837,140423,166401,207801,253458,316727,377812,453753,534129,632789,677043,743389,793409,854049,921487,994336,1094691,1221176,1353094,1516255,1618404,1676008,1772620,1917635,2079693,2297807,2596637,2786401,2643772,2726358,2931548,3016975,3051652,3210746,3337637,3389695,3488730,3636132
