GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "13000","Georgia",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",14980053,16310397,18009654,20206129,22848185,25067819,27084317,30146592,33332134,37818959,42321274,47192827,53458827,57866802,63379476,71862580,78685453,85846419,92434090,100796670,108619295,116149869,121895048,131979043,140173332,150941952,162948300,176085673,187547917,205702412,219456642,237444851,249221073,256188816,265611887,280261986,297505555,317584337,332135843,334334519,327516282,335268373,358538631,368868130,374489147,400696073,424356326,439942976,463755656,488964103
 "13000","Georgia",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",14562962,15915131,17556143,19738200,22064424,24400147,26453087,29525640,32976305,37260512,41733728,47162255,52945501,57192145,62911482,70915330,77907718,85027915,91550023,99656150,107275092,114902974,120343745,130351252,138714208,149018268,161201514,174246347,185753779,203919340,217526742,235615419,247024423,254563363,263572664,278116460,295038741,316017862,330272975,332176613,325597565,333904706,356943718,366439646,371902869,398723811,422018838,438310008,461552245,486889482
 "13000","Georgia",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",417091,395266,453511,467929,783761,667672,631230,620952,355829,558447,587546,30572,513326,674657,467994,947250,777735,818504,884067,1140520,1344203,1246895,1551303,1627791,1459124,1923684,1746786,1839326,1794138,1783072,1929900,1829432,2196650,1625453,2039223,2145526,2466814,1566475,1862868,2157906,1918717,1363667,1594913,2428484,2586278,1972262,2337488,1632968,2203411,2074621
 "13000","Georgia",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475
 "13000","Georgia",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8602,9600,10242,11064,12316,13196,14109,14888,15959,16942,17835,18322,19360,20087,21090,22235,23475,24404,26159,27275,28861,29751,30111,30803,31960,33331,34687,35523,35175,34042,34522,36580,37254,37549,39795,41681,42693,44536,46482
 "13000","Georgia",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",12894885,13722245,15046613,16960015,19249189,20683625,21620361,24415451,27263028,31100766,34773803,37748741,42145086,45137168,49563255,56781586,62619633,68831974,74539811,81265732,85961457,91455190,95155923,103731208,110172375,118268706,127124586,137328985,146750084,162831621,176615972,190314824,199208762,203534375,211055830,223622570,234461123,247332843,253965751,249905534,243352042,247331832,257811045,266463546,275964337,292893487,309572932,323199634,340405228,356655641
 "13000","Georgia",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",786208,836767,951796,1128030,1445429,1627734,1679651,1946065,2190434,2552145,2974315,3301653,3919002,4271825,4793019,5611385,6360875,7085215,7617309,8521387,9070310,9696380,10179091,10959588,11712219,12670249,13606615,14539015,15462818,16838819,18150696,19381844,20150584,20554810,21153556,23014697,23998878,25477473,26199749,27303347,26537380,27011221,24828327,25731148,30209028,31723724,33341457,34688787,36398204,37994527
 "13000","Georgia",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",404840,431719,488937,572973,737003,833487,856391,963059,1076514,1248198,1464292,1646161,1975230,2172413,2412848,2777067,3232343,3615049,3903839,4379539,4710090,5019455,5293953,5692562,6119163,6645423,7178758,7651548,8134968,8830492,9547956,10174303,10556128,10817266,11139107,11806303,12439033,13334078,13836359,14430804,14038059,14268849,11582278,11985453,15979130,16859798,17754772,18575620,19634949,20737582
 "13000","Georgia",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",381368,405048,462859,555057,708426,794247,823260,983006,1113920,1303947,1510023,1655492,1943772,2099412,2380171,2834318,3128532,3470166,3713470,4141848,4360220,4676925,4885138,5267026,5593056,6024826,6427857,6887467,7327850,8008327,8602740,9207541,9594456,9737544,10014449,11208394,11559845,12143395,12363390,12872543,12499321,12742372,13246049,13745695,14229898,14863926,15586685,16113167,16763255,17256945
 "13000","Georgia",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-93360,-78215,-78036,-71418,-69552,-69460,-57809,-88418,-104736,-85973,-106085,-115317,-35674,-76907,-119561,-155122,-168972,-217666,-226788,-228581,-191879,-112624,-131629,-178162,-181614,-236891,-340329,-374700,-448077,-585243,-599869,-732404,-776716,-820969,-839974,-798643,-781521,-786394,-776990,-696680,-924886,-948045,-1183071,-1339045,-1514173,-1608135,-1562347,-1812181,-1754877,-1806563
