GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15000","Hawaii",8,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3643173,4224922,4584077,5047834,5592618,6360651,6919030,7465926,8084039,8953923,10042788,11483936,12434061,13166230,14443315,15472574,16452513,17458138,18618700,20477516,22873584,24979076,26432925,28434498,29476498,30163706,30864018,30894933,31907547,32531130,33657545,35682033,37204033,38954769,40791025,43977375,47306326,50701090,53423078,56059909,55690031,57179141,60044624,62455917,63316600,66846123,70384467,72878649,75689488,78721133
 "15000","Hawaii",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3527227,4095286,4457441,4920819,5459910,6027026,6719755,7296011,7903174,8789279,9852845,11113156,12238699,12939709,14112147,15241888,16239091,17210245,18388693,20226089,22637614,24731080,26214389,28230680,29274500,29967585,30676708,30711087,31713223,32324328,33426568,35454613,36980116,38716773,40554370,43740628,47059171,50454293,53191133,55822213,55410305,56917192,59755679,62134800,63024955,66579865,70092009,72613505,75410635,78487067
 "15000","Hawaii",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",115946,129636,126636,127015,132708,333625,199275,169915,180865,164644,189943,370780,195362,226521,331168,230686,213422,247893,230007,251427,235970,247996,218536,203818,201998,196121,187310,183846,194324,206802,230977,227420,223917,237996,236655,236747,247155,246797,231945,237696,279726,261949,288945,321117,291645,266258,292458,265144,278853,234066
 "15000","Hawaii",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
 "15000","Hawaii",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4903,5538,5791,6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26769,27809,29404,30347,31425,32603,34531,36594,38711,40605,42080,41352,41921,43534,44774,44955,47246,49480,51032,53145,55418
 "15000","Hawaii",8,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",3041332,3470686,3709163,4075676,4516592,5122642,5489206,5903750,6403222,7064573,7945336,8998412,9516573,10147167,11002918,11686785,12467149,13354896,14445216,16076774,17842914,19786140,21002846,22412363,22931718,23131083,23135526,23100404,23742063,24118706,25075968,26592658,28063097,29837116,31760763,34048620,36522668,38590111,39887517,40680512,40167389,40952974,42453316,44495709,45820999,47635139,50034068,51458928,53506971,55471571
 "15000","Hawaii",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",182336,211188,235647,273546,348219,399942,442188,483695,522277,597365,700452,777294,896182,946020,1036284,1135299,1237204,1350897,1476513,1695822,1886964,2178010,2344975,2493977,2542966,2587928,2585644,2589811,2630063,2671029,2739827,2888904,3047811,3244371,3491299,3667189,3934370,4247407,4442476,4531688,4475992,4706903,4476995,4633026,5412477,5452236,5698061,5831314,6068898,6334414
 "15000","Hawaii",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",80319,91252,100600,114469,149626,173574,188669,202321,221983,256300,301305,338772,398120,429215,464537,499328,562924,621955,687778,799371,904093,1043967,1127347,1184931,1214566,1251561,1272806,1281862,1304516,1343636,1386501,1458479,1541650,1632324,1726243,1851587,1988375,2145054,2279845,2353692,2315641,2337851,1914170,1966540,2596437,2734486,2894738,3022513,3157421,3328766
 "15000","Hawaii",8,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",102017,119936,135047,159077,198593,226368,253519,281374,300294,341065,399147,438522,498062,516805,571747,635971,674280,728942,788735,896451,982871,1134043,1217628,1309046,1328400,1336367,1312838,1307949,1325547,1327393,1353326,1430425,1506161,1612047,1765056,1815602,1945995,2102353,2162631,2177996,2160351,2369052,2562825,2666486,2816040,2717750,2803323,2808801,2911477,3005648
 "15000","Hawaii",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
