GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "19000","Iowa",4,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",10374042,11094958,11641612,13040147,15654782,16224999,18133702,19280266,21275256,24537218,26298368,27993694,31680973,32544391,33149477,36944129,38216260,39480301,41377402,42759779,46555049,49023054,50144695,53791872,54052557,58946166,61328566,66840910,69956071,73327397,75330884,80442425,82725055,84646820,86451977,93511289,96563579,102580079,109889642,116255764,112627998,116247364,125560515,131984153,134463478,139303372,144287791,145411305,149191200,158197241
 "19000","Iowa",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",9138590,9882506,10632458,11558973,12927633,14509705,16172177,18063518,20060414,22108086,24735508,27287906,30053781,31740494,33154216,35494282,36476723,37364472,38932035,41127457,44170782,46536069,48380485,51109994,53182820,56102982,59529741,63131700,66575339,71185129,73749752,77998840,80471375,82520708,84195847,88706152,92657820,99686776,105929836,111572234,109492261,112733009,118324262,125358440,126036002,133663264,139212736,142884205,146070928,154324682
 "19000","Iowa",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",1235452,1212452,1009154,1481174,2727149,1715294,1961525,1216748,1214842,2429132,1562860,705788,1627192,803897,-4739,1449847,1739537,2115829,2445367,1632322,2384267,2486985,1764210,2681878,869737,2843184,1798825,3709210,3380732,2142268,1581132,2443585,2253680,2126112,2256130,4805137,3905759,2893303,3959806,4683530,3135737,3514355,7236253,6625713,8427476,5640108,5075055,2527100,3120272,3872559
 "19000","Iowa",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145
 "19000","Iowa",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25260,25819,27463,28215,28848,29385,31660,32574,34392,36640,38537,37136,38104,40952,42906,43472,44799,46224,46431,47458,50124
 "19000","Iowa",4,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",8353791,8755522,9059918,10254957,12556835,12721635,13951441,14779011,16332900,19121772,20259727,20472666,22566395,21765144,21846223,24996916,25949442,27110223,29276589,30491259,33266972,35169556,35921378,39141254,39123547,43608087,44589079,48649361,50966423,53438326,55618867,59219351,60578124,61938146,64224224,70750525,73077782,76584923,81109018,84477128,80916246,83560993,89243146,93675581,97936195,100212979,102724255,102642636,104874438,109736370
 "19000","Iowa",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",543298,567172,626417,718592,929734,1091845,1166984,1322128,1459056,1671285,1955256,2057575,2315087,2343751,2426156,2683744,2810188,2966217,3173560,3526621,3765211,4079130,4285341,4529039,4773034,5142013,5400158,5382059,5907577,6289244,6557828,6805512,6966785,7117727,7442033,7832698,8243014,8683860,9120175,9545638,9425786,9738850,9091689,9384342,10787326,11113732,11379013,11881291,12199581,12698613
 "19000","Iowa",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",285634,297183,326738,368064,468896,550942,593246,646772,696005,787066,934776,995902,1122748,1150864,1173205,1269538,1381860,1477055,1615539,1806841,1968491,2129951,2243206,2348623,2458880,2648207,2801750,2688152,3070278,3253112,3389009,3515245,3625573,3724242,3869085,4102577,4348670,4593334,4844109,5067932,5026592,5100414,4206829,4374409,5684611,5914892,6104965,6314618,6485101,6875776
 "19000","Iowa",4,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",257664,269989,299679,350528,460838,540903,573738,675356,763051,884219,1020480,1061673,1192339,1192887,1252951,1414206,1428328,1489162,1558021,1719780,1796720,1949179,2042135,2180416,2314154,2493806,2598408,2693907,2837299,3036132,3168819,3290267,3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5198840,5274048,5566673,5714480,5822837
 "19000","Iowa",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",89176,96930,97195,103336,97720,91221,107398,100085,74007,73046,79169,98121,126975,199768,213262,241735,278998,274392,268180,310900,321377,319307,373412,411210,401098,422816,483915,529137,603837,694649,795634,880711,904868,942681,971962,988807,906506,840928,1078953,1149225,1149579,1187347,1305994,1229451,1210477,1047766,993023,1047890,1430837,1417781
 "19000","Iowa",4,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",7899669,8285280,8530696,9639701,11724821,11721011,12891855,13556968,14947851,17523533,18383640,18513212,20378283,19621161,19633329,22554907,23418252,24418398,26371209,27275538,29823138,31409733,32009449,35023425,34751611,38888890,39672836,43796439,45662683,47843731,49856673,53294550,54516207,55763100,57754153,63906634,65741274,68741991,73067796,76080715,72640039,75009490,81457451,85520690,88359346,90147013,92338265,91809235,94105694,98455538
 "19000","Iowa",4,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",1618851,1817638,1984251,2184507,2525707,2877774,3224897,3504323,3982384,4429855,5019578,6068308,7420386,8497224,8773025,9530448,9641912,9710576,9540628,9770562,10630674,10983010,11008211,11070315,11242985,11681766,12831876,13775997,14763024,15714423,15341201,16295407,16463150,15951758,15821182,16263442,16568112,18118415,20096021,21121115,19604374,19517317,22043343,24479964,23635701,25514580,27086852,28129038,29743499,32163083
 "19000","Iowa",4,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",855522,992040,1126665,1215939,1404254,1626214,2016950,2218975,2345021,2583830,2895150,3412174,3882304,4426006,4743123,4858774,5156096,5351327,5465565,5713679,6101237,6630311,7127035,7698132,8057961,8375510,8823854,9268474,9530364,9769243,10133010,10852468,11745698,12931962,12876642,13341213,14254193,15719673,16725825,19053934,20383585,21720557,22059721,21983499,22468431,23641779,24862674,25473032,25342007,27578620
 "19000","Iowa",4,CAINC4,50,"...","Wages and salaries","Thousands of dollars",5426127,5810313,6190952,6665111,7506549,8492277,9205332,10317832,11500140,12744003,14225917,15152533,16054582,16032159,16454974,17519579,18023689,18534206,19860378,21474043,22884506,24392378,25416669,26992530,28214788,30046150,31725736,33381038,35497938,38197432,40182058,41958028,42987825,43744456,45213217,47892131,50008032,52641178,55522152,57466395,56072611,57199134,59354406,62154133,63998856,67140766,70041036,71693412,73694455,76329669
 "19000","Iowa",4,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",605963,661671,746310,862538,1004593,1170393,1356265,1560478,1823076,2068801,2371094,2566006,2822575,2912467,3117198,3349931,3510278,3747986,4028749,4373718,4816835,5268892,5639605,6288899,6679925,7139087,7215096,7378299,7618632,8328687,8732564,9548470,10043589,10328830,10843220,11648917,12386345,12936797,13596736,14270243,14588856,14695930,14763992,15687592,16044359,17196707,17177185,18414995,18478841,19286207
 "19000","Iowa",4,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",348299,391682,446631,512010,543755,629490,782527,885122,1060025,1184582,1350614,1504333,1630236,1719580,1864247,1935725,2081950,2258824,2470728,2653938,3020115,3319713,3597470,4108483,4365771,4645281,4616688,4684392,4781333,5292555,5563745,6258203,6702377,6935345,7270272,7918796,8492001,8846271,9320670,9792537,10189662,10057494,9879132,10677659,10941644,11997867,11903137,12848322,12764361,13463370
 "19000","Iowa",4,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",257664,269989,299679,350528,460838,540903,573738,675356,763051,884219,1020480,1061673,1192339,1192887,1252951,1414206,1428328,1489162,1558021,1719780,1796720,1949179,2042135,2180416,2314154,2493806,2598408,2693907,2837299,3036132,3168819,3290267,3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5198840,5274048,5566673,5714480,5822837
 "19000","Iowa",4,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",2321701,2283538,2122656,2727308,4045693,3058965,3389844,2900701,3009684,4308968,3662716,2754127,3689238,2820518,2274051,4127406,4415475,4828031,5387462,4643498,5565631,5508286,4865104,5859825,4228834,6422850,5648247,7890024,7849853,6912207,6704245,7712853,7546710,7864860,8167787,11209477,10683405,11006948,11990130,12740490,10254779,11665929,15124748,15833856,17892980,15875506,15506034,12534229,12701142,14120494
 "19000","Iowa",4,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",1142343,1108803,895276,1369937,2580571,1549514,1778370,973031,950086,2176150,1285106,417608,1343352,503414,-285666,1181212,1477541,1877182,2215298,1383169,2125414,2197410,1495011,2406024,569934,2555691,1515676,3439829,3086566,1796673,1248369,2108863,1881041,1772371,1801668,4293729,3480799,2507442,3309644,4126033,2576953,2945271,6686440,5889636,7785126,4886020,4436656,1889591,2337260,3149197
 "19000","Iowa",4,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",1179358,1174735,1227380,1357371,1465122,1509451,1611474,1927670,2059598,2132818,2377610,2336519,2345886,2317104,2559717,2946194,2937934,2950849,3172164,3260329,3440217,3310876,3370093,3453801,3658900,3867159,4132571,4450195,4763287,5115534,5455876,5603990,5665669,6092489,6366119,6915748,7202606,8499506,8680486,8614457,7677826,8720658,8438308,9944220,10107854,10989486,11069378,10644638,10363882,10971297
 "19000","Iowa",4,CAINC4,7010,"...","Total employment","Number of jobs",1289307,1294601,1297368,1316204,1374443,1406738,1406934,1454869,1487748,1512816,1553843,1536822,1507346,1470793,1474129,1499477,1495071,1493527,1514302,1556965,1600251,1634995,1654110,1669175,1691565,1724805,1784926,1815405,1841110,1877486,1896080,1915254,1902198,1879713,1873330,1902227,1933919,1965778,1994031,1997615,1959142,1950444,1975960,1993430,2019480,2038926,2059398,2066052,2066284,2087993
 "19000","Iowa",4,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",967773,974766,982447,990738,1041909,1076521,1088398,1129336,1167877,1199326,1229766,1195816,1166632,1122664,1118161,1145116,1142377,1143594,1175030,1225381,1269469,1293382,1302833,1318972,1339229,1378169,1418122,1444360,1466653,1500525,1521119,1534288,1522116,1507604,1500007,1521678,1545547,1568789,1579953,1586287,1540936,1535646,1551027,1570535,1592602,1607489,1626645,1632821,1630398,1641661
 "19000","Iowa",4,CAINC4,7040,"..."," Proprietors employment","Number of jobs",321534,319835,314921,325466,332534,330217,318536,325533,319871,313490,324077,341006,340714,348129,355968,354361,352694,349933,339272,331584,330782,341613,351277,350203,352336,346636,366804,371045,374457,376961,374961,380966,380082,372109,373323,380549,388372,396989,414078,411328,418206,414798,424933,422895,426878,431437,432753,433231,435886,446332
 "19001","Adair, IA",4,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",30762,33210,33894,40324,54485,47937,53433,61234,58593,75919,74759,71279,88273,88710,83492,99037,105609,116050,115467,114826,131641,136017,132384,146290,134502,156702,145611,174613,176744,185247,191102,212406,213677,220175,217069,249002,229972,238261,253661,290534,272441,270578,308911,314351,336545,334362,339241,333864,338235,367196
 "19001","Adair, IA",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",20064,21727,23964,27276,32046,36200,41246,46976,52124,56725,63689,70076,78537,84055,88603,94334,95268,97256,99427,105297,111812,119699,119617,127467,131601,135067,144483,152353,160022,172874,181026,196660,201885,202408,202810,206330,207356,220492,226752,248908,247265,256097,266642,287198,290169,310773,319027,327348,335911,353776
 "19001","Adair, IA",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",10698,11483,9930,13048,22439,11737,12187,14258,6469,19194,11070,1203,9736,4655,-5111,4703,10341,18794,16040,9529,19829,16318,12767,18823,2901,21635,1128,22260,16722,12373,10076,15746,11792,17767,14259,42672,22616,17769,26909,41626,25176,14481,42269,27153,46376,23589,20214,6516,2324,13420
 "19001","Adair, IA",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",9236,9437,9276,9460,9563,9311,9298,9332,9369,9432,9545,9490,9396,9258,9210,9147,8935,8700,8550,8509,8431,8397,8430,8441,8483,8380,8366,8363,8310,8305,8298,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7679,7546,7468,7387,7367,7141,6998,7053,7063
 "19001","Adair, IA",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3331,3519,3654,4263,5697,5148,5747,6562,6254,8049,7832,7511,9395,9582,9065,10827,11820,13339,13505,13495,15614,16198,15704,17331,15855,18700,17405,20879,21269,22305,23030,25831,26276,27320,26965,31052,28993,30068,32227,37503,35493,35236,40937,42093,45559,45386,47506,47708,47956,51989
 "19001","Adair, IA",4,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",22655,23618,23201,28191,39603,30669,33053,39147,33368,47906,43047,32543,43211,38771,31388,42862,49960,59873,61853,59622,71441,73633,70727,81385,68480,90241,74105,97209,96312,100233,104096,123079,117142,123750,127488,159012,139570,139716,144259,167205,147568,142321,170220,161840,181469,166282,163107,156916,151046,167945
 "19001","Adair, IA",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",920,934,1059,1288,1652,1960,2137,2508,2671,2948,3449,3385,3826,3956,4168,4428,4739,5028,5682,6482,6718,7509,7701,8219,8714,9265,9887,9213,10456,11383,11989,13281,13011,12767,13858,14256,14251,14735,14589,15807,15733,16731,15739,16068,17813,18240,18003,19428,19469,20266
 "19001","Adair, IA",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",560,569,631,755,968,1142,1242,1376,1413,1528,1810,1800,2001,2087,2137,2272,2507,2681,3088,3498,3760,4171,4240,4454,4659,4862,5214,4460,5562,5992,6255,7000,6907,6972,7443,7695,7953,8317,8227,8887,8917,9000,7602,7743,9461,9801,9827,10376,10510,11175
 "19001","Adair, IA",4,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",360,365,428,533,684,818,895,1132,1258,1420,1639,1585,1825,1869,2031,2156,2232,2347,2594,2984,2958,3338,3461,3765,4055,4403,4673,4753,4894,5391,5734,6281,6104,5795,6415,6561,6298,6418,6362,6920,6816,7731,8137,8325,8352,8439,8176,9052,8959,9091
