GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000","Illinois",3,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115569523,125210963,138876970,147011703,153020000,168717146,177209780,186405471,197182970,212642707,226917198,240801311,245871942,265737040,275362591,290054676,307809314,327552925,346339144,367350200,383422716,412423055,427473310,432411991,439954703,457435410,476560054,508470324,538060086,551530997,525210738,540492620,567967515,593239141,607670820,637279309,662760794,670504220,689723793,724189111
 "17000","Illinois",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",47575914,50806134,54437595,59036046,65133940,71551970,77414363,85133427,93758496,103846929,113748095,124845379,137370343,146109478,153516197,167503024,175504765,184991766,195765307,211800921,224759310,239056245,244912857,263701932,273672446,287768661,307226031,325068714,344221549,365833150,382360641,410632514,425802206,431436305,438090241,453797102,474809592,506523278,534858230,547088999,522680068,537977268,562648241,590219259,599758402,633773554,662514446,667925467,687503870,721283733
 "17000","Illinois",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",908610,718137,879775,993876,1833717,1664384,2451895,1698845,1701171,1494739,1821428,365584,1506627,902225,-496197,1214122,1705015,1413705,1417663,841786,2157888,1745066,959085,2035108,1690145,2286015,583283,2484211,2117595,1517050,1062075,1790541,1671104,975686,1864462,3638308,1750462,1947046,3201856,4441998,2530670,2515352,5319274,3019882,7912418,3505755,246348,2578753,2219923,2905378
 "17000","Illinois",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
 "17000","Illinois",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42092,44140,46044,47113,49444,51519,52273,53943,56839
 "17000","Illinois",3,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",40981731,42937337,45791820,49751982,55576917,60211702,64093346,69981451,77405942,85912021,94125996,97851945,105829110,108087277,111782384,124610197,132215459,140344083,150921046,164649222,174821841,185171724,188695994,204018333,212063254,223793709,234859548,249039462,264127978,280617034,298437312,319418964,332949048,338837372,345163983,359740107,370187199,390790971,407859269,411450382,388621145,398739564,417723153,434255385,453704763,469485364,484231070,491364251,503706504,525202552
 "17000","Illinois",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2715381,2810221,3073529,3517127,4489589,5078072,5194481,5881006,6516119,7466380,8483873,8931375,10249310,10689876,11259202,12809534,13762566,14681096,15562408,17396136,18513003,19273292,20214806,21319763,22492338,24002162,25277079,26331985,27786806,29383571,30781624,32338178,33139974,33647887,34517623,36573790,38658374,40456615,42264958,43039488,41144546,41808422,39295837,41008443,47039808,48529443,50006595,51000394,52495944,54766309
 "17000","Illinois",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",1318070,1370218,1491376,1672033,2118958,2404803,2483531,2724516,2983748,3377917,3885995,4168393,4843303,5087787,5293017,5879178,6546014,7050970,7566750,8524348,9259925,9650582,10204396,10721216,11312940,12093571,12829747,13374596,14140362,14950850,15712908,16491582,16939880,17240601,17581993,18388093,19200566,20388944,21583059,22309049,21576204,21756247,17781499,18182342,24158234,25192623,26105773,26844743,27702322,29251199
 "17000","Illinois",3,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",1397311,1440003,1582153,1845094,2370631,2673269,2710950,3156490,3532371,4088463,4597878,4762982,5406007,5602089,5966185,6930356,7216552,7630126,7995658,8871788,9253078,9622710,10010410,10598547,11179398,11908591,12447332,12957389,13646444,14432721,15068716,15846596,16200094,16407286,16935630,18185697,19457808,20067671,20681899,20730439,19568342,20052175,21514338,22826101,22881574,23336820,23900822,24155651,24793622,25515110
 "17000","Illinois",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",63923,-16234,-59155,-82641,-99936,-117300,-141263,-131625,-70390,7112,73464,176524,116216,31799,17121,-46847,-92158,-130474,-202063,-302722,-323499,-271803,-322172,-409456,-591311,-684951,-928408,-934903,-952257,-1034060,-1146227,-1379543,-1561546,-1668772,-1593237,-1631573,-1769991,-1832827,-2307070,-1771158,-2092785,-2139538,-2570136,-2412011,-2678041,-2344059,-2523218,-2648338,-3112240,-3288749
 "17000","Illinois",3,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",38330273,40110882,42659136,46152214,50987392,55016330,58757602,63968820,70819433,78452753,85715587,89097094,95696016,97429200,100540303,111753816,118360735,125532513,135156575,146950364,155985339,165626629,168159016,182289114,188979605,199106596,208654061,221772574,235388915,250199403,266509461,285701243,298247528,303520713,309053123,321534744,329758834,348501529,363287241,366639736,345383814,354791604,375857180,390834931,403986914,418611862,431701257,437715519,448098320,467147494
 "17000","Illinois",3,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",6918059,7576130,8067948,8710550,9833359,11191531,12124652,12936248,14255896,15841045,17821572,21504040,26399406,31156371,32754819,36872012,37884183,39145759,39851191,42739128,46546811,48552294,49028924,50624076,51959076,55271757,61101055,65756207,70182482,75592238,74703145,81832326,80789399,76792077,76603644,79641920,85034176,97156575,105421838,108605763,94120235,92446911,102840434,113033801,110498422,124034687,131351169,132592854,138346859,150390978
