GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "20000","Kansas",4,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",8194786,8892704,9654247,10763347,12266343,13261982,14487553,15746176,17182123,19014323,21715020,23869212,27049193,29326755,30539523,33517603,35255364,36958647,38647862,40703637,43110166,45751168,47309589,50940234,53311941,55736292,58129314,61934152,65771107,69809125,72144356,76079358,78574378,79239757,81485804,83847107,88707260,97937897,105257084,114543299,110724164,113077273,122561955,130181991,132978596,135975821,137868251,138314625,142241593,149859112
 "20000","Kansas",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",7731696,8288744,8950569,9802969,10883706,12205779,13687547,15170848,16693446,18738456,21019294,23778082,26713930,28758475,30163827,32776233,34454641,36030564,37486088,39573485,42291202,44380792,46285901,49543332,51980103,54318500,57351704,60441789,64367438,68519350,70760537,75085466,77434115,78763439,79846261,82295320,86752831,96807041,103623553,112533615,108773843,110588560,118959780,127189309,128094005,133269310,136177225,136211304,140964103,148515547
 "20000","Kansas",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",463090,603960,703678,960378,1382637,1056203,800006,575328,488677,275867,695726,91130,335263,568280,375696,741370,800723,928083,1161774,1130152,818964,1370376,1023688,1396902,1331838,1417792,777610,1492363,1403669,1289775,1383819,993892,1140263,476318,1639543,1551787,1954429,1130856,1633531,2009684,1950321,2488713,3602175,2992682,4884591,2706511,1691026,2103321,1277490,1343565
 "20000","Kansas",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505
 "20000","Kansas",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10075,11342,12213,12643,13827,14524,15193,15805,16533,17433,18438,18934,20115,20853,21599,22349,23688,24958,26238,26936,28244,29078,29202,29925,30664,32312,35447,37811,40791,39088,39562,42719,45118,45958,46874,47386,47510,48869,51471
 "20000","Kansas",4,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",6245198,6690128,7264204,8215074,9480311,10087948,10817483,11848311,12897552,14339974,16573515,17482872,19379585,20309881,21150620,23500357,24656942,26120784,27662642,29237025,30767702,32969627,34001290,36969895,38706944,40652949,41996385,45020069,48063718,51247463,53778182,56072632,58081418,58860497,60827460,62925524,66165889,71903076,76566622,82100600,79512612,81728405,87797665,93061812,98352332,98471225,99760893,99064752,101518831,106225396
 "20000","Kansas",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",421038,441788,491735,572827,733625,853150,936415,1068748,1175182,1373703,1614703,1756815,2055488,2180403,2287538,2567174,2732213,2885074,3002963,3317629,3509656,3886904,4118766,4382195,4591167,4896720,5091029,5327270,5697015,6068454,6343138,6655813,6869934,7008361,7172781,7556560,7911241,8406937,8806941,9207010,9002859,9235760,8515986,8816128,10225399,10609601,11022897,10910292,11250802,11684575
 "20000","Kansas",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",217145,227145,250661,289133,368112,424276,466730,516530,551695,642812,757972,839590,988170,1055777,1093055,1200684,1322763,1406784,1483771,1657341,1784396,1973096,2103642,2219658,2322646,2478055,2604182,2730178,2928821,3125673,3276392,3432380,3537223,3618138,3680850,3857965,4067219,4355258,4656866,4858083,4778979,4812387,3949754,4071996,5347502,5597532,5735073,5836077,6052480,6338342
 "20000","Kansas",4,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",203893,214643,241074,283694,365513,428874,469685,552218,623487,730891,856731,917225,1067318,1124626,1194483,1366490,1409450,1478290,1519192,1660288,1725260,1913808,2015124,2162537,2268521,2418665,2486847,2597092,2768194,2942781,3066746,3223433,3332711,3390223,3491931,3698595,3844022,4051679,4150075,4348927,4223880,4423373,4566232,4744132,4877897,5012069,5287824,5074215,5198322,5346233
 "20000","Kansas",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",444886,445092,438559,458231,471710,484894,499514,510336,553389,598600,641777,716073,742314,763615,741222,800279,852846,843387,914226,918086,974573,967794,946737,1026719,1115403,1065707,1157438,1146987,1044263,1064475,1018286,1121270,1133213,1197567,1169091,1118363,1260086,1368092,1253547,1413451,1694162,1674190,1238596,1640024,1366740,1187774,1162401,1353125,1572780,1537318
