GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "21000","Kentucky",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454717,29871559,33237716,35402015,36755022,41061960,42815517,44018975,46497318,50573350,54363695,57673405,60843249,65547256,68128162,71608306,75054417,79620527,84542128,89546055,93441261,100796524,104181538,106570480,109617274,116046681,121757828,128867426,134575805,140523387,138823398,144103330,151299853,156827596,158218366,165914634,173025584,175920513,182604638,189717403
 "21000","Kentucky",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",9285320,10143160,11060017,12174582,13675823,15389754,17000857,18992548,21256712,23845132,26782320,29316581,32305070,34508733,36531292,39949870,41948017,43378891,45774407,49803695,53232027,56561710,59730649,64253667,67026432,70453835,74359473,78493480,83413474,88546079,92671686,99316510,103113278,105908914,108924017,114811603,120218374,127610724,133773218,140210095,138180489,143791009,150483827,155933106,155535176,164223318,171681911,175093820,181322391,188595800
 "21000","Kentucky",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",426386,391689,406034,505189,576717,662433,478334,551811,677213,598873,672397,554978,932646,893282,223730,1112090,867500,640084,722911,769655,1131668,1111695,1112600,1293589,1101730,1154471,694944,1127047,1128654,999976,769575,1480014,1068260,661566,693257,1235078,1539454,1256702,802587,313292,642909,312321,816026,894490,2683190,1691316,1343673,826693,1282247,1121603
 "21000","Kentucky",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402
 "21000","Kentucky",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22469,23255,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33141,34626,35753,35919,37584,39093,39638,40999,42458
 "21000","Kentucky",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",7921774,8450879,9180222,10214500,11544541,12867920,13589288,15371828,17430475,19546990,21839279,22749629,24858226,25688514,26293695,29863190,31124849,31876688,34206540,37605240,40081811,42389611,44288348,48270644,50386137,53110657,54927398,58007891,61686584,65425209,69459277,74352005,76453440,78540844,81609727,86832677,91237912,94930079,97782750,100007431,97202871,101236679,105312482,108890361,111801108,114702293,118753976,120563518,125159629,129237594
 "21000","Kentucky",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",509229,547013,614611,713437,918858,1060043,1122078,1290588,1451425,1685793,1944370,2058845,2391613,2525652,2653414,3000058,3217940,3452793,3681713,4098338,4407170,4818327,5093474,5519863,5885555,6331031,6634681,6898290,7298839,7747591,8257424,8524750,8743239,9022213,9278053,9669427,10146761,10680700,11164069,11636074,11506230,11821947,10928454,11284036,12899098,13454492,14039947,14372173,14773709,15243329
 "21000","Kentucky",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",250655,270359,299984,343841,437748,504943,538641,601307,672806,772229,896327,962457,1128063,1199840,1246146,1379999,1526825,1651523,1783448,2003969,2201674,2396554,2547387,2736519,2899614,3133811,3314639,3455821,3670677,3876479,4105370,4299045,4465680,4603944,4756861,4978733,5257227,5593738,5876630,6130552,6053661,6154683,5080812,5209163,6734360,7030056,7320087,7558481,7848714,8269986
 "21000","Kentucky",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559,4418269,4521192,4690694,4889534,5086962,5287439,5505522,5452569,5667264,5847642,6074873,6164738,6424436,6719860,6813692,6924995,6973343
 "21000","Kentucky",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",162374,153178,96685,90372,44467,17042,10349,-17991,5511,28260,20782,51702,16067,10144,33254,2470,-4370,21423,4276,-6475,-42489,-31687,-37952,-254871,-245233,-328077,-330180,-314007,-315008,-187520,-271795,-294600,-443465,-509761,-735881,-927489,-1312817,-1359828,-1501814,-1792859,-1855045,-2140690,-2344115,-2397235,-2041047,-1974101,-2039995,-1944225,-2232692,-2499276
 "21000","Kentucky",5,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",7574919,8057044,8662296,9591435,10670150,11824919,12477559,14063249,15984561,17889457,19915691,20742486,22482680,23173006,23673535,26865602,27902539,28445318,30529103,33500427,35632152,37539597,39156922,42495910,44255349,46451549,47962537,50795594,54072737,57490098,60930058,65532655,67266736,69008870,71595793,76235761,79778334,82889551,85116867,86578498,83841596,87274042,92039913,95209090,96860963,99273700,102674034,104247120,108153228,111494989
 "21000","Kentucky",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",1192749,1373017,1505492,1647200,1862848,2175885,2417994,2649783,2981723,3376844,3835353,4660622,5716059,6729811,7128335,7967861,8396035,8749463,8911070,9578422,10496831,11123570,11441059,11803091,12170383,12882876,13889681,14842947,15692621,16884965,16774831,18355705,18488181,17828353,17674648,17910591,18772470,20976838,22561690,23616114,21515594,21374872,23329708,25643027,24515687,26455475,27971870,29066702,30668038,33062847
 "21000","Kentucky",5,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164,18426621,19733257,20346833,21900329,23207024,25001037,26897248,30328775,33466208,35454416,35930232,35975479,36841716,40185459,42379680,42606691,43783372,45159567
 "21000","Kentucky",5,CAINC4,50,"...","Wages and salaries","Thousands of dollars",5904669,6361352,6877175,7531996,8481299,9413537,10033210,11253124,12596042,14271094,16009619,16962353,18390272,19027562,19697048,21528816,22688392,23669855,25404700,27133433,28755797,30824972,32008428,34542519,36024338,38114358,40210708,42333865,45181475,48094952,51148699,53945947,55555240,56651182,58474169,61400386,64085242,67308349,70581912,72352553,70414312,71874890,74532399,77058334,78279762,81481523,85348023,87662986,90360362,93180283
 "21000","Kentucky",5,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",773385,855732,982488,1124479,1322186,1535827,1718513,1994093,2278002,2589785,2970271,3153403,3439418,3681948,3964476,4378900,4741656,5163991,5539429,5890403,6469097,7044968,7523391,8613732,9204335,9687462,9726108,9905854,10300705,10738779,11664923,12647743,13457333,14300217,15315622,16214222,17510764,17697714,18347276,19125750,18211374,19792203,20117263,20970492,20796308,20892253,21623583,21721483,22811645,23698809
 "21000","Kentucky",5,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",514811,579078,667861,754883,841076,980727,1135076,1304812,1499383,1676221,1922228,2057015,2175868,2356136,2557208,2758841,3050541,3362721,3641164,3796034,4263601,4623195,4977304,5830388,6218394,6490242,6406066,6463385,6672543,6867667,7512869,8422038,9179774,9881948,10794430,11523528,12621230,12610752,13059837,13620228,12758805,14124939,14269621,14895619,14631570,14467817,14903723,14907791,15886650,16725466
 "21000","Kentucky",5,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559,4418269,4521192,4690694,4889534,5086962,5287439,5505522,5452569,5667264,5847642,6074873,6164738,6424436,6719860,6813692,6924995,6973343
 "21000","Kentucky",5,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",1243720,1233795,1320559,1558025,1741056,1918556,1837565,2124611,2556431,2686111,2859389,2633873,3028536,2979004,2632171,3955474,3694801,3042842,3262411,4581404,4856917,4519671,4756529,5114393,5157464,5308837,4990582,5768172,6204404,6591478,6645655,7758315,7440867,7589445,7819936,9218069,9641906,9924016,8853562,8529128,8577185,9569586,10662820,10861535,12725038,12328517,11782370,11179049,11987622,12358502
 "21000","Kentucky",5,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",367878,327474,341427,439041,499950,560609,384655,457007,562182,477470,536116,407776,783814,715243,58358,953094,713431,500804,590793,621391,970244,923084,931971,1118128,919666,983601,514755,954895,949705,795833,553253,1276098,817605,353965,357463,909760,1281306,972061,472865,6773,350270,36392,574170,555864,2340808,1337778,1043976,485256,950724,779969
 "21000","Kentucky",5,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",875842,906321,979132,1118984,1241106,1357947,1452910,1667604,1994249,2208641,2323273,2226097,2244722,2263761,2573813,3002380,2981370,2542038,2671618,3960013,3886673,3596587,3824558,3996265,4237798,4325236,4475827,4813277,5254699,5795645,6092402,6482217,6623262,7235480,7462473,8308309,8360600,8951955,8380697,8522355,8226915,9533194,10088650,10305671,10384230,10990739,10738394,10693793,11036898,11578533
 "21000","Kentucky",5,CAINC4,7010,"...","Total employment","Number of jobs",1331869,1336200,1359677,1391733,1460918,1495502,1464686,1522537,1578785,1644520,1665068,1642192,1634370,1615586,1624234,1676458,1698090,1733268,1765189,1815845,1865111,1906123,1903273,1949274,1992841,2034504,2109525,2141075,2188877,2223896,2264164,2306481,2283616,2263430,2273325,2300593,2337821,2374830,2414908,2402591,2325249,2325921,2368202,2389363,2407562,2440072,2473302,2498410,2524927,2549975
 "21000","Kentucky",5,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",1062844,1064553,1079762,1099255,1160707,1197012,1168045,1221691,1267361,1326759,1346720,1317072,1305340,1272581,1269880,1321275,1351767,1378983,1426804,1478522,1529623,1563278,1559366,1603098,1643490,1690358,1736377,1760408,1802133,1836220,1876601,1909887,1884751,1864898,1865342,1881168,1904668,1930624,1951559,1943756,1862282,1864406,1884604,1908719,1923075,1948869,1978421,1997083,2010691,2023881
 "21000","Kentucky",5,CAINC4,7040,"..."," Proprietors employment","Number of jobs",269025,271647,279915,292478,300211,298490,296641,300846,311424,317761,318348,325120,329030,343005,354354,355183,346323,354285,338385,337323,335488,342845,343907,346176,349351,344146,373148,380667,386744,387676,387563,396594,398865,398532,407983,419425,433153,444206,463349,458835,462967,461515,483598,480644,484487,491203,494881,501327,514236,526094
 "21001","Adair, KY",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",27842,29876,34180,38349,43361,48545,49938,56744,63059,70530,80204,89275,101397,110966,113664,132808,138310,141849,147074,159427,172853,187456,199132,219726,226496,236223,243961,263226,273605,272523,277747,311393,321574,321239,323740,344216,361901,376810,399475,420241,437278,460998,486499,502944,514543,538816,553539,556397,581515,601193
 "21001","Adair, KY",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",22033,24746,28412,31455,35388,39627,44484,50514,54639,61396,70844,81958,92268,101579,110536,122527,131209,136383,140737,151981,161386,175577,187093,206104,214136,224079,237082,252114,264807,265305,279668,307923,322307,326708,332782,346548,358586,374072,397101,419775,435354,460907,482357,497841,500087,527084,547497,557007,578210,600737
 "21001","Adair, KY",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",5809,5130,5768,6894,7973,8918,5454,6230,8420,9134,9360,7317,9129,9387,3128,10281,7101,5466,6337,7446,11467,11879,12039,13622,12360,12144,6879,11112,8798,7218,-1921,3470,-733,-5469,-9042,-2332,3315,2738,2374,466,1924,91,4142,5103,14456,11732,6042,-610,3305,456
